[LINE 1] UID=ML2023AC01 | family_rows=4 | sources_rows=5
[LINE 2] UID=ML2023AC02 | family_rows=1 | sources_rows=4
[LINE 3] UID=ML2023AC03 | family_rows=1 | sources_rows=5
[LINE 4] UID=ML2023AC04 | family_rows=1 | sources_rows=5
[LINE 5] UID=ML2023AC05 | family_rows=1 | sources_rows=3
[LINE 6] UID=ML2023AC06 | family_rows=1 | sources_rows=6
[LINE 7] UID=ML2023AC07 | family_rows=1 | sources_rows=5
[LINE 8] UID=ML2023AC08 | family_rows=1 | sources_rows=4
[LINE 9] UID=ML2023AC09 | family_rows=3 | sources_rows=4
[LINE 10] UID=ML2023AC10 | family_rows=1 | sources_rows=3
[LINE 11] UID=ML2023AC11 | family_rows=1 | sources_rows=4
[LINE 12] UID=ML2023AC12 | family_rows=1 | sources_rows=3
[LINE 13] UID=ML2023AC13 | family_rows=1 | sources_rows=3
[LINE 14] UID=ML2023AC14 | family_rows=1 | sources_rows=4
[LINE 15] UID=ML2023AC15 | family_rows=1 | sources_rows=4
[LINE 16] UID=ML2023AC16 | family_rows=2 | sources_rows=4
[LINE 17] UID=ML2023AC17 | family_rows=1 | sources_rows=4
[LINE 18] UID=ML2023AC18 | family_rows=1 | sources_rows=3
[LINE 19] UID=ML2023AC19 | family_rows=1 | sources_rows=5
[LINE 20] UID=ML2023AC20 | family_rows=1 | sources_rows=5
[LINE 21] UID=ML2023AC21 | family_rows=1 | sources_rows=4
[LINE 22] UID=ML2023AC22 | family_rows=1 | sources_rows=5
[LINE 23] UID=ML2023AC23 | family_rows=1 | sources_rows=6
[LINE 24] UID=ML2023AC24 | family_rows=1 | sources_rows=6
[LINE 25] UID=ML2023AC25 | family_rows=1 | sources_rows=5
[LINE 26] UID=ML2023AC26 | family_rows=1 | sources_rows=4
[LINE 27] UID=ML2023AC27 | family_rows=1 | sources_rows=3
[LINE 28] UID=ML2023AC28 | family_rows=1 | sources_rows=5
[LINE 29] UID=ML2023AC29 | family_rows=1 | sources_rows=5
[LINE 30] UID=ML2023AC30 | family_rows=1 | sources_rows=4
[LINE 31] UID=ML2023AC31 | family_rows=1 | sources_rows=4
[LINE 32] UID=ML2023AC32 | family_rows=1 | sources_rows=3
[LINE 33] UID=ML2023AC33 | family_rows=2 | sources_rows=4
[LINE 34] UID=ML2023AC34 | family_rows=1 | sources_rows=5
[LINE 35] UID=ML2023AC35 | family_rows=1 | sources_rows=7
[LINE 36] UID=ML2023AC36 | family_rows=1 | sources_rows=3
[LINE 37] UID=ML2023AC37 | family_rows=5 | sources_rows=10
[LINE 38] UID=ML2023AC38 | family_rows=1 | sources_rows=4
[LINE 39] UID=ML2023AC39 | family_rows=1 | sources_rows=3
[LINE 40] UID=ML2023AC40 | family_rows=1 | sources_rows=4
[LINE 41] UID=ML2023AC41 | family_rows=1 | sources_rows=4
[LINE 42] UID=ML2023AC42 | family_rows=1 | sources_rows=5
[LINE 43] UID=ML2023AC43 | family_rows=1 | sources_rows=5
[LINE 44] UID=ML2023AC44 | family_rows=1 | sources_rows=3
[LINE 45] UID=ML2023AC45 | family_rows=1 | sources_rows=4
[LINE 46] UID=ML2023AC46 | family_rows=1 | sources_rows=4
[LINE 47] UID=ML2023AC47 | family_rows=1 | sources_rows=4
[LINE 48] UID=ML2023AC48 | family_rows=1 | sources_rows=5
[LINE 49] UID=ML2023AC49 | family_rows=6 | sources_rows=5
[LINE 50] UID=ML2023AC50 | family_rows=1 | sources_rows=3
[LINE 51] UID=ML2023AC51 | family_rows=1 | sources_rows=5
[LINE 52] UID=ML2023AC52 | family_rows=1 | sources_rows=5
[LINE 53] UID=ML2023AC53 | family_rows=2 | sources_rows=3
[LINE 54] UID=ML2023AC54 | family_rows=1 | sources_rows=3
[LINE 55] UID=ML2023AC55 | family_rows=1 | sources_rows=4
[LINE 56] UID=ML2023AC56 | family_rows=1 | sources_rows=5
[LINE 57] UID=ML2023AC57 | family_rows=1 | sources_rows=5
[LINE 58] UID=ML2023AC58 | family_rows=1 | sources_rows=3
[LINE 59] UID=ML2023AC59 | family_rows=1 | sources_rows=4
[LINE 60] UID=ML2023AC60 | family_rows=1 | sources_rows=4

PROCESSING COMPLETE
Total family rows: 77
Total source rows: 260
