[LINE 1] UID=MZ2023AC01 | family_rows=1 | sources_rows=4
[LINE 2] UID=MZ2023AC02 | family_rows=1 | sources_rows=5
[LINE 3] UID=MZ2023AC03 | family_rows=1 | sources_rows=3
[LINE 4] UID=MZ2023AC04 | family_rows=1 | sources_rows=3
[LINE 5] UID=MZ2023AC05 | family_rows=1 | sources_rows=4
[LINE 6] UID=MZ2023AC06 | family_rows=1 | sources_rows=3
[LINE 7] UID=MZ2023AC07 | family_rows=1 | sources_rows=3
[LINE 8] UID=MZ2023AC08 | family_rows=1 | sources_rows=3
[LINE 9] UID=MZ2023AC09 | family_rows=1 | sources_rows=4
[LINE 10] UID=MZ2023AC10 | family_rows=1 | sources_rows=3
[LINE 11] UID=MZ2023AC11 | family_rows=1 | sources_rows=3
[LINE 12] UID=MZ2023AC12 | family_rows=1 | sources_rows=4
[LINE 13] UID=MZ2023AC13 | family_rows=1 | sources_rows=4
[LINE 14] UID=MZ2023AC14 | family_rows=1 | sources_rows=4
[LINE 15] UID=MZ2023AC15 | family_rows=1 | sources_rows=3
[LINE 16] UID=MZ2023AC16 | family_rows=1 | sources_rows=3
[LINE 17] UID=MZ2023AC17 | family_rows=1 | sources_rows=5
[LINE 18] UID=MZ2023AC18 | family_rows=1 | sources_rows=5
[LINE 19] UID=MZ2023AC19 | family_rows=1 | sources_rows=3
[LINE 20] UID=MZ2023AC20 | family_rows=1 | sources_rows=4
[LINE 21] UID=MZ2023AC21 | family_rows=1 | sources_rows=3
[LINE 22] UID=MZ2023AC22 | family_rows=1 | sources_rows=4
[LINE 23] UID=MZ2023AC23 | family_rows=1 | sources_rows=3
[LINE 24] UID=MZ2023AC24 | family_rows=1 | sources_rows=6
[LINE 25] UID=MZ2023AC25 | family_rows=1 | sources_rows=6
[LINE 26] UID=MZ2023AC26 | family_rows=1 | sources_rows=9
[LINE 27] UID=MZ2023AC27 | family_rows=1 | sources_rows=3
[LINE 28] UID=MZ2023AC28 | family_rows=1 | sources_rows=4
[LINE 29] Existing error preserved | UID=MZ2023AC29
[LINE 30] UID=MZ2023AC30 | family_rows=1 | sources_rows=3
[LINE 31] UID=MZ2023AC31 | family_rows=1 | sources_rows=4
[LINE 32] UID=MZ2023AC32 | family_rows=1 | sources_rows=3
[LINE 33] UID=MZ2023AC33 | family_rows=1 | sources_rows=5
[LINE 34] UID=MZ2023AC34 | family_rows=1 | sources_rows=4
[LINE 35] UID=MZ2023AC35 | family_rows=1 | sources_rows=5
[LINE 36] UID=MZ2023AC36 | family_rows=1 | sources_rows=1
[LINE 37] UID=MZ2023AC37 | family_rows=1 | sources_rows=4
[LINE 38] UID=MZ2023AC38 | family_rows=1 | sources_rows=6
[LINE 39] UID=MZ2023AC39 | family_rows=1 | sources_rows=5
[LINE 40] UID=MZ2023AC40 | family_rows=1 | sources_rows=3

PROCESSING COMPLETE
Total family rows: 39
Total source rows: 154
