[LINE 1] UID=RJ2023AC01 | family_rows=1 | sources_rows=3
[LINE 2] UID=RJ2023AC02 | family_rows=1 | sources_rows=3
[LINE 3] UID=RJ2023AC03 | family_rows=1 | sources_rows=5
[LINE 4] UID=RJ2023AC04 | family_rows=1 | sources_rows=5
[LINE 5] UID=RJ2023AC05 | family_rows=1 | sources_rows=3
[LINE 6] UID=RJ2023AC06 | family_rows=1 | sources_rows=4
[LINE 7] UID=RJ2023AC07 | family_rows=1 | sources_rows=3
[LINE 8] UID=RJ2023AC08 | family_rows=1 | sources_rows=5
[LINE 9] UID=RJ2023AC09 | family_rows=1 | sources_rows=3
[LINE 10] UID=RJ2023AC10 | family_rows=1 | sources_rows=2
[LINE 11] UID=RJ2023AC11 | family_rows=1 | sources_rows=4
[LINE 12] UID=RJ2023AC12 | family_rows=1 | sources_rows=3
[LINE 13] UID=RJ2023AC13 | family_rows=1 | sources_rows=5
[LINE 14] UID=RJ2023AC14 | family_rows=2 | sources_rows=4
[LINE 15] UID=RJ2023AC15 | family_rows=1 | sources_rows=4
[LINE 16] UID=RJ2023AC16 | family_rows=1 | sources_rows=3
[LINE 17] UID=RJ2023AC17 | family_rows=1 | sources_rows=3
[LINE 18] UID=RJ2023AC18 | family_rows=3 | sources_rows=4
[LINE 19] UID=RJ2023AC19 | family_rows=1 | sources_rows=4
[LINE 20] UID=RJ2023AC20 | family_rows=1 | sources_rows=4
[LINE 21] UID=RJ2023AC21 | family_rows=1 | sources_rows=2
[LINE 22] UID=RJ2023AC22 | family_rows=1 | sources_rows=5
[LINE 23] UID=RJ2023AC23 | family_rows=1 | sources_rows=4
[LINE 24] UID=RJ2023AC24 | family_rows=1 | sources_rows=5
[LINE 25] UID=RJ2023AC25 | family_rows=1 | sources_rows=5
[LINE 26] UID=RJ2023AC26 | family_rows=1 | sources_rows=4
[LINE 27] UID=RJ2023AC27 | family_rows=4 | sources_rows=7
[LINE 28] UID=RJ2023AC28 | family_rows=1 | sources_rows=3
[LINE 29] UID=RJ2023AC29 | family_rows=1 | sources_rows=5
[LINE 30] UID=RJ2023AC30 | family_rows=1 | sources_rows=4
[LINE 31] UID=RJ2023AC31 | family_rows=1 | sources_rows=2
[LINE 32] UID=RJ2023AC32 | family_rows=1 | sources_rows=3
[LINE 33] UID=RJ2023AC33 | family_rows=1 | sources_rows=6
[LINE 34] UID=RJ2023AC34 | family_rows=1 | sources_rows=3
[LINE 35] UID=RJ2023AC35 | family_rows=1 | sources_rows=4
[LINE 36] UID=RJ2023AC36 | family_rows=2 | sources_rows=5
[LINE 37] UID=RJ2023AC37 | family_rows=1 | sources_rows=4
[LINE 38] UID=RJ2023AC38 | family_rows=1 | sources_rows=3
[LINE 39] UID=RJ2023AC39 | family_rows=1 | sources_rows=4
[LINE 40] UID=RJ2023AC40 | family_rows=1 | sources_rows=4
[LINE 41] UID=RJ2023AC41 | family_rows=1 | sources_rows=3
[LINE 42] UID=RJ2023AC42 | family_rows=1 | sources_rows=5
[LINE 43] UID=RJ2023AC43 | family_rows=1 | sources_rows=3
[LINE 44] UID=RJ2023AC44 | family_rows=2 | sources_rows=3
[LINE 45] UID=RJ2023AC45 | family_rows=1 | sources_rows=4
[LINE 46] UID=RJ2023AC46 | family_rows=1 | sources_rows=5
[LINE 47] UID=RJ2023AC47 | family_rows=1 | sources_rows=3
[LINE 48] UID=RJ2023AC48 | family_rows=1 | sources_rows=3
[LINE 49] UID=RJ2023AC49 | family_rows=1 | sources_rows=3
[LINE 50] Existing error preserved | UID=RJ2023AC50
[LINE 51] UID=RJ2023AC51 | family_rows=1 | sources_rows=3
[LINE 52] UID=RJ2023AC52 | family_rows=1 | sources_rows=3
[LINE 53] UID=RJ2023AC53 | family_rows=1 | sources_rows=3
[LINE 54] UID=RJ2023AC54 | family_rows=1 | sources_rows=3
[LINE 55] UID=RJ2023AC55 | family_rows=1 | sources_rows=8
[LINE 56] UID=RJ2023AC56 | family_rows=1 | sources_rows=3
[LINE 57] UID=RJ2023AC57 | family_rows=1 | sources_rows=4
[LINE 58] UID=RJ2023AC58 | family_rows=1 | sources_rows=4
[LINE 59] UID=RJ2023AC59 | family_rows=1 | sources_rows=4
[LINE 60] UID=RJ2023AC60 | family_rows=1 | sources_rows=3
[LINE 61] UID=RJ2023AC61 | family_rows=1 | sources_rows=4
[LINE 62] UID=RJ2023AC62 | family_rows=1 | sources_rows=4
[LINE 63] UID=RJ2023AC63 | family_rows=1 | sources_rows=5
[LINE 64] UID=RJ2023AC64 | family_rows=1 | sources_rows=4
[LINE 65] UID=RJ2023AC65 | family_rows=1 | sources_rows=4
[LINE 66] UID=RJ2023AC66 | family_rows=1 | sources_rows=3
[LINE 67] UID=RJ2023AC67 | family_rows=2 | sources_rows=5
[LINE 68] UID=RJ2023AC68 | family_rows=1 | sources_rows=3
[LINE 69] UID=RJ2023AC69 | family_rows=1 | sources_rows=3
[LINE 70] UID=RJ2023AC70 | family_rows=1 | sources_rows=6
[LINE 71] UID=RJ2023AC71 | family_rows=1 | sources_rows=4
[LINE 72] UID=RJ2023AC72 | family_rows=1 | sources_rows=3
[LINE 73] UID=RJ2023AC73 | family_rows=1 | sources_rows=4
[LINE 74] UID=RJ2023AC74 | family_rows=3 | sources_rows=4
[LINE 75] UID=RJ2023AC75 | family_rows=1 | sources_rows=3
[LINE 76] UID=RJ2023AC76 | family_rows=1 | sources_rows=5
[LINE 77] UID=RJ2023AC77 | family_rows=1 | sources_rows=4
[LINE 78] UID=RJ2023AC78 | family_rows=1 | sources_rows=4
[LINE 79] UID=RJ2023AC79 | family_rows=4 | sources_rows=3
[LINE 80] UID=RJ2023AC80 | family_rows=2 | sources_rows=2
[LINE 81] UID=RJ2023AC81 | family_rows=1 | sources_rows=4
[LINE 82] UID=RJ2023AC82 | family_rows=1 | sources_rows=3
[LINE 83] UID=RJ2023AC83 | family_rows=1 | sources_rows=3
[LINE 84] UID=RJ2023AC84 | family_rows=1 | sources_rows=4
[LINE 85] UID=RJ2023AC85 | family_rows=1 | sources_rows=5
[LINE 86] UID=RJ2023AC86 | family_rows=1 | sources_rows=5
[LINE 87] UID=RJ2023AC87 | family_rows=1 | sources_rows=5
[LINE 88] UID=RJ2023AC88 | family_rows=1 | sources_rows=2
[LINE 89] UID=RJ2023AC89 | family_rows=1 | sources_rows=4
[LINE 90] UID=RJ2023AC90 | family_rows=1 | sources_rows=5
[LINE 91] UID=RJ2023AC91 | family_rows=1 | sources_rows=3
[LINE 92] UID=RJ2023AC92 | family_rows=4 | sources_rows=3
[LINE 93] UID=RJ2023AC93 | family_rows=1 | sources_rows=4
[LINE 94] UID=RJ2023AC94 | family_rows=1 | sources_rows=3
[LINE 95] UID=RJ2023AC95 | family_rows=1 | sources_rows=4
[LINE 96] UID=RJ2023AC96 | family_rows=4 | sources_rows=5
[LINE 97] UID=RJ2023AC97 | family_rows=1 | sources_rows=3
[LINE 98] UID=RJ2023AC98 | family_rows=1 | sources_rows=5
[LINE 99] UID=RJ2023AC99 | family_rows=1 | sources_rows=4
[LINE 100] UID=RJ2023AC100 | family_rows=1 | sources_rows=5
[LINE 101] UID=RJ2023AC101 | family_rows=1 | sources_rows=5
[LINE 102] UID=RJ2023AC102 | family_rows=1 | sources_rows=3
[LINE 103] UID=RJ2023AC103 | family_rows=1 | sources_rows=4
[LINE 104] UID=RJ2023AC104 | family_rows=1 | sources_rows=4
[LINE 105] UID=RJ2023AC105 | family_rows=1 | sources_rows=5
[LINE 106] UID=RJ2023AC106 | family_rows=1 | sources_rows=3
[LINE 107] UID=RJ2023AC107 | family_rows=1 | sources_rows=4
[LINE 108] UID=RJ2023AC108 | family_rows=1 | sources_rows=4
[LINE 109] UID=RJ2023AC109 | family_rows=7 | sources_rows=5
[LINE 110] UID=RJ2023AC110 | family_rows=2 | sources_rows=3
[LINE 111] UID=RJ2023AC111 | family_rows=1 | sources_rows=3
