[LINE 1] UID=TN2021AC01 | family_rows=1 | sources_rows=4
[LINE 2] UID=TN2021AC02 | family_rows=1 | sources_rows=4
[LINE 3] UID=TN2021AC03 | family_rows=1 | sources_rows=2
[LINE 4] UID=TN2021AC04 | family_rows=1 | sources_rows=5
[LINE 5] UID=TN2021AC05 | family_rows=1 | sources_rows=3
[LINE 6] UID=TN2021AC06 | family_rows=1 | sources_rows=4
[LINE 7] UID=TN2021AC07 | family_rows=1 | sources_rows=3
[LINE 8] UID=TN2021AC08 | family_rows=1 | sources_rows=3
[LINE 9] UID=TN2021AC09 | family_rows=1 | sources_rows=4
[LINE 10] UID=TN2021AC10 | family_rows=1 | sources_rows=4
[LINE 11] UID=TN2021AC11 | family_rows=1 | sources_rows=3
[LINE 12] UID=TN2021AC12 | family_rows=1 | sources_rows=5
[LINE 13] UID=TN2021AC13 | family_rows=5 | sources_rows=6
[LINE 14] UID=TN2021AC14 | family_rows=1 | sources_rows=3
[LINE 15] UID=TN2021AC15 | family_rows=1 | sources_rows=3
[LINE 16] UID=TN2021AC16 | family_rows=1 | sources_rows=3
[LINE 17] UID=TN2021AC17 | family_rows=1 | sources_rows=3
[LINE 18] UID=TN2021AC18 | family_rows=1 | sources_rows=6
[LINE 19] UID=TN2021AC19 | family_rows=6 | sources_rows=8
[LINE 20] UID=TN2021AC20 | family_rows=1 | sources_rows=2
[LINE 21] UID=TN2021AC21 | family_rows=1 | sources_rows=2
[LINE 22] UID=TN2021AC22 | family_rows=1 | sources_rows=3
[LINE 23] UID=TN2021AC23 | family_rows=1 | sources_rows=5
[LINE 24] UID=TN2021AC24 | family_rows=1 | sources_rows=2
[LINE 25] UID=TN2021AC25 | family_rows=1 | sources_rows=3
[LINE 26] UID=TN2021AC26 | family_rows=1 | sources_rows=3
[LINE 27] UID=TN2021AC27 | family_rows=1 | sources_rows=5
[LINE 28] UID=TN2021AC28 | family_rows=1 | sources_rows=4
[LINE 29] UID=TN2021AC29 | family_rows=1 | sources_rows=6
[LINE 30] UID=TN2021AC30 | family_rows=1 | sources_rows=3
[LINE 31] UID=TN2021AC31 | family_rows=1 | sources_rows=3
[LINE 32] UID=TN2021AC32 | family_rows=1 | sources_rows=3
[LINE 33] UID=TN2021AC33 | family_rows=1 | sources_rows=1
[LINE 34] UID=TN2021AC34 | family_rows=1 | sources_rows=4
[LINE 35] UID=TN2021AC35 | family_rows=1 | sources_rows=4
[LINE 36] UID=TN2021AC36 | family_rows=1 | sources_rows=3
[LINE 37] UID=TN2021AC37 | family_rows=1 | sources_rows=1
[LINE 38] UID=TN2021AC38 | family_rows=1 | sources_rows=5
[LINE 39] UID=TN2021AC39 | family_rows=2 | sources_rows=3
