[LINE 1] UID=TG2023AC01 | family_rows=2 | sources_rows=4
[LINE 2] UID=TG2023AC02 | family_rows=2 | sources_rows=5
[LINE 3] UID=TG2023AC03 | family_rows=3 | sources_rows=6
[LINE 4] UID=TG2023AC04 | family_rows=1 | sources_rows=2
[LINE 5] UID=TG2023AC05 | family_rows=3 | sources_rows=4
[LINE 6] UID=TG2023AC06 | family_rows=1 | sources_rows=5
[LINE 7] UID=TG2023AC07 | family_rows=1 | sources_rows=6
[LINE 8] UID=TG2023AC08 | family_rows=1 | sources_rows=4
[LINE 9] UID=TG2023AC09 | family_rows=2 | sources_rows=1
[LINE 10] UID=TG2023AC10 | family_rows=1 | sources_rows=3
[LINE 11] UID=TG2023AC11 | family_rows=1 | sources_rows=6
[LINE 12] UID=TG2023AC12 | family_rows=1 | sources_rows=5
[LINE 13] UID=TG2023AC13 | family_rows=1 | sources_rows=7
[LINE 14] JSON parse failed: Extra data: line 1 column 537 (char 536)
[LINE 15] UID=TG2023AC16 | family_rows=1 | sources_rows=3
[LINE 16] UID=TG2023AC17 | family_rows=1 | sources_rows=4
[LINE 17] UID=TG2023AC18 | family_rows=1 | sources_rows=4
[LINE 18] UID=TG2023AC19 | family_rows=1 | sources_rows=6
[LINE 19] UID=TG2023AC20 | family_rows=1 | sources_rows=6
[LINE 20] UID=TG2023AC21 | family_rows=1 | sources_rows=5
[LINE 21] UID=TG2023AC22 | family_rows=1 | sources_rows=5
[LINE 22] UID=TG2023AC23 | family_rows=1 | sources_rows=7
[LINE 23] UID=TG2023AC24 | family_rows=1 | sources_rows=6
[LINE 24] UID=TG2023AC25 | family_rows=2 | sources_rows=3
[LINE 25] UID=TG2023AC26 | family_rows=1 | sources_rows=4
[LINE 26] UID=TG2023AC27 | family_rows=1 | sources_rows=4
[LINE 27] UID=TG2023AC28 | family_rows=1 | sources_rows=5
[LINE 28] UID=TG2023AC29 | family_rows=3 | sources_rows=6
[LINE 29] UID=TG2023AC30 | family_rows=1 | sources_rows=3
[LINE 30] UID=TG2023AC31 | family_rows=1 | sources_rows=4
[LINE 31] UID=TG2023AC32 | family_rows=1 | sources_rows=4
[LINE 32] UID=TG2023AC33 | family_rows=1 | sources_rows=2
[LINE 33] UID=TG2023AC34 | family_rows=1 | sources_rows=5
[LINE 34] UID=TG2023AC35 | family_rows=1 | sources_rows=4
[LINE 35] UID=TG2023AC36 | family_rows=1 | sources_rows=4
[LINE 36] UID=TG2023AC37 | family_rows=1 | sources_rows=3
[LINE 37] UID=TG2023AC38 | family_rows=1 | sources_rows=3
[LINE 38] UID=TG2023AC39 | family_rows=1 | sources_rows=6
[LINE 39] UID=TG2023AC40 | family_rows=1 | sources_rows=4
[LINE 40] UID=TG2023AC41 | family_rows=1 | sources_rows=5
[LINE 41] UID=TG2023AC42 | family_rows=3 | sources_rows=5
[LINE 42] UID=TG2023AC43 | family_rows=5 | sources_rows=5
[LINE 43] UID=TG2023AC44 | family_rows=1 | sources_rows=4
[LINE 44] UID=TG2023AC45 | family_rows=1 | sources_rows=4
[LINE 45] UID=TG2023AC46 | family_rows=1 | sources_rows=4
[LINE 46] UID=TG2023AC47 | family_rows=2 | sources_rows=4
[LINE 47] UID=TG2023AC48 | family_rows=1 | sources_rows=3
[LINE 48] UID=TG2023AC49 | family_rows=1 | sources_rows=5
[LINE 49] UID=TG2023AC50 | family_rows=2 | sources_rows=4
[LINE 50] UID=TG2023AC51 | family_rows=1 | sources_rows=3
[LINE 51] UID=TG2023AC52 | family_rows=1 | sources_rows=3
[LINE 52] UID=TG2023AC53 | family_rows=1 | sources_rows=4
[LINE 53] UID=TG2023AC54 | family_rows=1 | sources_rows=4
[LINE 54] UID=TG2023AC55 | family_rows=2 | sources_rows=2
[LINE 55] UID=TG2023AC56 | family_rows=1 | sources_rows=4
[LINE 56] UID=TG2023AC57 | family_rows=1 | sources_rows=5
[LINE 57] UID=TG2023AC58 | family_rows=1 | sources_rows=4
[LINE 58] UID=TG2023AC59 | family_rows=1 | sources_rows=4
[LINE 59] UID=TG2023AC60 | family_rows=1 | sources_rows=6
[LINE 60] UID=TG2023AC61 | family_rows=3 | sources_rows=2
[LINE 61] UID=TG2023AC62 | family_rows=1 | sources_rows=2
[LINE 62] UID=TG2023AC63 | family_rows=1 | sources_rows=4
[LINE 63] UID=TG2023AC64 | family_rows=1 | sources_rows=3
[LINE 64] Existing error preserved | UID=TG2023AC65
[LINE 65] UID=TG2023AC66 | family_rows=1 | sources_rows=4
[LINE 66] UID=TG2023AC67 | family_rows=4 | sources_rows=5
[LINE 67] UID=TG2023AC68 | family_rows=1 | sources_rows=3
[LINE 68] UID=TG2023AC69 | family_rows=1 | sources_rows=3
[LINE 69] UID=TG2023AC70 | family_rows=1 | sources_rows=3
[LINE 70] UID=TG2023AC71 | family_rows=1 | sources_rows=7
[LINE 71] Existing error preserved | UID=TG2023AC72
[LINE 72] UID=TG2023AC73 | family_rows=4 | sources_rows=5
[LINE 73] UID=TG2023AC74 | family_rows=1 | sources_rows=3
