[LINE 1] UID=TR2023AC01 | family_rows=1 | sources_rows=5
[LINE 2] UID=TR2023AC02 | family_rows=1 | sources_rows=3
[LINE 3] UID=TR2023AC03 | family_rows=1 | sources_rows=3
[LINE 4] UID=TR2023AC04 | family_rows=1 | sources_rows=4
[LINE 5] UID=TR2023AC05 | family_rows=1 | sources_rows=4
[LINE 6] UID=TR2023AC06 | family_rows=1 | sources_rows=3
[LINE 7] UID=TR2023AC07 | family_rows=1 | sources_rows=6
[LINE 8] UID=TR2023AC08 | family_rows=1 | sources_rows=4
[LINE 9] UID=TR2023AC09 | family_rows=1 | sources_rows=3
[LINE 10] UID=TR2023AC10 | family_rows=1 | sources_rows=3
[LINE 11] UID=TR2023AC11 | family_rows=1 | sources_rows=4
[LINE 12] UID=TR2023AC12 | family_rows=1 | sources_rows=3
[LINE 13] UID=TR2023AC13 | family_rows=1 | sources_rows=3
[LINE 14] UID=TR2023AC14 | family_rows=3 | sources_rows=3
[LINE 15] UID=TR2023AC15 | family_rows=1 | sources_rows=4
[LINE 16] UID=TR2023AC16 | family_rows=1 | sources_rows=3
[LINE 17] UID=TR2023AC17 | family_rows=1 | sources_rows=1
[LINE 18] UID=TR2023AC18 | family_rows=1 | sources_rows=4
[LINE 19] UID=TR2023AC19 | family_rows=1 | sources_rows=3
[LINE 20] UID=TR2023AC20 | family_rows=1 | sources_rows=5
[LINE 21] UID=TR2023AC21 | family_rows=1 | sources_rows=4
[LINE 22] UID=TR2023AC22 | family_rows=1 | sources_rows=3
[LINE 23] UID=TR2023AC23 | family_rows=1 | sources_rows=4
[LINE 24] UID=TR2023AC24 | family_rows=1 | sources_rows=4
[LINE 25] UID=TR2023AC25 | family_rows=1 | sources_rows=3
[LINE 26] UID=TR2023AC26 | family_rows=1 | sources_rows=3
[LINE 27] UID=TR2023AC27 | family_rows=1 | sources_rows=4
[LINE 28] UID=TR2023AC28 | family_rows=1 | sources_rows=4
[LINE 29] UID=TR2023AC29 | family_rows=1 | sources_rows=4
[LINE 30] UID=TR2023AC30 | family_rows=1 | sources_rows=4
[LINE 31] UID=TR2023AC31 | family_rows=1 | sources_rows=3
[LINE 32] UID=TR2023AC32 | family_rows=1 | sources_rows=4
[LINE 33] UID=TR2023AC33 | family_rows=1 | sources_rows=6
[LINE 34] UID=TR2023AC34 | family_rows=1 | sources_rows=5
[LINE 35] UID=TR2023AC35 | family_rows=1 | sources_rows=3
[LINE 36] UID=TR2023AC36 | family_rows=1 | sources_rows=4
[LINE 37] UID=TR2023AC37 | family_rows=1 | sources_rows=5
[LINE 38] UID=TR2023AC38 | family_rows=1 | sources_rows=3
[LINE 39] UID=TR2023AC39 | family_rows=1 | sources_rows=4
[LINE 40] UID=TR2023AC40 | family_rows=1 | sources_rows=2
[LINE 41] UID=TR2023AC41 | family_rows=1 | sources_rows=3
[LINE 42] UID=TR2023AC42 | family_rows=1 | sources_rows=3
[LINE 43] UID=TR2023AC43 | family_rows=1 | sources_rows=3
[LINE 44] UID=TR2023AC44 | family_rows=1 | sources_rows=6
[LINE 45] UID=TR2023AC45 | family_rows=1 | sources_rows=3
[LINE 46] UID=TR2023AC46 | family_rows=1 | sources_rows=1
[LINE 47] UID=TR2023AC47 | family_rows=1 | sources_rows=3
[LINE 48] UID=TR2023AC48 | family_rows=1 | sources_rows=5
[LINE 49] UID=TR2023AC49 | family_rows=1 | sources_rows=3
[LINE 50] UID=TR2023AC50 | family_rows=1 | sources_rows=5
[LINE 51] UID=TR2023AC51 | family_rows=1 | sources_rows=5
[LINE 52] UID=TR2023AC52 | family_rows=1 | sources_rows=3
[LINE 53] UID=TR2023AC53 | family_rows=1 | sources_rows=4
[LINE 54] UID=TR2023AC54 | family_rows=1 | sources_rows=4
[LINE 55] UID=TR2023AC55 | family_rows=1 | sources_rows=5
[LINE 56] UID=TR2023AC56 | family_rows=1 | sources_rows=6
[LINE 57] UID=TR2023AC57 | family_rows=1 | sources_rows=3
[LINE 58] UID=TR2023AC58 | family_rows=1 | sources_rows=6
[LINE 59] UID=TR2023AC59 | family_rows=1 | sources_rows=5
[LINE 60] Existing error preserved | UID=TR2023AC60

PROCESSING COMPLETE
Total family rows: 61
Total source rows: 223
