[LINE 1] UID=WB2021AC01 | family_rows=1 | sources_rows=4
[LINE 2] UID=WB2021AC02 | family_rows=1 | sources_rows=4
[LINE 3] UID=WB2021AC03 | family_rows=1 | sources_rows=4
[LINE 4] UID=WB2021AC04 | family_rows=1 | sources_rows=5
[LINE 5] UID=WB2021AC05 | family_rows=1 | sources_rows=3
[LINE 6] UID=WB2021AC06 | family_rows=1 | sources_rows=3
[LINE 7] UID=WB2021AC07 | family_rows=3 | sources_rows=2
[LINE 8] UID=WB2021AC08 | family_rows=1 | sources_rows=4
[LINE 9] UID=WB2021AC09 | family_rows=1 | sources_rows=6
[LINE 10] UID=WB2021AC10 | family_rows=1 | sources_rows=3
[LINE 11] UID=WB2021AC11 | family_rows=1 | sources_rows=4
[LINE 12] UID=WB2021AC12 | family_rows=1 | sources_rows=7
[LINE 13] UID=WB2021AC13 | family_rows=1 | sources_rows=4
[LINE 14] UID=WB2021AC14 | family_rows=1 | sources_rows=5
[LINE 15] UID=WB2021AC15 | family_rows=1 | sources_rows=3
[LINE 16] UID=WB2021AC16 | family_rows=1 | sources_rows=3
[LINE 17] UID=WB2021AC17 | family_rows=1 | sources_rows=4
[LINE 18] UID=WB2021AC18 | family_rows=1 | sources_rows=4
[LINE 19] UID=WB2021AC19 | family_rows=1 | sources_rows=3
[LINE 20] UID=WB2021AC20 | family_rows=1 | sources_rows=3
[LINE 21] UID=WB2021AC21 | family_rows=1 | sources_rows=4
[LINE 22] UID=WB2021AC22 | family_rows=1 | sources_rows=5
[LINE 23] UID=WB2021AC23 | family_rows=1 | sources_rows=5
[LINE 24] UID=WB2021AC24 | family_rows=1 | sources_rows=5
[LINE 25] UID=WB2021AC25 | family_rows=1 | sources_rows=5
[LINE 26] UID=WB2021AC26 | family_rows=1 | sources_rows=4
[LINE 27] UID=WB2021AC27 | family_rows=1 | sources_rows=4
[LINE 28] UID=WB2021AC28 | family_rows=1 | sources_rows=3
[LINE 29] UID=WB2021AC29 | family_rows=1 | sources_rows=3
[LINE 30] UID=WB2021AC30 | family_rows=1 | sources_rows=3
[LINE 31] UID=WB2021AC31 | family_rows=1 | sources_rows=3
[LINE 32] UID=WB2021AC32 | family_rows=1 | sources_rows=3
[LINE 33] UID=WB2021AC33 | family_rows=1 | sources_rows=3
