[LINE 1] UID=UP1952PC208 | family_rows=1 | sources_rows=1
[LINE 2] UID=TG1952PC317 | family_rows=1 | sources_rows=3
[LINE 3] UID=UP1952PC227 | family_rows=1 | sources_rows=3
[LINE 4] UID=UP1952PC226 | family_rows=1 | sources_rows=3
[LINE 5] UID=MH1952PC60 | family_rows=1 | sources_rows=4
[LINE 6] UID=MH1952PC60 | family_rows=1 | sources_rows=4
[LINE 7] UID=MH1952PC67 | family_rows=1 | sources_rows=3
[LINE 8] UID=MH1952PC68 | family_rows=1 | sources_rows=4
[LINE 9] UID=RJ1952PC381 | family_rows=1 | sources_rows=3
[LINE 10] UID=RJ1952PC382 | family_rows=1 | sources_rows=3
[LINE 11] UID=UP1952PC225 | family_rows=1 | sources_rows=3
[LINE 12] UID=UP1952PC225 | family_rows=1 | sources_rows=4
[LINE 13] UID=UP1952PC254 | family_rows=11 | sources_rows=5
[LINE 14] UID=UP1952PC254 | family_rows=1 | sources_rows=1
[LINE 15] UID=UP1952PC255 | family_rows=1 | sources_rows=3
[LINE 16] UID=KL1952PC374 | family_rows=2 | sources_rows=5
[LINE 17] UID=UP1952PC211 | family_rows=1 | sources_rows=4
[LINE 18] UID=RJ1952PC348 | family_rows=1 | sources_rows=1
[LINE 19] UID=TG1952PC314 | family_rows=1 | sources_rows=6
[LINE 20] UID=PB1952PC193 | family_rows=1 | sources_rows=3
[LINE 21] UID=MP1952PC111 | family_rows=1 | sources_rows=2
[LINE 22] UID=MP1952PC112 | family_rows=1 | sources_rows=4
[LINE 23] UID=PB1952PC207 | family_rows=1 | sources_rows=1
[LINE 24] UID=TN1952PC134 | family_rows=1 | sources_rows=4
[LINE 25] UID=TN1952PC164 | family_rows=1 | sources_rows=4
[LINE 26] UID=TG1952PC313 | family_rows=1 | sources_rows=1
[LINE 27] UID=AS1952PC02 | family_rows=1 | sources_rows=3
[LINE 28] UID=UP1952PC273 | family_rows=1 | sources_rows=3
[LINE 29] UID=UP1952PC272 | family_rows=1 | sources_rows=4
[LINE 30] UID=UP1952PC272 | family_rows=1 | sources_rows=3
[LINE 31] UID=UP1952PC259 | family_rows=2 | sources_rows=2
[LINE 32] UID=UP1952PC260 | family_rows=1 | sources_rows=3
[LINE 33] UID=MP1952PC99 | family_rows=1 | sources_rows=5
