[LINE 1] UID=AP1989PC35 | family_rows=1 | sources_rows=4
[LINE 2] UID=KL1989PC17 | family_rows=1 | sources_rows=5
[LINE 3] UID=UP1989PC73 | family_rows=1 | sources_rows=3
[LINE 4] UID=GJ1989PC10 | family_rows=1 | sources_rows=5
[LINE 5] UID=MH1989PC39 | family_rows=2 | sources_rows=3
[LINE 6] UID=RJ1989PC12 | family_rows=1 | sources_rows=5
[LINE 7] UID=UP1989PC27 | family_rows=1 | sources_rows=4
[LINE 8] UID=MH1989PC19 | family_rows=1 | sources_rows=2
[LINE 9] UID=UP1989PC76 | family_rows=1 | sources_rows=4
[LINE 10] UID=WB1989PC02 | family_rows=1 | sources_rows=3
[LINE 11] UID=UP1989PC56 | family_rows=1 | sources_rows=4
[LINE 12] UID=KL1989PC15 | family_rows=1 | sources_rows=10
[LINE 13] UID=UP1989PC03 | family_rows=3 | sources_rows=2
[LINE 14] UID=RJ1989PC08 | family_rows=1 | sources_rows=3
[LINE 15] UID=AP1989PC09 | family_rows=1 | sources_rows=4
[LINE 16] UID=HR1989PC01 | family_rows=1 | sources_rows=3
[LINE 17] UID=UP1989PC25 | family_rows=8 | sources_rows=6
[LINE 18] UID=MH1989PC21 | family_rows=1 | sources_rows=3
[LINE 19] UID=GJ1989PC07 | family_rows=1 | sources_rows=2
[LINE 20] UID=PB1989PC02 | family_rows=1 | sources_rows=4
[LINE 21] UID=UP1989PC06 | family_rows=1 | sources_rows=4
[LINE 22] UID=AP1989PC06 | family_rows=1 | sources_rows=2
[LINE 23] UID=GJ1989PC20 | family_rows=1 | sources_rows=3
[LINE 24] UID=AP1989PC25 | family_rows=1 | sources_rows=3
[LINE 25] UID=JK1989PC03 | family_rows=1 | sources_rows=4
[LINE 26] UID=AN1989PC01 | family_rows=1 | sources_rows=3
[LINE 27] UID=UP1989PC11 | family_rows=1 | sources_rows=2
[LINE 28] UID=TN1989PC06 | family_rows=1 | sources_rows=4
[LINE 29] UID=WB1989PC28 | family_rows=1 | sources_rows=3
[LINE 30] UID=BR1989PC22 | family_rows=1 | sources_rows=3
[LINE 31] UID=BR1989PC36 | family_rows=1 | sources_rows=1
[LINE 32] UID=AR1989PC02 | family_rows=1 | sources_rows=5
