[LINE 1] UID=TG2019PC01 | family_rows=1 | sources_rows=7
[LINE 2] UID=UP2019PC18 | family_rows=1 | sources_rows=5
[LINE 3] UID=MH2019PC37 | family_rows=2 | sources_rows=3
[LINE 4] UID=GJ2019PC07 | family_rows=1 | sources_rows=5
[LINE 5] UID=GJ2019PC08 | family_rows=1 | sources_rows=4
[LINE 6] UID=RJ2019PC13 | family_rows=1 | sources_rows=2
[LINE 7] UID=UP2019PC44 | family_rows=1 | sources_rows=5
[LINE 8] UID=MH2019PC06 | family_rows=1 | sources_rows=3
[LINE 9] UID=KL2019PC15 | family_rows=1 | sources_rows=5
[LINE 10] UID=KL2019PC09 | family_rows=1 | sources_rows=4
[LINE 11] UID=UP2019PC15 | family_rows=1 | sources_rows=9
[LINE 12] UID=WB2019PC02 | family_rows=1 | sources_rows=5
[LINE 13] UID=UP2019PC52 | family_rows=4 | sources_rows=6
[LINE 14] UID=UK2019PC03 | family_rows=1 | sources_rows=4
[LINE 15] UID=RJ2019PC08 | family_rows=1 | sources_rows=4
[LINE 16] UID=AP2019PC07 | family_rows=1 | sources_rows=3
[LINE 17] UID=HR2019PC01 | family_rows=1 | sources_rows=5
[LINE 18] UID=UP2019PC55 | family_rows=1 | sources_rows=5
[LINE 19] UID=UP2019PC37 | family_rows=3 | sources_rows=3
[LINE 20] UID=MH2019PC07 | family_rows=1 | sources_rows=4
[LINE 21] UID=GJ2019PC14 | family_rows=1 | sources_rows=5
[LINE 22] UID=PB2019PC02 | family_rows=1 | sources_rows=3
[LINE 23] UID=UP2019PC09 | family_rows=1 | sources_rows=5
[LINE 24] UID=AP2019PC05 | family_rows=1 | sources_rows=6
[LINE 25] UID=GJ2019PC16 | family_rows=1 | sources_rows=5
[LINE 26] Existing error preserved | UID=PB2019PC06
[LINE 27] UID=AP2019PC19 | family_rows=1 | sources_rows=9
[LINE 28] UID=JK2019PC03 | family_rows=1 | sources_rows=4
[LINE 29] UID=AN2019PC01 | family_rows=1 | sources_rows=4
[LINE 30] UID=UP2019PC24 | family_rows=1 | sources_rows=4
[LINE 31] UID=TN2019PC07 | family_rows=1 | sources_rows=6
[LINE 32] UID=WB2019PC29 | family_rows=1 | sources_rows=5
[LINE 33] UID=TN2019PC12 | family_rows=3 | sources_rows=6
[LINE 34] UID=BR2019PC09 | family_rows=1 | sources_rows=5
[LINE 35] UID=BR2019PC32 | family_rows=1 | sources_rows=4
[LINE 36] UID=AP2019PC01 | family_rows=1 | sources_rows=4
[LINE 37] UID=AR2019PC02 | family_rows=1 | sources_rows=7
[LINE 38] UID=AR2019PC01 | family_rows=1 | sources_rows=6
[LINE 39] UID=WB2019PC40 | family_rows=1 | sources_rows=5
[LINE 40] UID=OR2019PC19 | family_rows=1 | sources_rows=4
[LINE 41] UID=KL2019PC19 | family_rows=1 | sources_rows=5
[LINE 42] UID=MH2019PC19 | family_rows=1 | sources_rows=6
[LINE 43] UID=BR2019PC37 | family_rows=1 | sources_rows=7
[LINE 44] UID=AS2019PC03 | family_rows=1 | sources_rows=6
[LINE 45] UID=UP2019PC69 | family_rows=12 | sources_rows=8
[LINE 46] UID=UP2019PC23 | family_rows=3 | sources_rows=5
[LINE 47] UID=KA2019PC03 | family_rows=1 | sources_rows=5
[LINE 48] UID=UP2019PC11 | family_rows=1 | sources_rows=3
[LINE 49] UID=WB2019PC10 | family_rows=1 | sources_rows=4
[LINE 50] UID=UP2019PC56 | family_rows=1 | sources_rows=4
[LINE 51] UID=MP2019PC15 | family_rows=1 | sources_rows=4
[LINE 52] Existing error preserved | UID=OR2019PC06
[LINE 53] UID=UP2019PC72 | family_rows=1 | sources_rows=3
[LINE 54] UID=WB2019PC06 | family_rows=1 | sources_rows=2
[LINE 55] UID=GJ2019PC02 | family_rows=1 | sources_rows=4
[LINE 56] UID=UP2019PC48 | family_rows=1 | sources_rows=2
[LINE 57] UID=KA2019PC25 | family_rows=1 | sources_rows=4
[LINE 58] UID=KA2019PC24 | family_rows=1 | sources_rows=4
[LINE 59] UID=KA2019PC23 | family_rows=1 | sources_rows=6
[LINE 60] UID=KA2019PC26 | family_rows=1 | sources_rows=3
[LINE 61] UID=WB2019PC14 | family_rows=3 | sources_rows=6
