#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
1,Adilabad,35,GEN,Andhra Pradesh,P.G. Reddy,Indian National Congress,465742,284595,61.1 %,74250,26.1%
2,Adoor,493,SC,Kerala,P. C. Adichan,Communist Party Of India,441409,356004,80.7 %,76398,21.5%
3,Agra,425,GEN,Uttar Pradesh [1947 - 1999],S.A. Singh,Indian National Congress,481694,297605,61.8 %,27733,9.3%
4,Ahmedabad,117,GEN,Gujarat,I.Yagnik,Independent,474589,322026,67.9 %,84797,26.3%
5,Ahmednagar,259,GEN,Maharashtra,A. V. Patil,Indian National Congress,467945,288801,61.7 %,50640,17.5%
6,Ajmer,340,GEN,Rajasthan,V. N Bhargava,Indian National Congress,489607,311107,63.5 %,37221,12.0%
7,Akbarpur,378,SC,Uttar Pradesh [1947 - 1999],R. J. Ram,Republican Party Of India,496721,285132,57.4 %,3526,1.2%
8,Akola,241,GEN,Maharashtra,K. M. A. H. Sardarkhan,Indian National Congress,513828,363451,70.7 %,46295,12.7%
9,Aligarh,428,GEN,Uttar Pradesh [1947 - 1999],S.K. Shastri,Independent,514626,292538,56.8 %,18554,6.3%
10,Alipore,454,GEN,West Bengal,I. Gupta,Communist Party Of India,565727,385961,68.2 %,587,0.2%
11,Allahabad,408,GEN,Uttar Pradesh [1947 - 1999],H. Krishna,Indian National Congress,470006,243634,51.8 %,16544,6.8%
12,Almora,355,GEN,Uttar Pradesh [1947 - 1999],J. B. Singh,Indian National Congress,455152,132646,29.1 %,10634,8.0%
13,Alwar,336,GEN,Rajasthan,B. Nath,Indian National Congress,513318,315612,61.5 %,34586,11.0%
14,Amalapuram,9,SC,Andhra Pradesh,S. Bayya,Indian National Congress,518486,358480,69.1 %,63266,17.6%
15,Ambala,133,SC,Haryana,S. Bhan,Bhartiya Jan Sangh,459451,329601,71.7 %,8700,2.6%
16,Ambalapuzha,491,GEN,Kerala,S. Gopalan,Communist Party Of India (MARXIST),458181,371238,81.0 %,50277,13.5%
17,Amethi,376,GEN,Uttar Pradesh [1947 - 1999],V. D. Bajpai,Indian National Congress,505259,188666,37.3 %,3665,1.9%
18,Amravati,242,GEN,Maharashtra,K. G. Deshmukh,Indian National Congress,521799,360626,69.1 %,21074,5.8%
19,Amreli,114,GEN,Gujarat,J.V. Shah,Indian National Congress,452378,238406,52.7 %,49588,20.8%
20,Amritsar,320,GEN,Punjab,Y.D. Sharma,Bhartiya Jan Sangh,459126,342292,74.6 %,11275,3.3%
21,Amroha,358,GEN,Uttar Pradesh [1947 - 1999],I. Sambhali,Communist Party Of India,488603,294719,60.3 %,4057,1.4%
22,Anakapalli,6,GEN,Andhra Pradesh,M. Suryanarayanamurthy,Indian National Congress,533479,379471,71.1 %,3024,0.8%
23,Anand,126,GEN,Gujarat,N.R. Mahida,Indian National Congress,464136,354263,76.3 %,21222,6.0%
24,Anantapur,25,GEN,Andhra Pradesh,P. A. Reddy,Indian National Congress,503317,350828,69.7 %,62614,17.8%
25,Anantnag,144,GEN,Jammu & Kashmir,M.S. Qureshi,Indian National Congress,1,RU,,RU,
26,Andaman Nicobar,497,GEN,Andaman & Nicobar Islands,K. R. Ganesh,Indian National Congress,47064,36924,78.5 %,10040,27.2%
27,Angul,316,GEN,Orissa,D. Deblal,Swatantra,481556,176034,36.6 %,31521,17.9%
28,Aonla,362,GEN,Uttar Pradesh [1947 - 1999],S. Shyam,Indian National Congress,513149,282035,55.0 %,1132,0.4%
29,Arambagh,463,GEN,West Bengal,A. Bose,Forward Bloc,487962,347927,71.3 %,82022,23.6%
30,Araria,75,SC,Bihar [1947 - 1999],T. M. Ram,Indian National Congress,469809,243643,51.9 %,70649,29.0%
31,Asansol,473,GEN,West Bengal,D. Sen,Samyukta Socialist Party,443945,255556,57.6 %,6992,2.7%
32,Aurangabad,95,GEN,Bihar [1947 - 1999],M. Singh,Indian National Congress,557937,257360,46.1 %,57679,22.4%
33,Aurangabad,254,GEN,Maharashtra,B. D. Deshmukh,Indian National Congress,481505,260459,54.1 %,83464,32.0%
34,Ausgram,472,SC,West Bengal,B. Das,Communist Party Of India (MARXIST),525272,308908,58.8 %,8858,2.9%
35,Autonomous Dists,44,ST,Assam,G. G. Swell,All Party Hill Leaders Conference,371287,190841,51.4 %,41673,21.8%
36,Azamgarh,397,GEN,Uttar Pradesh [1947 - 1999],C. Jeet,Indian National Congress,495837,250853,50.6 %,21153,8.4%
37,Badagara,480,GEN,Kerala,A. Sreedharan,Samyukta Socialist Party,463046,345034,74.5 %,100503,29.1%
38,Bagaha,56,SC,Bihar [1947 - 1999],B. Raut,Indian National Congress,478691,197351,41.2 %,50710,25.7%
39,Bagalkot,294,GEN,Mysore,S. B. Patil,Indian National Congress,472138,316256,67.0 %,125680,39.7%
40,Baghpat,433,GEN,Uttar Pradesh [1947 - 1999],R.S. Shastri,Independent,511368,325439,63.6 %,87558,26.9%
41,Bahraich,383,GEN,Uttar Pradesh [1947 - 1999],K. K. Nayar,Bhartiya Jan Sangh,486826,220678,45.3 %,46632,21.1%
42,Balaghat,167,GEN,Madhya Pradesh [1947 - 1999],C.R. Gautam,Indian National Congress,468694,266751,56.9 %,77217,28.9%
43,Balasore,298,GEN,Orissa,S. Kundu,Praja Socialist Party,461490,238786,51.7 %,35369,14.8%
44,Ballia,395,GEN,Uttar Pradesh [1947 - 1999],C. Prasad,Indian National Congress,504162,255547,50.7 %,19713,7.7%
45,Balrampur,384,GEN,Uttar Pradesh [1947 - 1999],A. Behari,Bhartiya Jan Sangh,534711,295579,55.3 %,31742,10.7%
46,Balurghat,442,SC,West Bengal,J.N.Pramanik,Indian National Congress,455601,297118,65.2 %,23449,7.9%
47,Banaskantha,121,GEN,Gujarat,M. Amersey,Swatantra,427762,244894,57.3 %,4407,1.8%
48,Banda,411,GEN,Uttar Pradesh [1947 - 1999],Jageshwar,Communist Party Of India,513136,244997,47.8 %,7469,3.0%
49,Bangalore,279,GEN,Mysore,K. Hanumanthiah,Indian National Congress,541271,282182,52.1 %,50620,17.9%
50,Banka,82,GEN,Bihar [1947 - 1999],B. S. Sharma,Bhartiya Jan Sangh,513057,262446,51.2 %,17567,6.7%
51,Bankura,470,GEN,West Bengal,J. M. Biswas,Communist Party Of India,520725,273639,52.6 %,29770,10.9%
52,Bansgaon,389,SC,Uttar Pradesh [1947 - 1999],Molahu,Samyukta Socialist Party,493512,227407,46.1 %,8606,3.8%
53,Banswara,344,ST,Rajasthan,Hirji,Indian National Congress,490355,351174,71.6 %,32629,9.3%
54,Bara Banki,381,GEN,Uttar Pradesh [1947 - 1999],R. S. Yadav,Samyukta Socialist Party,541714,301217,55.6 %,13374,4.4%
55,Baramati,263,GEN,Maharashtra,T. S. Jadhav,Indian National Congress,449494,283908,63.2 %,94573,33.3%
56,Baramulla,142,GEN,Jammu & Kashmir,S.A. Agha,Indian National Congress,367400,188657,51.4 %,20515,10.9%
57,Barasat,449,GEN,West Bengal,R. N. Sen,Communist Party Of India,493226,365429,74.1 %,32571,8.9%
58,Bareilly,363,GEN,Uttar Pradesh [1947 - 1999],B. B. Lal,Bhartiya Jan Sangh,467013,284608,60.9 %,40648,14.3%
59,Barh,89,GEN,Bihar [1947 - 1999],T. Sinha,Indian National Congress,583769,328482,56.3 %,27454,8.4%
60,Barmer,350,GEN,Rajasthan,A. Nahta,Indian National Congress,526696,226254,43.0 %,29933,13.2%
61,Baroda,127,GEN,Gujarat,P.C. Patel,Swatantra,447095,304363,68.1 %,22317,7.3%
62,Barpeta,47,GEN,Assam,F. A. Ahmed,Indian National Congress,413057,301065,72.9 %,58320,19.4%
63,Barrackpore,455,GEN,West Bengal,M. Ismail,Communist Party Of India (MARXIST),598939,424548,70.9 %,25912,6.1%
64,Basirhat,450,GEN,West Bengal,H. Kabir,Bangla Congress,496679,353335,71.1 %,141639,40.1%
65,Bastar,164,ST,Madhya Pradesh [1947 - 1999],J. Sundarlal,Independent,427235,214777,50.3 %,17267,8.0%
66,Basti,386,SC,Uttar Pradesh [1947 - 1999],S. Narain,Indian National Congress,490438,241686,49.3 %,18790,7.8%
67,Begusarai,87,GEN,Bihar [1947 - 1999],Y. Sharma,Communist Party Of India,569752,354259,62.2 %,88702,25.0%
68,Belgaum,292,GEN,Mysore,N. M. Nabisab,Indian National Congress,477375,328642,68.8 %,122317,37.2%
69,Bellary,273,GEN,Mysore,V. K. R. V. Rao,Indian National Congress,499874,337391,67.5 %,24380,7.2%
70,Berhampore,446,GEN,West Bengal,T. Chaudhuri,Independent,518033,329355,63.6 %,8628,2.6%
71,Bettiah,58,GEN,Bihar [1947 - 1999],K. N. Tiwari,Indian National Congress,484032,239262,49.4 %,45483,19.0%
72,Betul,173,GEN,Madhya Pradesh [1947 - 1999],S.N. Kumar,Indian National Congress,505649,242985,48.1 %,13899,5.7%
73,Bhadrachalam,5,ST,Andhra Pradesh,B.K. Radhabai,Indian National Congress,465192,246715,53.0 %,67235,27.3%
74,Bhadrak,299,SC,Orissa,D. Jena,Independent,547557,310129,56.6 %,21097,6.8%
75,Bhagalpur,83,GEN,Bihar [1947 - 1999],B. J. Azad,Indian National Congress,538207,302401,56.2 %,34814,11.5%
76,Bhandara,245,GEN,Maharashtra,A. R. Mehata,Indian National Congress,530880,366499,69.0 %,55872,15.2%
77,Bhanjanagar,305,GEN,Orissa,A. T. Sarma,Indian National Congress,506312,225954,44.6 %,4695,2.1%
78,Bharatpur,337,GEN,Rajasthan,B. Singh,Independent,495788,358186,72.3 %,95093,26.5%
79,Bhatinda,329,SC,Punjab,K. Singh,Akali Dal - Sant Fateh Singh Group,493595,338351,68.6 %,61632,18.2%
80,Bhavnagar,115,GEN,Gujarat,J.N. Mehta,Indian National Congress,465812,241124,51.8 %,5093,2.1%
81,Bhilwara,347,GEN,Rajasthan,R. Chandra,Indian National Congress,522342,258459,49.5 %,79436,30.7%
82,Bhind,149,GEN,Madhya Pradesh [1947 - 1999],Y.S. Kushwah,Bhartiya Jan Sangh,516297,317537,61.5 %,71209,22.4%
83,Bhir,255,GEN,Maharashtra,N. R. Patil,Communist Party Of India,530388,277616,52.3 %,14097,5.1%
84,Bhiwandi,232,GEN,Maharashtra,S. D. Baswant,Indian National Congress,509052,331587,65.1 %,50874,15.3%
85,Bholpur,476,GEN,West Bengal,A. K. Chanda,Indian National Congress,483643,259965,53.8 %,13632,5.2%
