#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,ACs
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
1,Adilabad,35,GEN,Andhra Pradesh,Dr. S. Venugopal Chary,Telugu Desam,1094868,770154,70.3 %,109723,14.2%,AC View
2,Adoor,17,GEN,Kerala,Kodikunnil Suresh,Indian National Congress,1007138,703008,69.8 %,22006,3.1%,AC View
3,Agra,73,GEN,Uttar Pradesh [1947 - 1999],Raj Babbar,Samajwadi Party,1250278,642572,51.4 %,112982,17.6%,AC View
4,Ahmedabad,10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,1320165,527744,40.0 %,52968,10.0%,AC View
5,Ahmednagar,39,GEN,Maharashtra,Dilipkumar Mansukhlal Gandhi,Bharatiya Janta Party,1147112,775866,67.6 %,28457,3.7%,AC View
6,Ajmer,12,GEN,Rajasthan,Rasa Singh Rawat,Bharatiya Janta Party,1106811,594384,53.7 %,87674,14.8%,AC View
7,Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Mayawati,Bahujan Samaj Party,1230232,749450,60.9 %,53386,7.1%,AC View
8,Akola,19,GEN,Maharashtra,Ambedkar Prakash Yashwant,Bharipa Bahujan Mahasangh,1145140,698216,61.0 %,8716,1.2%,AC View
9,Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Sheela Gautam,Bharatiya Janta Party,1253174,564618,45.1 %,80817,14.3%,AC View
10,Alipurduars,2,ST,West Bengal,Joachim Baxla,Revolutionary Socialist Party,1039377,777585,74.8 %,153133,19.7%,AC View
11,Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Dr. Murli Manohar Joshi,Bharatiya Janta Party,1410588,648551,46.0 %,70331,10.8%,AC View
12,Alleppey,15,GEN,Kerala,V.M. Sudheeran,Indian National Congress,1033539,793041,76.7 %,35094,4.4%,AC View
13,Almora,3,GEN,Uttar Pradesh [1947 - 1999],Bachi Singh Rawat,Bharatiya Janta Party,965628,403872,41.8 %,11459,2.8%,AC View
14,Alwar,8,GEN,Rajasthan,Dr. Jaswant Singh Yadav,Bharatiya Janta Party,1156697,619741,53.6 %,57928,9.3%,AC View
15,Amalapuram,9,SC,Andhra Pradesh,Ganti Mohanachandra Balayogi,Telugu Desam,908257,685230,75.4 %,118879,17.3%,AC View
16,Ambala,1,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,1091846,698854,64.0 %,124478,17.8%,AC View
17,Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Sonia Gandhi,Indian National Congress,1110623,638178,57.5 %,300012,47.0%,AC View
18,Amravati,21,GEN,Maharashtra,Gudhe Anant Mahadeoappa,Shiv Sena,1124886,698233,62.1 %,73652,10.5%,AC View
19,Amreli,7,GEN,Gujarat,Dileep Sanghani,Bharatiya Janta Party,874521,416598,47.6 %,36324,8.7%,AC View
20,Amritsar,2,GEN,Punjab,Raghunandan Lal Bhatia,Indian National Congress,1244316,596536,47.9 %,31999,5.4%,AC View
21,Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Rashid Alvi,Bahujan Samaj Party,1222239,778257,63.7 %,93225,12.0%,AC View
22,Anakapalli,6,GEN,Andhra Pradesh,Ganta Srinivasa Rao,Telugu Desam,1035708,764079,73.8 %,58464,7.7%,AC View
23,Anand,20,GEN,Gujarat,Patel Dipakbhai Chimanbhai (Sathi),Bharatiya Janta Party,1047272,560573,53.5 %,3661,0.7%,AC View
24,Anantapur,25,GEN,Andhra Pradesh,Kalava Srinivasulu,Telugu Desam,1226314,772471,63.0 %,21102,2.7%,AC View
25,Anantnag,3,GEN,Jammu & Kashmir,Ali Mohd Naik,Jammu & Kashmir National Conference,804911,115243,14.3 %,13492,11.7%,AC View
26,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janta Party,247384,147102,59.5 %,13947,9.5%,AC View
27,Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Kunwar Sarvraj Singh,Samajwadi Party,1008983,592306,58.7 %,17626,3.0%,AC View
28,Arakkonam,6,SC,Tamil Nadu,"Jagathrakshakan, S. Dr.",Dravida Munetra Kazhagam,1120043,742796,66.3 %,95644,12.9%,AC View
29,Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),1143407,944408,82.6 %,116721,12.4%,AC View
30,Araria,22,SC,Bihar [1947 - 1999],Sukdeo Paswan,Rashtriya Janata Dal,1043070,648975,62.2 %,2169,0.3%,AC View
31,Arrah,36,GEN,Bihar [1947 - 1999],Ram Prasad Singh,Rashtriya Janata Dal,1121825,689472,61.5 %,92282,13.4%,AC View
32,Arunachal East,2,GEN,Arunachal Pradesh,Wangcha Rajkumar,Indian National Congress,265446,196263,73.9 %,41403,21.1%,AC View
33,Arunachal West,1,GEN,Arunachal Pradesh,Jarbom Gamlin,Indian National Congress,346126,244968,70.8 %,60723,24.8%,AC View
34,Asansol,38,SC,West Bengal,Bikash Chowdhury,Communist Party Of India (MARXIST),1265480,829147,65.5 %,37864,4.6%,AC View
