PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Adilabad,1,ST,Telangana,Godam Nagesh,Bharatiya Janta Party,1650175,1235597,74.90%,90652,7.30%
Agra,18,SC,Uttar Pradesh [2000 Onwards],Prof S P Singh Baghel,Bharatiya Janta Party,2072685,1123779,54.20%,271294,24.10%
Ahmadnagar,37,GEN,Maharashtra,Nilesh Dnyandev Lanke,Nationalist Congress Party – Sharadchandra Pawar,1981866,1325477,66.90%,28929,2.20%
Ahmedabad East,7,GEN,Gujarat,Hasmukhbhai Patel (H.S.PATEL),Bharatiya Janta Party,2038162,1128339,55.40%,461755,40.90%
Ahmedabad West,8,SC,Gujarat,Dineshbhai Makwana (ADVOCATE),Bharatiya Janta Party,1726987,966646,56.00%,286437,29.60%
Ajmer,13,GEN,Rajasthan,Bhagirath Choudhary,Bharatiya Janta Party,1995699,1201179,60.20%,329991,27.50%
Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh Alias Bhole Singh,Bharatiya Janta Party,1869167,1086953,58.20%,44345,4.10%
Akola,6,GEN,Maharashtra,Anup Sanjay Dhotre,Bharatiya Janta Party,1890814,1173072,62.00%,40626,3.50%
Alappuzha,15,GEN,Kerala,K. C Venugopal,Indian National Congress,1400082,1058703,75.60%,63513,6.00%
Alathur,9,SC,Kerala,K.Radhakrishnan,Communist Party Of India (Marxist),1337496,992268,74.20%,20111,2.00%
Aligarh,15,GEN,Uttar Pradesh [2000 Onwards],Satish Kumar Gautam,Bharatiya Janta Party,1997234,1133366,56.70%,15647,1.40%
Alipurduars,2,ST,West Bengal,Manoj Tigga,Bharatiya Janta Party,1773252,1421389,80.20%,75447,5.30%
Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Ujjwal Raman Singh,Indian National Congress,1825730,947000,51.90%,58795,6.20%
Almora,3,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,1339327,668497,49.90%,234097,35.00%
Alwar,8,GEN,Rajasthan,Bhupender Yadav,Bharatiya Janta Party,2059888,1253438,60.90%,48282,3.90%
Amalapuram,7,SC,Andhra Pradesh [2014 Onwards],G M Harish (BALAYOGI),Telugu Desam,1531410,1301106,85.00%,342196,26.30%
Ambala,1,SC,Haryana,Varun Chaudhry,Indian National Congress,1996708,1346722,67.50%,49036,3.60%
Ambedkar Nagar,55,GEN,Uttar Pradesh [2000 Onwards],Lalji Verma,Samajwadi Party,1911297,1177062,61.60%,137247,11.70%
Amethi,37,GEN,Uttar Pradesh [2000 Onwards],Kishori Lal,Indian National Congress,1796098,980671,54.60%,167196,17.00%
Amravati,7,SC,Maharashtra,Balwant Baswant Wankhade,Indian National Congress,1836078,1173579,63.90%,19731,1.70%
Amreli,14,GEN,Gujarat,Bharatbhai Manubhai Sutariya,Bharatiya Janta Party,1732810,876426,50.60%,321068,36.60%
Amritsar,2,GEN,Punjab,Gurjeet Singh Aujla,Indian National Congress,1611263,905656,56.20%,40301,4.40%
Amroha,9,GEN,Uttar Pradesh [2000 Onwards],Kanwar Singh Tanwar,Bharatiya Janta Party,1716641,1110690,64.70%,28670,2.60%
Anakapalli,5,,Andhra Pradesh [2014 Onwards],C.M.Ramesh,Bharatiya Janta Party,1596916,1325332,83.00%,296530,22.40%
Anand,16,GEN,Gujarat,Mitesh Patel (BAKABHAI),Bharatiya Janta Party,1780182,1167969,65.60%,89939,7.70%
Anandpur Sahib,6,GEN,Punjab,Malvinder Singh Kang,Aam Aadmi Party,1732211,1077123,62.20%,10846,1.00%
Anantapur,19,,Andhra Pradesh [2014 Onwards],Ambica G Lakshminarayana Valmiki,Telugu Desam,1767591,1440428,81.50%,188555,13.10%
Anantnag,3,,Jammu & Kashmir,Mian Altaf Ahmad,Jammu & Kashmir National Conference,1836576,1026148,55.90%,281794,27.50%
Andaman And Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janta Party,315148,202514,64.30%,24396,12.00%
