PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Father/Husband Name,Gender,Age
Ahmedabad East,7,GEN,Gujarat,Hasmukhbhai Patel (H.S.PATEL),Bharatiya Janta Party,2038162,1128339,55.40%,461755.0,40.90%,SOMABHAI PATEL,male,63
Ahmedabad West,8,SC,Gujarat,Dineshbhai Makwana (ADVOCATE),Bharatiya Janta Party,1726987,966646,56.00%,286437.0,29.60%,KODARBHAI MAKWANA,male,54
Amreli,14,GEN,Gujarat,Bharatbhai Manubhai Sutariya,Bharatiya Janta Party,1732810,876426,50.60%,321068.0,36.60%,Manubhai,male,54
Anand,16,GEN,Gujarat,Mitesh Patel (BAKABHAI),Bharatiya Janta Party,1780182,1167969,65.60%,89939.0,7.70%,RAMESHABHAI SHANABHAI PATEL,male,59
Banaskantha,2,GEN,Gujarat,Geniben Nagaji Thakor,Indian National Congress,1961924,1375903,70.10%,30406.0,2.20%,Nagaji Ravjiji Thakor,female,48
Bardoli,23,ST,Gujarat,Parbhubhai Nagarbhai Vasava,Bharatiya Janta Party,2048408,1339333,65.40%,230253.0,17.20%,NAGARBHAI DIVELIABHAI VASAVA,male,54
Bharuch,22,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,1723353,1198964,69.60%,85696.0,7.10%,DHANJIBHAI VASAVA,male,66
Bhavnagar,15,GEN,Gujarat,Nimuben Jayantibhai Bambhaniya (NIMUBEN BAMBHANIYA),Bharatiya Janta Party,1916900,1047232,54.60%,455289.0,43.50%,JAYANTIBHAI,female,57
Chhota Udaipur,21,ST,Gujarat,Jashubhai Bhilubhai Rathva,Bharatiya Janta Party,1821708,1267719,69.60%,398777.0,31.50%,BHILUBHAI NAYKABHAI RATHVA,male,54
Dahod,19,ST,Gujarat,Jaswantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,1875136,1118294,59.60%,333677.0,29.80%,SUMANBHAI BHABHOR,male,57
Gandhinagar,6,GEN,Gujarat,Amit Shah,Bharatiya Janta Party,2182736,1321802,60.60%,744716.0,56.30%,ANILCHANDRA GOKALDAS SHAH,male,59
Jamnagar,12,GEN,Gujarat,Poonamben Hematbhai Maadam,Bharatiya Janta Party,1817864,1051235,57.80%,238008.0,22.60%,HEMATBHAI,female,49
Junagadh,13,GEN,Gujarat,Chudasama Rajeshbhai Naranbhai,Bharatiya Janta Party,1795110,1068253,59.50%,135494.0,12.70%,NARANBHAI RAMABHAI CHUDASAMA,male,42
Kachchh,1,SC,Gujarat,Chavda Vinod Lakhamshi,Bharatiya Janta Party,1943136,1095157,56.40%,268782.0,24.50%,LAKHAMSHI CHAVDA,male,45
Kheda,17,GEN,Gujarat,Devusinh Chauhan,Bharatiya Janta Party,2007404,1175848,58.60%,357758.0,30.40%,JESINGBHAI,male,59
Mahesana,4,GEN,Gujarat,Haribhai Patel,Bharatiya Janta Party,1770617,1076827,60.80%,328046.0,30.50%,PATEL NATHTHURAM AMBARAM,male,62
Navsari,25,GEN,Gujarat,C R Patil,Bharatiya Janta Party,2223550,1338216,60.20%,773551.0,57.80%,RAGHUNATH PATIL,male,69
Panchmahal,18,GEN,Gujarat,Rajpalsinh Mahendrasinh Jadav,Bharatiya Janta Party,1896743,1131497,59.70%,509342.0,45.00%,MAHENDRASINH JITSINH JADAV,male,43
Patan,3,GEN,Gujarat,Dabhi Bharatsinhji Shankarji,Bharatiya Janta Party,2019916,1193125,59.10%,31876.0,2.70%,,,
Porbandar,11,GEN,Gujarat,Dr. Mansukh Mandaviya,Bharatiya Janta Party,1768212,928977,52.50%,383360.0,41.30%,LAKHMANBHAI JIVABHAI MANDAVIYA,male,51
Rajkot,10,GEN,Gujarat,Parshottambhai Rupala,Bharatiya Janta Party,2112273,1273542,60.30%,484260.0,38.00%,Khodabhai Madhabhai Rupala,male,69
Sabarkantha,5,GEN,Gujarat,Shobhanaben Mahendrasinh Baraiya,Bharatiya Janta Party,1976349,1269358,64.20%,155682.0,12.30%,MAHENDRASINH BARAIYA,female,50
Surat,24,GEN,Gujarat,Mukeshkumar Chandrakaant Dalal ( Uncontested ),Bharatiya Janta Party,1606425,RU,,,,,,
Surendranagar,9,GEN,Gujarat,Chandubhai Chhaganbhai Shihora,Bharatiya Janta Party,2033419,1131377,55.60%,261617.0,23.10%,CHHAGANBHAI SHIHORA,male,61
Vadodara,20,GEN,Gujarat,Dr. Hemang Joshi,Bharatiya Janta Party,1949573,1212149,62.20%,582126.0,48.00%,JOSHI,male,33
Valsad,26,ST,Gujarat,Dhaval Laxmanbhai Patel,Bharatiya Janta Party,1859974,1361411,73.20%,210704.0,15.50%,,,
