#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Ichapuram,1,GEN,Mandava Venkata Krishna Rao,Independent,85720,60835,71.0 %,9106,15.0%
2,Sompeta,2,GEN,Majji Narayana Rao,Indian National Congress,94741,69747,73.6 %,4043,5.8%
3,Tekkali,3,GEN,Attada Janardhana Rao,Independent,94937,63949,67.4 %,19716,30.8%
4,Harishchandra,4,GEN,Kinjarapu Yerrannaidu,Independent,96574,69881,72.4 %,14190,20.3%
5,Narasannapeta,5,GEN,Simma Prabhakara Rao,Independent,90175,68051,75.5 %,10716,15.7%
6,Patapatnam,6,GEN,Tota Tulasida Naidu,Independent,87335,65745,75.3 %,6341,9.6%
7,Kothuru,7,ST,Gopalarao Nimmaka,Independent,93444,61344,65.6 %,10542,17.2%
8,Naguru,8,ST,Vijayaramaraju Sathrucherla,Indian National Congress,92370,57639,62.4 %,623,1.1%
9,Parvathipuram,9,GEN,Venkataraminaidu Mariserla,Independent,88469,64788,73.2 %,19738,30.5%
10,Salur,10,ST,Boniya Rajaiah,Independent,86088,54835,63.7 %,16124,29.4%
11,Bobbili,11,GEN,Sambangi Venkata China Appalanaidu,Independent,88436,68829,77.8 %,16950,24.6%
12,Therlam,12,GEN,Jayaprakash Thendu,Telugu Desam,98783,73722,74.6 %,24249,32.9%
13,Vunukuru,13,GEN,Kimidi Kalavenkatarao,Independent,100435,76261,75.9 %,23381,30.7%
14,Palakonda,14,SC,Syama Rao Gonipati,Independent,81920,55951,68.3 %,19085,34.1%
15,Amadalavalasa,15,GEN,Thammineni Seetharam,Independent,85996,64541,75.1 %,4273,6.6%
16,Srikakulam,16,GEN,Thangi Satyanarayana,Independent,107107,73943,69.0 %,37279,50.4%
17,Etcherla,17,SC,Kavali Prathibha Bharathi,Independent,90270,63518,70.4 %,25062,39.5%
18,Cheepurupalli,18,GEN,Tripurana Venkata Ratnam,Independent,99058,69650,70.3 %,22569,32.4%
19,Gajapathinagaram,19,GEN,Jampana Satyanarayana Raju,Independent,91792,71196,77.6 %,186,0.3%
20,Vizianagaram,20,GEN,Ashok Gajapathiraju Pusanati,Independent,104106,69323,66.6 %,40392,58.3%
21,Sathivada,21,GEN,Sambasivaraju Penumatsa,Indian National Congress,92943,73420,79.0 %,2297,3.1%
22,Bhogapuram,22,GEN,Pathivada Narayana Swamy Naidu,Independent,87317,62154,71.2 %,9463,15.2%
23,Bheemunipatnam,23,GEN,Ananda Gajapathi Raju Poosapati,Independent,100372,72887,72.6 %,39576,54.3%
24,Visakhapatnam-I,24,GEN,Madhavi Grandhi,Independent,110948,51506,46.4 %,28880,56.1%
25,Visakhapatnam-Ii,25,GEN,Vasudevarao Eswarapu,Independent,181277,91204,50.3 %,47916,52.5%
26,Pendurthi,26,GEN,Appalanarasimham Patakamsetti,Independent,140402,86382,61.5 %,32283,37.4%
27,Uttarapalli,27,GEN,Kolla Appalamaidu,Independent,92765,68826,74.2 %,30329,44.1%
28,Srungavarapukota,28,ST,Dukku Labudu Bariki,Independent,106204,68033,64.1 %,27185,40.0%
29,Paderu,29,ST,Tammarba Chitti Naidu,Indian National Congress,92974,29819,32.1 %,2568,8.6%
30,Madugula,30,GEN,Reddy Satyanarayana,Independent,101664,67621,66.5 %,16882,25.0%
31,Chodavaram,31,GEN,Gumuru Yerru Naidu,Independent,111235,75236,67.6 %,9282,12.3%
32,Anakapalli,32,GEN,Raja Kanna Babu,Independent,98169,68366,69.6 %,25384,37.1%
33,Paravada,33,GEN,Applaneidu Palia,Independent,97802,69532,71.1 %,28746,41.3%
34,Elamanchili,34,GEN,K. K. V. Satyanarayana Raju,Independent,104139,73378,70.5 %,7828,10.7%
35,Payakaraopeta,35,SC,Sumana Gantela,Independent,95999,57422,59.8 %,23778,41.4%
36,Narsipatnam,36,GEN,Ayyanna Patrudu Chintakayala,Independent,102284,77975,76.2 %,992,1.3%
37,Chintapalli,37,ST,Korabu Venkataratnam,Independent,98516,47566,48.3 %,1884,4.0%
38,Yellavaram,38,ST,Jogarao Chinnam,Independent,85556,43527,50.9 %,5293,12.2%
39,Burugupudi,39,GEN,Pendurthi Sambasiva Rao,Independent,110039,77052,70.0 %,31630,41.1%
40,Rajahmundry,40,GEN,Gorantala Buchaiah Chowdary,Independent,117366,82199,70.0 %,37351,45.4%
41,Kadiam,41,GEN,Girajala Venkataswamy Naidu,Independent,127413,88557,69.5 %,29820,33.7%
42,Jaggampeta,42,GEN,Thota Subbarao,Independent,102596,76964,75.0 %,18991,24.7%
43,Peddapuram,43,GEN,Balasu Ramarao,Independent,104501,76863,73.6 %,29411,38.3%
44,Prathipadu,44,GEN,Mudragada Padma Nabham,Independent,110911,80080,72.2 %,14342,17.9%
45,Tuni,45,GEN,Yanamala Ramakrishnudu,Independent,109162,78280,71.7 %,21680,27.7%
46,Pithapuram,46,GEN,Nageswara Rao Venna,Independent,90775,65650,72.3 %,23190,35.3%
47,Sampara,47,GEN,Thirumani Styalinga Nayakar,Independent,112903,79652,70.5 %,34484,43.3%
48,Kakinada,48,GEN,Gopala Krishna Murthy,Independent,129971,89080,68.5 %,55631,62.5%
49,Tallarevu,49,GEN,Chikkala Ramachandra Rao,Independent,100293,72762,72.5 %,32299,44.4%
50,Anaparthy,50,GEN,Nallamilli Moola Reddy,Independent,93649,71553,76.4 %,23904,33.4%
51,Ramachandrapuram,51,GEN,Ramachandra Raju Sri Raja Kakarla Poodi,Independent,102706,77462,75.4 %,24991,32.3%
52,Alamuru,52,GEN,Narayanamurthy Valluri,Independent,111878,86211,77.1 %,27636,32.1%
53,Mummidivaram,53,SC,Valtati Rajaskkubai,Independent,107500,75818,70.5 %,36199,47.7%
54,Allavaram,54,SC,Jogeswara Venkata Buchi Maheswara Rao Aithabathula,Independent,92903,65438,70.4 %,10636,16.3%
55,Amalapuram,55,GEN,Satyanarayana Rao,Independent,96567,77341,80.1 %,8929,11.5%
56,Kothapeta,56,GEN,Chirla Somasundara Reddy,Independent,93969,74417,79.2 %,20702,27.8%
57,Nagaram,57,SC,Undru Krishna Rao,Independent,90805,69225,76.2 %,17765,25.7%
58,Razole,58,GEN,Alluri Venkata Suryanarayana Raju,Independent,92352,71757,77.7 %,14107,19.7%
59,Narasapur,59,GEN,Venkataramajogayya Chegondi,Independent,111665,80479,72.1 %,23656,29.4%
60,Palacole,60,GEN,Allu Venkata Satyanarayana,Independent,96152,69034,71.8 %,26575,38.5%
61,Achanta,61,SC,Kota Bhaskararao,Independent,99172,71978,72.6 %,28367,39.4%
62,Bhimavaram,62,GEN,Venkata Narasimha Raju Penumatcha,Independent,117298,85605,73.0 %,41188,48.1%
63,Undi,63,GEN,Kalidinge Ramachandra Raju,Independent,569980,76488,13.4 %,33431,43.7%
64,Penugonda,64,GEN,Pratti Manema,Independent,96926,69110,71.3 %,27962,40.5%
65,Tanuku,65,GEN,Chitturi Venkareswara Rao,Independent,106839,80919,75.7 %,4098,5.1%
66,Attili,66,GEN,Vegesna Kankadurga Venkata Satyanarayana Raju,Independent,106465,77110,72.4 %,31148,40.4%
67,Tadepalligudem,67,GEN,Anjaneulu Eli,Independent,116994,83211,71.1 %,42694,51.3%
