#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Tawang-I,1,GEN,Karma Wangchu,Independent,4960,3695,74.5 %,1077.0,29.1%
2,Tawang - Ii,2,GEN,Tashi Khandu,Independent,4650,3577,76.9 %,238.0,6.7%
3,Dirang Kalaktang,3,GEN,Prem Khandu Thungon (Uncontested),Janta Party,7232,RU,,,
4,Bomdila,4,GEN,Rinchin Kharu,Janta Party,5105,3864,75.7 %,1748.0,45.2%
5,Seppa,5,GEN,Donglo Sonam,Janta Party,10831,6722,62.1 %,2583.0,38.4%
6,Chayangtajo,6,GEN,Kameng Dolo,Janta Party,9645,6205,64.3 %,887.0,14.3%
7,Koloriang,7,GEN,Chera Talo,Janta Party,6399,4307,67.3 %,326.0,7.6%
8,Nyapin Palin,8,GEN,Tadar Tang,Janta Party,8743,5183,59.3 %,2962.0,57.1%
9,Doimukh Sagalee,9,GEN,Tara Sinda,Janta Party,8352,6742,80.7 %,629.0,9.3%
10,Ziro,10,GEN,Padi Yubbe,Janta Party,13814,10445,75.6 %,2515.0,24.1%
11,Raga-Tali,11,GEN,Nido Techi,Janta Party,8662,6664,76.9 %,643.0,9.6%
12,Daporijo,12,GEN,Tadak Dulom,Janta Party,9918,8636,87.1 %,1501.0,17.4%
13,Toksing Taliha,13,GEN,Tara Payeng,Peoples Party Of Arunachal,8480,6118,72.1 %,132.0,2.2%
14,Mechuka,14,GEN,Tadik Chije,Independent,4843,4107,84.8 %,784.0,19.1%
15,Along North,15,GEN,Lium Ronya,Peoples Party Of Arunachal,8306,6808,82.0 %,1526.0,22.4%
16,Along South,16,GEN,Boken Ette,Independent,8738,7237,82.8 %,468.0,6.5%
17,Basar,17,GEN,Tomo Riba,Peoples Party Of Arunachal,7857,7013,89.3 %,1362.0,19.4%
18,Palin,18,ST,Sutem Tasung,Peoples Party Of Arunachal,10271,8309,80.9 %,2951.0,35.5%
19,Yingkiong Pangin,19,GEN,Gegong Apang,Janta Party,10855,7546,69.5 %,1610.0,21.3%
20,Mariyang Mebo,20,GEN,Onyok Rome,Peoples Party Of Arunachal,8602,6448,75.0 %,2130.0,33.0%
21,Koloriang,21,ST,Tade Tachc,Independent,3596,1600,44.5 %,718.0,44.9%
22,Roing,22,GEN,Aken Lego,Peoples Party Of Arunachal,4887,3625,74.2 %,1172.0,32.3%
23,Nomsai Chowkham,23,GEN,Chow Tewa Mien,Janta Party,13880,11343,81.7 %,1506.0,13.3%
24,Tezu Hayuliang,24,GEN,Sobeng Tayeng,Janta Party,10309,6806,66.0 %,2908.0,42.7%
25,Noadehing Nampong,25,GEN,Jungpum Jugli,Peoples Party Of Arunachal,4735,3609,76.2 %,247.0,6.8%
26,Changlang,26,GEN,Tengam,Janta Party,5831,4449,76.3 %,551.0,12.4%
27,Khonsa South,27,GEN,Sijen Kongkang,Peoples Party Of Arunachal,7736,5878,76.0 %,209.0,3.6%
28,Khonsa North,28,GEN,Nokmey Namati,Janta Party,7073,5271,74.5 %,465.0,8.8%
29,Niausa Kanubari,29,GEN,Noksong Boham (Uncontested),Janta Party,7975,RU,,,
30,Pongchau Wakka,30,GEN,Wnagnam Wangshu,Janta Party,7761,2380,30.7 %,434.0,18.2%
