#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Ratabari,1,SC,Sambhu Sing Mallah,Bharatiya Janta Party,136470,85648,62.8 %,11292,13.2%
2,Patharkandi,2,GEN,Kartik Sena Sinha,Bharatiya Janta Party,137403,100732,73.3 %,2580,2.6%
3,Karimganj North,3,GEN,Mission Ranjan Das,Bharatiya Janta Party,153483,99248,64.7 %,4681,4.7%
4,Karimganj South,4,GEN,Siddeque Ahmed,Independent,139792,93038,66.6 %,7635,8.2%
5,Badarpur,5,GEN,Anwarul Hoque,Assam United Democratic Front,122828,80931,65.9 %,5303,6.6%
6,Hailakandi,6,GEN,Hazi Salim Uddin Barbhuiya,Assam United Democratic Front,125078,79379,63.5 %,16749,21.1%
7,Katlicherra,7,GEN,Gautam Roy,Indian National Congress,137697,94136,68.4 %,12275,13.0%
8,Algapur,8,GEN,Rahul Roy,Indian National Congress,122740,86168,70.2 %,5224,6.1%
9,Silchar,9,GEN,Bithika Dev,Indian National Congress,200249,120048,59.9 %,4392,3.7%
10,Sonai,10,GEN,Kutub Ahmed Mazumder,Indian National Congress,140782,92373,65.6 %,5786,6.3%
11,Dholai,11,SC,Parimal Suklabaidya,Bharatiya Janta Party,145957,96542,66.1 %,12990,13.5%
12,Udharbond,12,GEN,Ajit Singh,Indian National Congress,131557,89311,67.9 %,17245,19.3%
13,Lakhipur,13,GEN,Dinesh Prasad Goala,Indian National Congress,135775,95885,70.6 %,30667,32.0%
14,Barkhola,14,GEN,Rumi Nath,Bharatiya Janta Party,115287,79329,68.8 %,3322,4.2%
15,Katigora,15,GEN,Ataur Rahman Mazarbhuiya,Assam United Democratic Front,138333,95479,69.0 %,14464,15.1%
16,Haflong,16,ST,Gobinda Ch. Langthasa,Indian National Congress,126814,94481,74.5 %,7818,8.3%
17,Bokajan,17,ST,Jagat Sing Engti,Autonomous State Demand Committee,120718,88581,73.4 %,339,0.4%
18,Howraghat,18,ST,Khor Sing Engti,Indian National Congress,103763,81121,78.2 %,12238,15.1%
19,Diphu,19,ST,Bidya Sing Engleng,Indian National Congress,162139,117559,72.5 %,5785,4.9%
20,Baithalangso,20,ST,Dr.Mansing Rongpi,Indian National Congress,163371,119571,73.2 %,8848,7.4%
21,Mankachar,21,GEN,Dr. Motiur Rohman Mondal,Independent,139407,125239,89.8 %,1903,1.5%
22,Salmara South,22,GEN,Badruddin Ajmal,Assam United Democratic Front,126241,104683,82.9 %,16380,15.6%
23,Dhubri,23,GEN,Rasul Hoque,Assam United Democratic Front,140355,112539,80.2 %,30730,27.3%
24,Gauripur,24,GEN,Mohibul Haque,Independent,142768,119198,83.5 %,4472,3.8%
25,Golakganj,25,GEN,Abu Taher Bepari,Indian National Congress,142157,116427,81.9 %,271,0.2%
26,Bilasipara West,26,GEN,Hafiz Bashir Ahmed,Assam United Democratic Front,119386,100421,84.1 %,6746,6.7%
27,Bilasipara East,27,GEN,Prasanta Kumar Barua,Asom Gana Parisad,153170,123281,80.5 %,14914,12.1%
28,Gossaigaon,28,GEN,Majendra Narzary,Independent,153919,120747,78.4 %,4217,3.5%
29,Kokrajhar West,29,ST,Parameswar Brahma,Independent,141704,111557,78.7 %,131,0.1%
30,Kokrajhar East,30,ST,Promila Rani Brahma,Independent,137682,104295,75.8 %,2235,2.1%
31,Sidli,31,ST,Chandan Brahma,Independent,154025,117520,76.3 %,5653,4.8%
32,Bongaigaon,32,GEN,Phani Bhusan Choudhury,Asom Gana Parisad,132224,103884,78.6 %,27673,26.6%
33,Bijni,33,GEN,Kamal Shing Narzary,Independent,103775,84674,81.6 %,2888,3.4%
34,Abhayapuri North,34,GEN,Abdul Hai Nagori,Indian National Congress,112079,95217,85.0 %,11447,12.0%
35,Abhayapuri South,35,SC,Rabin Banikya,Asom Gana Parisad,126298,106122,84.0 %,4034,3.8%
36,Dudhnai,36,ST,Deben Daimary,Indian National Congress,150446,119641,79.5 %,171,0.1%
37,Goalpara East,37,GEN,Dulal Chandra Ghosh,Nationalist Congress Party,155161,126674,81.6 %,8177,6.5%
38,Goalpara West,38,GEN,Abdur Rashid Mandal,Indian National Congress,118388,97906,82.7 %,2575,2.6%
39,Jaleswar,39,GEN,Afzalur Rahman,Loko Sanmilon,110075,90699,82.4 %,3186,3.5%
40,Sorbhog,40,GEN,Uddhab Barman,Communist Party Of India (Marxist),150168,120103,80.0 %,6981,5.8%
41,Bhabanipur,41,GEN,Dr. Manoranjan Das,Asom Gana Parisad,114980,89529,77.9 %,238,0.3%
42,Patacharkuchi,42,GEN,Dr.Malaya Borman,Indian National Congress,126197,88573,70.2 %,956,1.1%
43,Barpeta,43,GEN,Gunindra Nath Das,Asom Gana Parisad,140679,114426,81.3 %,2965,2.6%
44,Jania,44,GEN,Abdul Khaleque,Indian National Congress,121008,97946,80.9 %,90,0.1%
45,Baghbar,45,GEN,Dildar Rezza,Indian National Congress,97384,80530,82.7 %,12718,15.8%
46,Sarukhetri,46,GEN,Tara Prasad Das,Independent,137175,108025,78.7 %,11586,10.7%
47,Chenga,47,GEN,Liakat Ali Khan,Asom Gana Parisad,95678,78390,81.9 %,6532,8.3%
48,Boko,48,SC,Jyoti Prasad Das,Asom Gana Parisad,163181,133503,81.8 %,9141,6.8%
49,Chaygaon,49,GEN,Dr. Kamala Kanta Kalita,Asom Gana Parisad,136772,113867,83.3 %,18295,16.1%
50,Palasbari,50,GEN,Pranab Kalita,Independent,126351,105389,83.4 %,11331,10.8%
51,Jalukbari,51,GEN,Himanta Biswa Sarma,Indian National Congress,155791,121236,77.8 %,42468,35.0%
52,Dispur,52,GEN,Akon Bora,Indian National Congress,293848,173460,59.0 %,813,0.5%
53,Gauhati East,53,GEN,Captain Robin Bordoloi,Indian National Congress,192750,103951,53.9 %,2151,2.1%
54,Gauhati West,54,GEN,Ramendra Narayan Kalita,Asom Gana Parisad,218528,142423,65.2 %,9374,6.6%
55,Hajo,55,GEN,Nurul Hussain,Asom Gana Parisad,137847,110403,80.1 %,9032,8.2%
56,Kamalpur,56,GEN,Uttara Kalita,Indian National Congress,140649,107555,76.5 %,1118,1.0%
57,Rangiya,57,GEN,Ananta Deka,Communist Party Of India (Marxist),150271,114617,76.3 %,6115,5.3%
58,Tamulpur,58,GEN,Chandi Basumatary,Independent,161216,119200,73.9 %,3350,2.8%
59,Nalbari,59,GEN,Alaka Sarma,Asom Gana Parisad,163208,123105,75.4 %,14615,11.9%
60,Barkhetry,60,GEN,Dr.Bhumidhar Barman,Indian National Congress,156163,120255,77.0 %,17209,14.3%
61,Dharmapur,61,GEN,Chandra Mohan Patowary,Asom Gana Parisad,124460,96321,77.4 %,9554,9.9%
62,Barama,62,ST,Maneswar Brahma,Independent,132298,96544,73.0 %,2703,2.8%
63,Chapaguri,63,ST,Thaneswar Basumatary,Independent,123998,88994,71.8 %,17803,20.0%
64,Panery,64,GEN,Kamali Basumatari,Independent,117536,83869,71.4 %,5104,6.1%
65,Kalaigaon,65,GEN,Maheswar Baro,Independent,136226,105993,77.8 %,4145,3.9%
66,Sipajhar,66,GEN,Binanda Kumar Saikia,Indian National Congress,143064,114609,80.1 %,3229,2.8%
67,Mangaldoi,67,SC,Hiren Das,Asom Gana Parisad,171016,135245,79.1 %,8868,6.6%
68,Dalgaon,68,GEN,Ilias Ali,Independent,151300,126949,83.9 %,5685,4.5%
69,Udalguri,69,ST,Rihon Daimari,Independent,119743,85438,71.4 %,4875,5.7%
70,Majbat,70,GEN,Karendra Basumatary,Independent,113436,83503,73.6 %,4432,5.3%
71,Dhekiajuli,71,GEN,Joseph Toppo,Asom Gana Parisad,158815,121750,76.7 %,19604,16.1%
72,Barchalla,72,GEN,Tanka Bahadur Rai,Indian National Congress,128214,97548,76.1 %,922,0.9%
73,Tezpur,73,GEN,Brindaban Goswami,Asom Gana Parisad,143712,105058,73.1 %,8424,8.0%
74,Rangapara,74,GEN,Abhijit Hazarika,Bharatiya Janta Party,126171,98806,78.3 %,599,0.6%
75,Sootea,75,GEN,Padma Hazarika,Asom Gana Parisad,143728,113341,78.9 %,15664,13.8%
76,Biswanath,76,GEN,Nurjamal Sarkar,Indian National Congress,127226,101951,80.1 %,2343,2.3%
77,Behali,77,GEN,Ranjit Dutta,Bharatiya Janta Party,99879,80091,80.2 %,8979,11.2%
78,Gohpur,78,GEN,Ripun Bora,Indian National Congress,164186,130485,79.5 %,38163,29.2%
79,Jagiroad,79,SC,Bibekananda Dalai,Indian National Congress,172549,135284,78.4 %,12174,9.0%
80,Marigaon,80,GEN,Jonjonali Baruah,Indian National Congress,148127,115864,78.2 %,8702,7.5%
81,Laharighat,81,GEN,Dr. Nazrul Islam,Indian National Congress,130821,101673,77.7 %,25854,25.4%
82,Raha,82,SC,Guneswar Das,Assam United Democratic Front,166415,130120,78.2 %,387,0.3%
83,Dhing,83,GEN,Mobarak Ali Pathan,Assam United Democratic Front,150698,122709,81.4 %,2543,2.1%
84,Batadroba,84,GEN,Gautam Bora,Indian National Congress,127870,101433,79.3 %,11587,11.4%
85,Rupohihat,85,GEN,Abdul Aziz,Asom Gana Parisad,135053,111791,82.8 %,4731,4.2%
