#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Dhanaha,1,GEN,Rajesh Singh,Bahujan Samaj Party,122373,68304,55.8 %,3747,5.5%
2,Bagha,2,SC,Purnamasi Ram,Rashtriya Janata Dal,219242,120760,55.1 %,19477,16.1%
3,Ramnagar,3,GEN,Chandra Mohan Ray,Bharatiya Janta Party,184781,105532,57.1 %,19122,18.1%
4,Shikarpur,4,SC,Bhagirathi Devi,Bharatiya Janta Party,184955,96931,52.4 %,13308,13.7%
5,Sikta,5,GEN,Dilip Kr. Varma,Bharatiya Janta Party,171281,105355,61.5 %,26445,25.1%
6,Lauria,6,GEN,Vishwa Mohan Sharma,Indian National Congress,171518,98428,57.4 %,15496,15.7%
7,Chanpatia,7,GEN,Krishna Kumar Mishra,Bharatiya Janta Party,168217,104879,62.3 %,1559,1.5%
8,Bettiah,8,GEN,Renu Devi,Bharatiya Janta Party,231931,138963,59.9 %,10841,7.8%
9,Nautan,9,GEN,Baidyanath Prasad Mahto,Samata Party,174483,102683,58.8 %,23720,23.1%
10,Raxaul,10,GEN,Ajay Kumar Singh,Bharatiya Janta Party,176896,109215,61.7 %,12951,11.9%
11,Sugauli,11,GEN,Vijay Prasad Gupta,Kosal Party,183751,120714,65.7 %,506,0.4%
12,Motihari,12,GEN,Rama Devi,Rashtriya Janata Dal,216227,137657,63.7 %,34567,25.1%
13,Adapur,13,GEN,Virendra Prasad,Independent,185968,111696,60.1 %,267,0.2%
14,Dhaka,14,GEN,Manoj Kumar Singh,Rashtriya Janata Dal,207012,139096,67.2 %,6097,4.4%
15,Ghorasahan,15,GEN,Laxmi Na. Prasad Yadav,Janata Dal (United),177190,106259,60.0 %,21031,19.8%
16,Madhuban,16,GEN,Sita Ram Singh,Rashtriya Janata Dal,190031,128427,67.6 %,20809,16.2%
17,Pipra,17,SC,Surendra Kumar Chandra,Rashtriya Janata Dal,163512,95105,58.2 %,10767,11.3%
18,Kesariya,18,GEN,Obaidullah,Samata Party,191939,110737,57.7 %,29319,26.5%
19,Harsidhi,19,GEN,Maheshwar Singh,Samata Party,175446,124879,71.2 %,12718,10.2%
20,Gobindganj,20,GEN,Rajan Tiwari,Independent,192654,110872,57.5 %,3263,2.9%
21,Kateya,21,GEN,Kiran Devi,Rashtriya Janata Dal,201518,125715,62.4 %,17156,13.6%
22,Bhore,22,SC,Acharya Vishwanath Baitha,Bharatiya Janta Party,202229,118026,58.4 %,32373,27.4%
23,Mirganj,23,GEN,Prabhu Dayal Singh,Samata Party,189514,109754,57.9 %,24488,22.3%
24,Gopalganj,24,GEN,Anirudh Pd. Alias Sadhu Yadav,Rashtriya Janata Dal,202600,107687,53.2 %,10876,10.1%
25,Barauli,25,GEN,Ram Pravesh Rai,Bharatiya Janta Party,188880,117175,62.0 %,9725,8.3%
