#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Sarojini Nagar,1,GEN,Sh. Ram Bhaj,Bharatiya Janta Party,97600,42808,43.9 %,1528,3.6%
2,Gole Market,2,GEN,Sheila Dikshit,Indian National Congress,111241,46121,41.5 %,5667,12.3%
3,Minto Road,3,GEN,Tajdar Babar,Indian National Congress,123321,53632,43.5 %,14765,27.5%
4,Kasturba Nagar,4,GEN,Sushil Choudhary,Bharatiya Janta Party,97973,47923,48.9 %,899,1.9%
5,Jangpura,5,GEN,Tarvinder Singh Marwah,Indian National Congress,110798,55144,49.8 %,11919,21.6%
6,Okhla,6,GEN,Parvez Hashmi,Indian National Congress,154395,57128,37.0 %,18161,31.8%
7,Kalkaji,7,GEN,Subhash Chopra,Indian National Congress,125197,56255,44.9 %,5244,9.3%
8,Malviya Nagar,8,GEN,Dr. Yoganand Shastri,Indian National Congress,126712,56525,44.6 %,7964,14.1%
9,Hauz Khas,9,GEN,Sushma Swaraj,Bharatiya Janta Party,113260,51625,45.6 %,2615,5.1%
10,R.K.Puram,10,GEN,Ashok Singh,Indian National Congress,125242,45042,36.0 %,3357,7.5%
11,Delhi Cantonment,11,GEN,Kiran Choudhary,Indian National Congress,101691,45137,44.4 %,2626,5.8%
12,Janak Puri,12,GEN,Prof. Jagdish Mukhi,Bharatiya Janta Party,105785,56076,53.0 %,7700,13.7%
13,Hari Nagar,13,GEN,Harsharan Singh Balli,Bharatiya Janta Party,114357,59048,51.6 %,617,1.0%
14,Tilak Nagar,14,GEN,Jaspal Singh,Indian National Congress,109564,55888,51.0 %,1516,2.7%
15,Rajouri Garden,15,GEN,Ajay Makan,Indian National Congress,109244,55297,50.6 %,19297,34.9%
16,Madipur,16,SC,Mala Ram Gangwal,Indian National Congress,117702,61133,51.9 %,8096,13.2%
17,Tri Nagar,17,GEN,Nand Kishore Garg,Bharatiya Janta Party,95392,50803,53.3 %,2283,4.5%
18,Shakurbasti,18,GEN,Dr. S.C. Vats,Indian National Congress,118627,64648,54.5 %,8639,13.4%
19,Shalimar Bagh,19,GEN,Ravinder Nath,Bharatiya Janta Party,108880,57214,52.5 %,10005,17.5%
20,Badli,20,GEN,Jai Bhagwan Aggarwal,Bharatiya Janta Party,193959,88940,45.9 %,4437,5.0%
21,Sahibabad Daulatpur,21,GEN,Ramesh Kumar,Indian National Congress,163362,80051,49.0 %,9799,12.2%
22,Bawana,22,SC,Surender Kumar,Indian National Congress,156416,68527,43.8 %,25698,37.5%
23,Sultanpur Majra,23,SC,Sushila Devi,Indian National Congress,109476,60730,55.5 %,16933,27.9%
24,Mangolpuri,24,SC,Raj Kumar Chauhan,Indian National Congress,95382,53653,56.3 %,21014,39.2%
25,Nangloi Jat,25,GEN,Prem Chand,Indian National Congress,143635,62315,43.4 %,2827,4.5%
26,Vishnu Garden,26,GEN,Mahinder Singh Saathi,Indian National Congress,115323,54011,46.8 %,4237,7.8%
27,Hastsal,27,GEN,Mukesh Sharma,Indian National Congress,186326,92210,49.5 %,23288,25.3%
28,Najafgarh,28,GEN,Kanwal Singh,Indian National Congress,123806,76112,61.5 %,1827,2.4%
29,Nasirpur,29,GEN,Mahabal Mishra,Indian National Congress,182045,79058,43.4 %,1430,1.8%
30,Palam,30,GEN,Mahender Yadav,Indian National Congress,146736,67948,46.3 %,5547,8.2%
31,Mahipalpur,31,GEN,Mahender Singh,Indian National Congress,138678,62041,44.7 %,16834,27.1%
32,Mehrauli,32,GEN,Bhram Singh Tanwar,Bharatiya Janta Party,130711,67809,51.9 %,2607,3.8%
33,Saket,33,GEN,Tek Chand Sharma,Indian National Congress,140287,62095,44.3 %,7174,11.6%
