#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Nerela,1,GEN,North West,Sharad Kumar,Aam Aadmi Party,240811,160316,66.6 %,40292,25.1%
2,Burari,2,GEN,North,Sanjeev Jha,Aam Aadmi Party,288420,195427,67.8 %,67950,34.8%
3,Timarpur,3,GEN,North,Pankaj Pushkar,Aam Aadmi Party,188956,126297,66.8 %,20647,16.3%
4,Adarsh Nagar,4,GEN,North,Pawan Kumar Sharma,Aam Aadmi Party,157749,105183,66.7 %,20741,19.7%
5,Badli,5,GEN,North West,Ajesh Yadav,Aam Aadmi Party,223235,142350,63.8 %,35376,24.9%
6,Rithala,6,GEN,North West,Mohinder Goyal,Aam Aadmi Party,248415,165066,66.4 %,29251,17.7%
7,Bawana,7,SC,North West,Ved Parkash,Aam Aadmi Party,302849,188660,62.3 %,50023,26.5%
8,Mundka,8,GEN,North West,Sukhvir Singh,Aam Aadmi Party,261194,164632,63.0 %,40826,24.8%
9,Kirari,9,GEN,North West,Rituraj Govind,Aam Aadmi Party,242802,158485,65.3 %,45172,28.5%
10,Sultanpur Majra,10,SC,North West,Sandeep Kumar,Aam Aadmi Party,169908,115500,68.0 %,64439,55.8%
11,Nangloi Jat,11,GEN,West,Raghuvinder Shokeen,Aam Aadmi Party,239139,152375,63.7 %,37024,24.3%
12,Mangol Puri,12,SC,West,Rakhi Birla,Aam Aadmi Party,178935,128960,72.1 %,22699,17.6%
13,Rohini,13,GEN,North West,Vijender Kumar,Bharatiya Janta Party,174600,120142,68.8 %,5367,4.5%
14,Shalimar Bagh,14,GEN,North,Bandana Kumari,Aam Aadmi Party,174397,120164,68.9 %,10978,9.1%
15,Shakur Basti,15,GEN,North,Satyendar Jain,Aam Aadmi Party,147216,105887,71.9 %,3133,3.0%
16,Tri Nagar,16,GEN,North,Jitender Singh Tomar,Aam Aadmi Party,158846,113118,71.2 %,22311,19.7%
17,Wazirpur,17,GEN,North,Rajesh Gupta,Aam Aadmi Party,163276,111585,68.3 %,22044,19.8%
18,Model Town,18,GEN,North,Akhilesh Pati Tripathi,Aam Aadmi Party,153667,104284,67.9 %,16706,16.0%
19,Sadar Bazar,19,GEN,Central,Som Dutt,Aam Aadmi Party,165870,119276,71.9 %,34315,28.8%
20,Chandni Chowk,20,GEN,Central,Alka Lamba,Aam Aadmi Party,113777,74476,65.5 %,18287,24.6%
