AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Narela,1,GEN,North West,Sharad Kumar,Aam Aadmi Party,246304,164941,67.0 %,17429,10.6%
Burari,2,GEN,North,Sanjeev Jha,Aam Aadmi Party,343082,221050,64.4 %,88158,39.9%
Timarpur,3,GEN,North,Dilip Pandey,Aam Aadmi Party,197766,123503,62.4 %,24144,19.5%
Adarsh Nagar,4,GEN,North,Pawan Sharma,Aam Aadmi Party,169117,103333,61.1 %,1589,1.5%
Badli,5,GEN,North West,Ajesh Yadav,Aam Aadmi Party,213495,139030,65.1 %,29123,20.9%
Rithala,6,GEN,North West,Mohinder Goyal,Aam Aadmi Party,271658,166255,61.2 %,13873,8.3%
Bawana(SC),7,SC,North West,Jai Bhagwan,Aam Aadmi Party,307192,196796,64.1 %,11526,5.9%
Mundka,8,GEN,North West,Dharampal Lakra,Aam Aadmi Party,274213,167002,60.9 %,19158,11.5%
Kirari,9,GEN,North West,Rituraj Govind,Aam Aadmi Party,263164,172361,65.5 %,5654,3.3%
Sultanpur Majra(SC),10,SC,North West,Mukesh Kumar Ahlawat,Aam Aadmi Party,173027,111665,64.5 %,48052,43.0%
Nangloi Jat,11,GEN,West,Raghuvinder Shokeen,Aam Aadmi Party,261543,150410,57.5 %,11624,7.7%
Mangol Puri(SC),12,SC,West,Rakhi Birla,Aam Aadmi Party,189462,126028,66.5 %,30116,23.9%
Rohini,13,GEN,North West,Vijender Kumar,Bharatiya Janta Party,178779,115058,64.4 %,12648,11.0%
Shalimar Bagh,14,GEN,North,Bandana Kumari,Aam Aadmi Party,185571,116068,62.5 %,3440,3.0%
Shakur Basti,15,GEN,North,Satyendar Jain,Aam Aadmi Party,142202,98524,69.3 %,7592,7.7%
Tri Nagar,16,GEN,North,Preeti Tomar,Aam Aadmi Party,164603,111181,67.5 %,10710,9.6%
Wazirpur,17,GEN,North,Rajesh Gupta,Aam Aadmi Party,176525,108434,61.4 %,11690,10.8%
Model Town,18,GEN,North,Akhilesh Pati Tripathi,Aam Aadmi Party,165682,99322,59.9 %,11133,11.2%
Sadar Bazar,19,GEN,Central,Som Dutt,Aam Aadmi Party,179962,123070,68.4 %,25644,20.8%
Chandni Chowk,20,GEN,Central,Parlad Singh Sawhney,Aam Aadmi Party,122528,76936,62.8 %,29584,38.5%
Matia Mahal,21,GEN,Central,Shoaib Iqbal,Aam Aadmi Party,120398,88354,73.4 %,50241,56.9%
Ballimaran,22,GEN,Central,Imran Hussain,Aam Aadmi Party,135563,101192,74.6 %,36172,35.7%
Karol Bagh(SC),23,SC,Central,Vishesh Ravi,Aam Aadmi Party,173937,108014,62.1 %,31760,29.4%
Patel Nagar(SC),24,SC,Central,Raaj Kumar Anand,Aam Aadmi Party,192482,120047,62.4 %,30935,25.8%
Moti Nagar,25,GEN,Central,Shiv Charan Goel,Aam Aadmi Party,177823,112047,63.0 %,14072,12.6%
Madipur(SC),26,SC,West,Girish Soni,Aam Aadmi Party,173021,114557,66.2 %,22719,19.8%
Rajouri Garden,27,GEN,West,A Dhanwati Chandela A,Aam Aadmi Party,177741,110994,62.4 %,22972,20.7%
Hari Nagar,28,GEN,West,Raj Kumari Dhillon,Aam Aadmi Party,172296,107640,62.5 %,20131,18.7%
Tilak Nagar,29,GEN,West,Jarnail Singh,Aam Aadmi Party,154361,99863,64.7 %,28029,28.1%
Janakpuri,30,GEN,West,Rajesh Rishi,Aam Aadmi Party,185544,124190,66.9 %,14917,12.0%
Vikaspuri,31,GEN,West,Mahinder Yadav,Aam Aadmi Party,381371,238282,62.5 %,42058,17.7%
Uttam Nagar,32,GEN,South-West,Naresh Balyan,Aam Aadmi Party,269134,181709,67.5 %,19759,10.9%
Dwarka,33,GEN,South-West,Vinay Mishra,Aam Aadmi Party,212578,135760,63.9 %,14387,10.6%
Matiala,34,GEN,South-West,Gulab Singh,Aam Aadmi Party,400517,259713,64.8 %,28075,10.8%
Najafgarh,35,GEN,South-West,Kailash Gahlot,Aam Aadmi Party,245021,162744,66.4 %,6231,3.8%
Bijwasan,36,GEN,South-West,Bhupinder Singh Joon,Aam Aadmi Party,193192,124524,64.5 %,753,0.6%
Palam,37,GEN,South-West,Bhavna Gaur,Aam Aadmi Party,239346,156003,65.2 %,32765,21.0%
Delhi Cantt,38,GEN,South-West,Virender Singh Kadian,Aam Aadmi Party,123509,58646,47.5 %,10590,18.1%
Rajinder Nagar,39,GEN,South-West,Raghav Chadha,Aam Aadmi Party,175622,103176,58.7 %,20058,19.4%
New Delhi,40,GEN,New Delhi,Arvind Kejriwal,Aam Aadmi Party,143703,76135,53.0 %,21697,28.5%
Jangpura,41,GEN,New Delhi,Praveen Kumar,Aam Aadmi Party,142216,88284,62.1 %,16063,18.2%
Kasturba Nagar,42,GEN,New Delhi,Madan Lal,Aam Aadmi Party,151023,91247,60.4 %,3165,3.5%
Malviya Nagar,43,GEN,New Delhi,Somnath Bharti,Aam Aadmi Party,148921,89229,59.9 %,18144,20.3%
R K Puram,44,GEN,New Delhi,Pramila Tokas,Aam Aadmi Party,155286,89477,57.6 %,10369,11.6%
Mehrauli,45,GEN,South,Naresh Yadav,Aam Aadmi Party,196947,114414,58.1 %,18161,15.9%
Chhatarpur,46,GEN,South,Kartar Singh Tanwar,Aam Aadmi Party,209356,140574,67.1 %,3720,2.6%
Deoli(SC),47,SC,South,Prakash @ Prakash Jarwal,Aam Aadmi Party,230792,149613,64.8 %,40173,26.9%
Ambedkar Nagar(SC),48,SC,South,Ajay Dutt,Aam Aadmi Party,153234,100507,65.6 %,28327,28.2%
Sangam Vihar,49,GEN,South,Dinesh Mohaniya,Aam Aadmi Party,182293,115794,63.5 %,42522,36.7%
Greater Kailash,50,GEN,New Delhi,Saurabh Bharadwaj,Aam Aadmi Party,175140,107962,61.6 %,16809,15.6%
Kalkaji,51,GEN,South,Atishi,Aam Aadmi Party,182251,106359,58.4 %,11393,10.7%
Tughlakabad,52,GEN,South,Sahiram,Aam Aadmi Party,171682,107688,62.7 %,13758,12.8%
