#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Mandrem,1,GEN,Parsekar Laximikant Yeshwant,Bharatiya Janta Party,19466,15257,78.4 %,908,6.0%
2,Pernem,2,GEN,Deshprabhu Jitendra Raghuraj,Indian National Congress,18223,14069,77.2 %,2329,16.6%
3,Dargalim,3,SC,Azgaonkar Manohar Trimbak,Bharatiya Janta Party,15672,11437,73.0 %,5762,50.4%
4,Tivim,4,GEN,Shet Sadanand Mhalu,Bharatiya Janta Party,25570,18150,71.0 %,521,2.9%
5,Mapusa,5,GEN,Francis Pedro D'souza,Bharatiya Janta Party,25925,16065,62.0 %,2107,13.1%
6,Siolim,6,GEN,Mandrekar Dayanand Rayu,Bharatiya Janta Party,24961,17682,70.8 %,1907,10.8%
7,Calangute,7,GEN,Fernandes Agnelo,Indian National Congress,26580,18220,68.5 %,2070,11.4%
8,Saligao,8,GEN,D' Souza Wilfred,Nationalist Congress Party,21051,14873,70.7 %,726,4.9%
9,Aldona,9,GEN,Narvekar Dayanand Ganesh,Indian National Congress,29912,19657,65.7 %,2013,10.2%
10,Panaji,10,GEN,Prabhu Parrikar Manohar Gopalkrishna,Bharatiya Janta Party,15581,10274,65.9 %,1292,12.6%
11,Taleigao,11,GEN,Atanasio Monserrate(Babush),United Goans Democratic Party,25499,17118,67.1 %,2261,13.2%
12,Santa Cruz,12,GEN,Fernandes Victoria Romeo,Indian National Congress,25858,16607,64.2 %,40,0.2%
13,St. Andre,13,GEN,Silveira Francis Manuel,Indian National Congress,22207,15659,70.5 %,2786,17.8%
14,Cumbarjua,14,GEN,Madakaikar Pandurang,Maharashtrawadi Gomantak,25679,17431,67.9 %,608,3.5%
15,Bicholim,15,GEN,Patnekar Rajesh Tulshidas,Bharatiya Janta Party,21090,16518,78.3 %,2560,15.5%
16,Maem,16,GEN,Prabhu Zantye Harish Narayan,Indian National Congress,18552,13347,71.9 %,1956,14.7%
17,Pale,17,GEN,Amonkar Suresh Kuso,Bharatiya Janta Party,22321,17109,76.6 %,1554,9.1%
18,Poriem,18,GEN,Rane Pratapsing Raoji,Indian National Congress,21217,16378,77.2 %,2569,15.7%
19,Valpoi,19,GEN,Haldankar Narahari Tukaram,Bharatiya Janta Party,16079,12409,77.2 %,352,2.8%
20,Ponda,20,GEN,Naik Ravi Sitaram,Indian National Congress,31651,21428,67.7 %,1320,6.2%
21,Priol,21,GEN,Satarkar Vishwas Ramnath,Bharatiya Janta Party,25802,19416,75.2 %,1662,8.6%
22,Marcaim,22,GEN,Dhavalikar Ramkrishna Alias Sudin Madhav,Maharashtrawadi Gomantak,23891,18192,76.1 %,7850,43.2%
23,Siroda,23,GEN,Subhash Ankush Shirodkar,Indian National Congress,23958,18781,78.4 %,1135,6.0%
24,Mormugao,24,GEN,Vaz Giovanni Karl,Indian National Congress,27505,14999,54.5 %,443,3.0%
25,Vasco Da Gama,25,GEN,Arlekar Rajendra,Bharatiya Janta Party,28007,15750,56.2 %,1096,7.0%
26,Cortalim,26,GEN,Saldanha Matanhy,United Goans Democratic Party,27506,17774,64.6 %,850,4.8%
27,Loutolim,27,GEN,Aleixo Sequeira,Indian National Congress,21140,14113,66.8 %,4754,33.7%
28,Benaulim,28,GEN,Pacheco Francisco Xavier Alias Micky Pacheco,United Goans Democratic Party,22274,15050,67.6 %,1049,7.0%
29,Fatorda,29,GEN,Damodar (Damu) G. Naik,Bharatiya Janta Party,26681,16294,61.1 %,588,3.6%
30,Margao,30,GEN,Kamat Digambar Vasant,Bharatiya Janta Party,23690,13047,55.1 %,4744,36.4%
31,Curtorim,31,GEN,Sardinha Cosme Francisco Caitano,Indian National Congress,23896,15804,66.1 %,2851,18.0%
32,Navelim,32,GEN,Faleiro Luizinho,Indian National Congress,29334,17221,58.7 %,4577,26.6%
33,Velim,33,GEN,Rodrigues Filipe Nery,Independent,20094,12865,64.0 %,5516,42.9%
34,Cuncolim,34,GEN,Alemao Joaquim Braz,Indian National Congress,23136,14450,62.5 %,2388,16.5%
35,Sanvordem,35,GEN,Tendulkar Vinay Denu,Bharatiya Janta Party,23755,16974,71.5 %,3111,18.3%
36,Sanguem,36,GEN,Vasudev Menga Gaonkar,Bharatiya Janta Party,18542,13234,71.4 %,837,6.3%
37,Curchorem,37,GEN,Adv. Dessai Ramrao Ghanashyam,Bharatiya Janta Party,25101,18415,73.4 %,1779,9.7%
38,Quepem,38,GEN,Chandrakant Raghu Kalekar,Indian National Congress,25927,18961,73.1 %,1855,9.8%
39,Canacona,39,GEN,Vijay Anandrao Pai Khot,Bharatiya Janta Party,18407,14478,78.7 %,2883,19.9%
40,Poinguinim,40,GEN,Isidore Diogo Fernandes,Indian National Congress,14698,11418,77.7 %,1868,16.4%
