#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Abdasa,1,GEN,Kharashanker Vithaldas Joshi,Indian National Congress (I),79592,46429,58.3 %,2245.0,4.8%
2,Mandvi,2,GEN,Sanghvi Jaykumar Chunilal,Indian National Congress (I),79562,44219,55.6 %,3547.0,8.0%
3,Bhuj,3,GEN,Shah Mohanlal Nemchand,Indian National Congress (I),88244,36951,41.9 %,12086.0,32.7%
4,Mundra,4,SC,Dafda Virji Bhimji,Indian National Congress (I),72883,20954,28.8 %,4701.0,22.4%
5,Anjar,5,GEN,Khimjibhai Jesangbhai,Indian National Congress (I),99263,44299,44.6 %,15451.0,34.9%
6,Rapar,6,GEN,Shah Babubhai Meghji,Bharatiya Janta Party,90379,57214,63.3 %,8668.0,15.2%
7,Dasada,7,SC,Chavda Shantaben Khimjibhai,Indian National Congress (I),82201,41641,50.7 %,14985.0,36.0%
8,Wadhwan,8,GEN,Acharya Arvindkumar Pranjivanbhai,Indian National Congress (I),92926,37392,40.2 %,8136.0,21.8%
9,Limbdi,9,GEN,Dave Trambaklal Mohanlal,Indian National Congress (I),91993,44789,48.7 %,4788.0,10.7%
10,Chotila,10,GEN,Makawana Karamsibhai Knajibhai,Indian National Congress (I),77514,22018,28.4 %,17485.0,79.4%
11,Halvad,11,GEN,Zala Jivubha Ghelubha,Janata Party (JP),75092,32088,42.7 %,4604.0,14.3%
12,Dhrangadhra,12,GEN,Nagindas Manekchand Shah,Independent,80195,36378,45.4 %,2997.0,8.2%
13,Morvi,13,GEN,Saradava Jivraj Thobhan,Indian National Congress (I),89432,34656,38.8 %,10641.0,30.7%
14,Tankara,14,GEN,Patel Vallabhbhai Popatlal,Independent,90632,52082,57.5 %,16487.0,31.7%
15,Wankaner,15,GEN,Pirzada Manjur Hussain Abdul Mutlib,Indian National Congress (I),81263,41976,51.7 %,7082.0,16.9%
