#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Abdasa,1,GEN,Ibrahim Ishaq Mandhra,Indian National Congress,107757,73754,68.4 %,854,1.2%
2,Mandvi,2,GEN,Mehta Sureshchandra Rupshankar,Bharatiya Janta Party,116809,74335,63.6 %,14524,19.5%
3,Bhuj,3,GEN,Zaveri Mukesh Babulal,Bharatiya Janta Party,156180,95030,60.8 %,22119,23.3%
4,Mundra,4,SC,Sodham Parbat Mayabhai,Bharatiya Janta Party,111469,63676,57.1 %,8353,13.1%
5,Anjar,5,GEN,Ahir Vasanbhai Gopalbhai,Bharatiya Janta Party,199161,102634,51.5 %,5991,5.8%
6,Rapar,6,GEN,Dhirubhai Swarupchand Shah,Bharatiya Janta Party,136461,73870,54.1 %,7814,10.6%
7,Dasada,7,SC,Fakirbhai Raghabhai Vaghela,Bharatiya Janta Party,125643,75950,60.4 %,23148,30.5%
8,Wadhwan,8,GEN,Dhanrajbhai Kela,Bharatiya Janta Party,165829,92478,55.8 %,18207,19.7%
9,Limbdi,9,GEN,Rana Kiritsinh Jitubha,Bharatiya Janta Party,143671,91277,63.5 %,7283,8.0%
10,Chotila,10,GEN,Savashibhai Kanjibhai Makwana,Indian National Congress,135041,75631,56.0 %,13558,17.9%
11,Halvad,11,GEN,Kavadia Jayantilal Ramjibhai,Bharatiya Janta Party,121864,82489,67.7 %,1307,1.6%
12,Dhrangadhra,12,GEN,Indravijaysinh (I.K.) JADEJA,Bharatiya Janta Party,125694,79682,63.4 %,1197,1.5%
13,Morvi,13,GEN,Amrutiya Kantilal Shivabhai,Bharatiya Janta Party,159358,96482,60.5 %,21875,22.7%
14,Tankara,14,GEN,Kundariya Mohanbhai Kalyanjibhai,Bharatiya Janta Party,149686,98810,66.0 %,10616,10.7%
15,Wankaner,15,GEN,Khurshid Haidar Abdul Muttlib Pirzada (MEER SAHEB),Indian National Congress,133426,91582,68.6 %,1383,1.5%
16,Jasdan,16,GEN,Kunvarjibhai Mohanbhai Bavaliya,Indian National Congress,144354,88204,61.1 %,13300,15.1%
17,Rajkot-I,17,GEN,Ramesh Dhanjibhai Rupapara,Bharatiya Janta Party,250683,122235,48.8 %,12007,9.8%
18,Rajkot-Ii,18,GEN,Vala Vajubhai Roodabhai,Bharatiya Janta Party,155142,72890,47.0 %,28718,39.4%
19,Rajkot Rural,19,SC,Babariya Madhubhai Hamirbhai,Bharatiya Janta Party,211126,99001,46.9 %,18034,18.2%
20,Gondal,20,GEN,Jadeja Jayrajsinh Temubha,Bharatiya Janta Party,134347,77997,58.1 %,28145,36.1%
21,Jetpur,21,GEN,Korat Savjibhai Jivrajbhai,Bharatiya Janta Party,157300,75565,48.0 %,32088,42.5%
22,Dhoraji,22,GEN,Radadia Vithalbhai Hansrajbhai,All India Rashtriya Janata Party,127828,81761,64.0 %,12074,14.8%
23,Upleta,23,GEN,Makadia Pravinbhai Mohan,Bharatiya Janta Party,126425,71068,56.2 %,379,0.5%
24,Jodiya,24,GEN,Kasundra Maganbhai Ambabhai,Bharatiya Janta Party,113303,74472,65.7 %,1333,1.8%
25,Jamnagar,25,GEN,Khattar Parmanand Vishandas (PARMAAND KHATTAR),Bharatiya Janta Party,128905,58446,45.3 %,7715,13.2%
26,Jamnagar Rural,26,SC,Zala Manharbhai Valji,Bharatiya Janta Party,214156,83686,39.1 %,2418,2.9%
27,Kalawad,27,GEN,Faldu Ranchhod Chanabhai (R.C.FALDU),Bharatiya Janta Party,123513,69958,56.6 %,23398,33.4%
28,Jamjodhpur,28,GEN,Sapariya Chimanlal Dharamshibhai,Bharatiya Janta Party,111493,68218,61.2 %,7747,11.4%
29,Bhanvad,29,GEN,Bera Murubhai Haradas,Bharatiya Janta Party,101515,60985,60.1 %,6885,11.3%
30,Khambhalia,30,GEN,Chavda Karu Naran,Bharatiya Janta Party,116919,66414,56.8 %,11217,16.9%
31,Dwarka,31,GEN,Manek Pabubha Virambha,Independent,128512,79418,61.8 %,5221,6.6%
32,Porbandar,32,GEN,Bokhiriya Babubhai Bhimabhai,Bharatiya Janta Party,139174,78578,56.5 %,23640,30.1%
33,Kutiyana,33,GEN,Odedara Karshan Dula,Bharatiya Janta Party,125122,56418,45.1 %,18957,33.6%
34,Mangrol,34,GEN,Kargatia Bhagvanji Lakhabhai,Bharatiya Janta Party,136549,75635,55.4 %,5179,6.8%
35,Manavadar,35,GEN,Sureja Ratilal Gordhanbhai,Bharatiya Janta Party,115242,74591,64.7 %,6921,9.3%
36,Keshod,36,SC,Rathod Samatbhai Aalabhai,Bharatiya Janta Party,139244,71833,51.6 %,16954,23.6%
37,Talala,37,GEN,Barad Jashubhai Dhanabhai,Indian National Congress,144020,104459,72.5 %,19362,18.5%
38,Somnath,38,GEN,Gohel Chunilal Kanji,Bharatiya Janta Party,180253,115867,64.3 %,20045,17.3%
39,Una,39,GEN,Vansh Punjabhai Bhimabhai,Indian National Congress,154757,92912,60.0 %,16812,18.1%
40,Visavadar,40,GEN,Patel Keshubhai Savdas,Bharatiya Janta Party,125919,74885,59.5 %,37720,50.4%
41,Maliya,41,GEN,Solanki Devanandbhai Samatbhai,Bharatiya Janta Party,139190,86619,62.2 %,5225,6.0%
42,Junagadh,42,GEN,Masharu Mahendrabhai Liladhar,Bharatiya Janta Party,178939,76168,42.6 %,36419,47.8%
43,Babra,43,GEN,Undhad Bavkubhai Nathabhai,Bharatiya Janta Party,116073,77437,66.7 %,12132,15.7%
