#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Abdasa,1,GEN,Jayantilal Parsottam Bhanushali,Bharatiya Janta Party,137105,87916,64.1 %,10019,11.4%
2,Mandvi,2,GEN,Senghani Dhanjibhai (ALIAS MANGAL) GOVINDBHAI,Bharatiya Janta Party,145045,89006,61.4 %,4139,4.7%
3,Bhuj,3,GEN,Ahir Vasanbhai Gopalbhai,Bharatiya Janta Party,214898,133234,62.0 %,21582,16.2%
4,Mundra,4,SC,Maheshwari Ramesh Vachchhraj,Bharatiya Janta Party,153804,92665,60.2 %,15265,16.5%
5,Anjar,5,GEN,Acharya Neemaben Bhaveshbhai,Bharatiya Janta Party,280699,153561,54.7 %,17588,11.5%
6,Rapar,6,GEN,Gada(SHAH) BABUBHAI MEGHJI,Indian National Congress,178873,93137,52.1 %,5639,6.1%
7,Dasada,7,SC,Tundiya Shambhuprasad Baldevdasji,Bharatiya Janta Party,153660,80386,52.3 %,4066,5.1%
8,Wadhwan,8,GEN,Doshi Varshaben Narendrabhai,Bharatiya Janta Party,209984,116797,55.6 %,6902,5.9%
9,Limbdi,9,GEN,Rana Kiritsinh Jeetubha,Bharatiya Janta Party,175585,105194,59.9 %,7159,6.8%
10,Chotila,10,GEN,Jinjariya Popatbhai Savsibhai,Indian National Congress,184601,94476,51.2 %,1721,1.8%
11,Halvad,11,GEN,Devjibhai Govindbhai Fatepara,Indian National Congress,162073,110826,68.4 %,4564,4.1%
12,Dhrangadhra,12,GEN,Patel Harilal Mohanlal,Indian National Congress,158341,117020,73.9 %,12004,10.3%
13,Morvi,13,GEN,Amrutiya Kantilal Shivlal,Bharatiya Janta Party,202470,138910,68.6 %,22521,16.2%
14,Tankara,14,GEN,Kundariya Mohanbhai Kalyanjibhai,Bharatiya Janta Party,189602,122719,64.7 %,19095,15.6%
15,Wankaner,15,GEN,Pirjada Mahmadjavid Abdulmutlib,Indian National Congress,174876,111316,63.7 %,18103,16.3%
