#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Abdasa,1,GEN,Kachchh,Chhabilbhai Naranbhai Patel,Indian National Congress,194729,143451,73.7 %,7613,5.3%
2,Mandvi,2,GEN,Kachchh,Chheda Tarachand Jagashi,Bharatiya Janta Party,192659,139492,72.4 %,8506,6.1%
3,Bhuj,3,GEN,Kachchh,Dr.Nimaben Aacharya,Bharatiya Janta Party,222834,153950,69.1 %,8973,5.8%
4,Anjar,4,GEN,Kachchh,Ahir Vasanbhai Gopalbhai,Bharatiya Janta Party,189159,137376,72.6 %,4728,3.4%
5,Gandhidham,5,SC,Kachchh,Maheshwari Ramesh Vachchhraj,Bharatiya Janta Party,238018,138363,58.1 %,21313,15.4%
6,Rapar,6,GEN,Kachchh,Patel Vaghajibhai Dharamshibhai,Bharatiya Janta Party,187737,118139,62.9 %,9216,7.8%
7,Vav,7,GEN,Banas Kantha,Shankarbhai Lagdhirbhai Patel (CHAUDHARY),Bharatiya Janta Party,225792,175757,77.8 %,11911,6.8%
8,Tharad,8,GEN,Banas Kantha,Patel Parabatbhai Savabhai,Bharatiya Janta Party,189108,161793,85.6 %,3473,2.1%
9,Dhanera,9,GEN,Banas Kantha,Patel Joitabhai Kasnabhai,Indian National Congress,206502,158664,76.8 %,30291,19.1%
10,Danta,10,ST,Banas Kantha,Kharadi Kantibhai Kalabhai,Indian National Congress,193924,145647,75.1 %,26990,18.5%
11,Vadgam,11,SC,Banas Kantha,Manilal Jethabhai Vaghela,Indian National Congress,234089,168988,72.2 %,21839,12.9%
12,Palanpur,12,GEN,Banas Kantha,Patel Maheshkumar Amrutlal,Indian National Congress,220506,157457,71.4 %,5284,3.4%
13,Deesa,13,GEN,Banas Kantha,Vaghela Liladharbhai Khodaji,Bharatiya Janta Party,221341,155782,70.4 %,17706,11.4%
14,Deodar,14,GEN,Banas Kantha,Chauhan Keshaji Shivaji,Bharatiya Janta Party,189360,155786,82.3 %,20809,13.4%
15,Kankrej,15,GEN,Banas Kantha,Khanpura Dharshibhai Lakhabhai,Indian National Congress,228038,163569,71.7 %,600,0.4%
16,Radhanpur,16,GEN,Patan,Thakor Nagarji Harchandji,Bharatiya Janta Party,219504,151374,69.0 %,3834,2.5%
17,Chanasma,17,GEN,Patan,Dilipkumar Virajibhai Thakor,Bharatiya Janta Party,228611,160849,70.4 %,16824,10.5%
18,Patan,18,GEN,Patan,Desai Ranchhodbhai Mahijibhai,Bharatiya Janta Party,230738,163632,70.9 %,5871,3.6%
19,Siddhpur,19,GEN,Patan,Balvantsinh Chandansinh Rajput,Indian National Congress,208526,161790,77.6 %,25824,16.0%
20,Kheralu,20,GEN,Mahesana,Dhabhi Bharatsighji Sankarji,Bharatiya Janta Party,177216,126747,71.5 %,18386,14.5%
21,Unjha,21,GEN,Mahesana,Patel Narayanbhai Lalludas,Bharatiya Janta Party,193064,135744,70.3 %,24201,17.8%
22,Visnagar,22,GEN,Mahesana,Patel Rushikesh Ganeshbhai,Bharatiya Janta Party,186340,141073,75.7 %,29399,20.8%
23,Becharaji,23,GEN,Mahesana,Patel Rajanikant Somabhai,Bharatiya Janta Party,202143,153004,75.7 %,6456,4.2%
24,Kadi,24,SC,Mahesana,Chavada Rameshbhai Maganbhai,Indian National Congress,225681,177008,78.4 %,1217,0.7%
25,Mahesana,25,GEN,Mahesana,Patel Nitinkumar Ratilal,Bharatiya Janta Party,213095,163379,76.7 %,24205,14.8%
26,Vijapur,26,GEN,Mahesana,Patel Prahladbhai Ishvarbhai,Indian National Congress,188884,143575,76.0 %,8759,6.1%
27,Himatnagar,27,GEN,Sabar Kantha,Chavda Rajendrasinh Ranjitsinh (RAJUBHAI CHAVDA),Indian National Congress,216948,174598,80.5 %,12356,7.1%
28,Idar,28,SC,Sabar Kantha,Ramanlal Ishvarlal Vora,Bharatiya Janta Party,229652,182842,79.6 %,11380,6.2%
29,Khedbrahma,29,ST,Sabar Kantha,Ashvin Kotwal,Indian National Congress,195100,149095,76.4 %,50137,33.6%
30,Bhiloda,30,ST,Sabar Kantha,Anil Joshiyara,Indian National Congress,237436,175096,73.7 %,31543,18.0%
31,Modasa,31,GEN,Sabar Kantha,Thakor Rajendrasinh Shivsinh,Indian National Congress,214718,164254,76.5 %,22858,13.9%
32,Bayad,32,GEN,Sabar Kantha,Vaghela Mahendrasinh Shankersinh,Indian National Congress,200288,153695,76.7 %,35923,23.4%
33,Prantij,33,GEN,Sabar Kantha,Baraiya Mahendrasinh Kacharsinh ( ADVOCATE ),Indian National Congress,210399,159041,75.6 %,7014,4.4%
34,Dehgam,34,GEN,Gandhinagar,Rathod Kaminiba Bhupendrasinh,Indian National Congress,173815,128510,73.9 %,2297,1.8%
35,Gandhinagar South,35,GEN,Gandhinagar,Thakor Shambhuji Chelaji,Bharatiya Janta Party,240128,177643,74.0 %,8011,4.5%
36,Gandhinagar North,36,GEN,Gandhinagar,Patel Ashokkumar Ranchhodbhai,Bharatiya Janta Party,198742,149432,75.2 %,4225,2.8%
37,Mansa,37,GEN,Gandhinagar,Chaudhari Amitbhai Harisingbhai,Indian National Congress,191916,155449,81.0 %,8028,5.2%
38,Kalol,38,GEN,Gandhinagar,Thakor Baldevji Chanduji,Indian National Congress,185414,143097,77.2 %,343,0.2%
39,Viramgam,39,GEN,Ahmadabad,Patel Tejashreeben Dilipkumar,Indian National Congress,239603,160985,67.2 %,16983,10.5%
40,Sanand,40,GEN,Ahmadabad,Karamsibhai Virjibhai Patel,Indian National Congress,205730,153772,74.7 %,4148,2.7%
41,Ghatlodia,41,GEN,Ahmadabad,Patel Anandiben Mafatbhai,Bharatiya Janta Party,280943,207476,73.8 %,110395,53.2%
42,Vejalpur,42,GEN,Ahmadabad,Chauhan Kishorsinh Babulal (KISHOR CHAUHAN),Bharatiya Janta Party,269449,194988,72.4 %,40985,21.0%
43,Vatva,43,GEN,Ahmadabad,Pradipsinh Bhagwatsinh Jadeja,Bharatiya Janta Party,226650,159479,70.4 %,46932,29.4%
44,Ellisbridge,44,GEN,Ahmadabad,Shri Rakesh Shah,Bharatiya Janta Party,221175,151093,68.3 %,76672,50.7%
45,Naranpura,45,GEN,Ahmadabad,Amit Shah,Bharatiya Janta Party,209559,150160,71.7 %,63335,42.2%
46,Nikol,46,GEN,Ahmadabad,Panchal Jagdish Ishwarbhai,Bharatiya Janta Party,205971,144604,70.2 %,49302,34.1%
47,Naroda,47,GEN,Ahmadabad,Wadhwani Nirmalaben Sunilbhai,Bharatiya Janta Party,218498,145464,66.6 %,58352,40.1%
48,Thakkarbapa Nagar,48,GEN,Ahmadabad,Kakadiya Vallabhbhai Gobarbhai,Bharatiya Janta Party,202941,140817,69.4 %,49251,35.0%
49,Bapunagar,49,GEN,Ahmadabad,Rajput Jagrupsinh Girdansinh,Bharatiya Janta Party,164709,112725,68.4 %,2603,2.3%
