#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Kalka,1,GEN,Lachhman Singh,Janta Party,66393,45939,69.2 %,19577,42.6%
2,Naraingarh,2,GEN,Lal Singh,Janta Party,61536,42273,68.7 %,8427,19.9%
3,Sadhaura,3,SC,Bhag Mal,Janta Party,67514,46754,69.3 %,7637,16.3%
4,Chhachhrauli,4,GEN,Kanhaiyalal,Indian National Congress,59374,44949,75.7 %,4232,9.4%
5,Yamunanagar,5,GEN,Kamla Devi,Janta Party,68640,44935,65.5 %,18643,41.5%
6,Jagadhri,6,GEN,Brij Mohan,Janta Party,61128,43834,71.7 %,6189,14.1%
7,Mullana,7,SC,Sher Singh,Janta Party,62754,42451,67.6 %,5879,13.8%
8,Ambala Cantonment,8,GEN,Sushma Swaraj,Janta Party,46099,31265,67.8 %,9824,31.4%
9,Ambala City,9,GEN,Shiv Prashad,Janta Party,59115,37556,63.5 %,19958,53.1%
10,Naggal,10,GEN,Sumer Chand,Janta Party,59983,43654,72.8 %,3269,7.5%
11,Indri,11,GEN,Des Raj,Janta Party,63732,45624,71.6 %,16893,37.0%
12,Nilokheri,12,GEN,Shiv Ram,Janta Party,59669,42116,70.6 %,9196,21.8%
13,Karnal,13,GEN,Ram Lal,Janta Party,62599,38934,62.2 %,17933,46.1%
14,Jundla,14,SC,Prem Singh,Janta Party,64460,33156,51.4 %,3826,11.5%
15,Gharaunda,15,GEN,Ram Pal Singh,Janta Party,64588,41866,64.8 %,10952,26.2%
16,Assandh,16,SC,Jogi Ram,Janta Party,63371,31389,49.5 %,18584,59.2%
17,Panipat,17,GEN,Fateh Chand,Janta Party,65640,41964,63.9 %,19267,45.9%
18,Sambhalka,18,GEN,Mool Chand,Janta Party,65771,43824,66.6 %,8246,18.8%
19,Naultha,19,GEN,Satbir,Janta Party,61047,40642,66.6 %,13361,32.9%
20,Shahabad,20,GEN,Surinder Singh,Janta Party,59877,40160,67.1 %,13145,32.7%
21,Radaur,21,SC,Lehri Singh,Janta Party,56460,38563,68.3 %,11140,28.9%
22,Thanesar,22,GEN,Devinder Sharma,Janta Party,58068,40948,70.5 %,15918,38.9%
23,Pehowa,23,GEN,Tara Singh,Janta Party,64410,43668,67.8 %,9088,20.8%
24,Guhla,24,SC,Ishwar,Janta Party,63480,36423,57.4 %,15767,43.3%
25,Kaithal,25,GEN,Raghunath,Janta Party,56464,40094,71.0 %,3945,9.8%
26,Pundri,26,GEN,Agnivesh,Janta Party,62112,41685,67.1 %,16710,40.1%
27,Pai,27,GEN,Jagjit Singh Pohlu,Vishal Haryana,61656,39767,64.5 %,4170,10.5%
28,Hassangarh,28,GEN,Sant Kumar,Janta Party,63383,38195,60.3 %,7762,20.3%
29,Kiloi,29,GEN,Hari Chand,Janta Party,58218,35706,61.3 %,8827,24.7%
30,Rohtak,30,GEN,Mangal Sein,Janta Party,76556,50496,66.0 %,17541,34.7%
31,Meham,31,GEN,Har Sarup,Janta Party,68374,44103,64.5 %,13985,31.7%
32,Kalanaur,32,SC,Jai Narain,Janta Party,58754,33607,57.2 %,16134,48.0%
33,Beri,33,GEN,Ran Singh,Janta Party,63787,42173,66.1 %,3984,9.4%
34,Salhawas,34,GEN,Ram Narain,Janta Party,64821,36915,56.9 %,14837,40.2%
35,Jhajjar,35,SC,Mange Ram,Janta Party,69442,37052,53.4 %,9944,26.8%
36,Badli,36,GEN,Hardwari Lal,Independent,61882,36776,59.4 %,387,1.1%
37,Bahadurgarh,37,GEN,Mehar Singh,Janta Party,74518,45096,60.5 %,9854,21.9%
38,Baroda,38,SC,Bhalle Ram,Janta Party,68005,41083,60.4 %,4033,9.8%
39,Gohana,39,GEN,Ganga Ram,Independent,74479,48900,65.7 %,1312,2.7%
40,Kailana,40,GEN,Shanti Devi,Janta Party,66815,44532,66.6 %,4850,10.9%
41,Sonepat,41,GEN,Devi Dass,Janta Party,69375,44198,63.7 %,13734,31.1%
42,Rai,42,GEN,Rizaqram,Janta Party,66696,42950,64.4 %,4928,11.5%
43,Rohat,43,GEN,Om Prakash,Janta Party,66237,41015,61.9 %,16499,40.2%
44,Kalayat,44,SC,Prit Singh,Janta Party,58450,30712,52.5 %,7459,24.3%
45,Narwana,45,GEN,Shamsher Singh,Indian National Congress,58475,41787,71.5 %,836,2.0%
46,Uchana Kalan,46,GEN,Birender Singh,Indian National Congress,65166,46626,71.5 %,1632,3.5%
47,Rajond,47,GEN,Gulzar Singh,Janta Party,58383,38833,66.5 %,9385,24.2%
48,Jind,48,GEN,Mange Ram,Independent,61269,43080,70.3 %,6105,14.2%
49,Julana,49,GEN,Zile Singh,Janta Party,59662,42313,70.9 %,6993,16.5%
50,Safidon,50,GEN,Ram Krishan,Janta Party,65434,44181,67.5 %,11738,26.6%
51,Faridabad,51,GEN,Deep Chand Bhatia,Janta Party,78860,44183,56.0 %,5991,13.6%
52,Mewla Maharajpur,52,GEN,Gajraj Nagar,Janta Party,67534,40296,59.7 %,772,1.9%
53,Ballabgarh,53,GEN,Rajinder Singh,Independent,71710,49495,69.0 %,6388,12.9%
54,Palwal,54,GEN,Mool Chand,Janta Party,69652,48078,69.0 %,10015,20.8%
55,Hassanpur,55,SC,Gaya Lal,Janta Party,68895,39957,58.0 %,17378,43.5%
56,Hathin,56,GEN,Aditya Vesh,Janta Party,66372,43703,65.8 %,9517,21.8%
57,Ferozepur Jhirka,57,GEN,Shakrulla,Independent,69798,43676,62.6 %,2446,5.6%
58,Nuh,58,GEN,Sardar Khan,Janta Party,62263,35405,56.9 %,1758,5.0%
59,Taoru,59,GEN,Khurshed Ahmed,Janta Party,69654,48254,69.3 %,16254,33.7%
60,Sohna,60,GEN,Vijay Pal Singh,Janta Party,71359,45931,64.4 %,4483,9.8%
61,Gurgaon,61,GEN,Pratap Singh Thakran,Janta Party,65962,40427,61.3 %,4216,10.4%
62,Pataudi,62,SC,Narain Singh,Vishal Haryana,70005,39483,56.4 %,704,1.8%
63,Badhra,63,GEN,Ran Singh,Janta Party,68680,44126,64.2 %,1802,4.1%
64,Dadri,64,GEN,Hukam Singh,Janta Party,67412,41708,61.9 %,5100,12.2%
65,Mundhal Khurd,65,GEN,Tek Ram,Janta Party,62802,42119,67.1 %,12599,29.9%
66,Bhiwani,66,GEN,Bir Singh,Janta Party,72124,46655,64.7 %,2831,6.1%
67,Tosham,67,GEN,Sunder Singh,Independent,69564,49118,70.6 %,2174,4.4%
68,Loharu,68,GEN,Hira Nand,Janta Party,70784,40996,57.9 %,23583,57.5%
69,Bawani Khera,69,SC,Jagan Nath,Janta Party,67679,35656,52.7 %,20006,56.1%
