AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Kinnaur,1,ST,Chet Ram Negi,Bharatiya Janta Party,47263,34233,72.4 %,3320,9.7%
Rampur,2,SC,Singhi Ram,Indian National Congress,56687,40040,70.6 %,14565,36.4%
Rohru,3,GEN,Virbhadra Singh,Indian National Congress,57149,42272,74.0 %,26148,61.9%
Jubbal-Kotkhai,4,GEN,Ram Lal,Indian National Congress,49777,35017,70.3 %,18034,51.5%
Chopal,5,GEN,Yogendra Chandar,Indian National Congress,45157,33009,73.1 %,12237,37.1%
Kumarsain,6,GEN,Jai Bihari Lal Khachi,Indian National Congress,49913,36034,72.2 %,9575,26.6%
Theog,7,GEN,Vidya Stokes,Indian National Congress,49058,38892,79.3 %,6082,15.6%
Simla,8,GEN,Narinder Bragta,Bharatiya Janta Party,73148,31544,43.1 %,2603,8.3%
Kasumpti,9,SC,Roop Dass Kashyap,Bharatiya Janta Party,72588,39451,54.3 %,1914,4.9%
Arki,10,GEN,Dharam Pal Thakur,Indian National Congress,48716,34608,71.0 %,578,1.7%
Doon,11,GEN,Lajja Ram,Indian National Congress,54383,42539,78.2 %,3148,7.4%
Nalagarh,12,GEN,Hari Narayan Singh,Bharatiya Janta Party,55936,43748,78.2 %,5330,12.2%
Kasauli,13,SC,Raghu Raj,Indian National Congress,49780,32303,64.9 %,5572,17.2%
Solan,14,GEN,Krishna Mohini,Indian National Congress,55805,36998,66.3 %,26,0.1%
Pachhad,15,SC,Gangu Ram Musafir,Indian National Congress,49481,38047,76.9 %,14376,37.8%
Rainka,16,SC,Prem Singh,Indian National Congress,43280,31996,73.9 %,11238,35.1%
Shillai,17,GEN,Harsh Wardhan,Indian National Congress,44048,34785,79.0 %,9588,27.6%
Paonta Doon,18,GEN,Rattan Singh,Indian National Congress,61228,47157,77.0 %,2420,5.1%
Nahan,19,GEN,Kush Parmar,Indian National Congress,50223,35818,71.3 %,2990,8.3%
Kotkehloor,20,GEN,Ram Lal Thakur,Indian National Congress,51629,40645,78.7 %,3060,7.5%
Bilaspur,21,GEN,Jagat Prakash Nadda,Bharatiya Janta Party,52333,38260,73.1 %,8049,21.0%
Ghumarwin,22,GEN,Kashmir Singh,Indian National Congress,57326,40938,71.4 %,1539,3.8%
Geharwin,23,SC,Rikhi Ram,Bharatiya Janta Party,50336,37131,73.8 %,1586,4.3%
Nadaun,24,GEN,Babu Ram Mandial,Bharatiya Janta Party,50696,35039,69.1 %,580,1.7%
Hamirpur,25,GEN,Urmila Thakur,Bharatiya Janta Party,55352,38377,69.3 %,4190,10.9%
Bamsan,26,GEN,Prem Kumar Dhumal,Bharatiya Janta Party,48398,34668,71.6 %,8828,25.5%
Mewa,27,SC,Ishwar Dass Dhiman,Bharatiya Janta Party,52727,37585,71.3 %,5417,14.4%
Nadaunta,28,GEN,Baldev Sharma,Bharatiya Janta Party,54780,39704,72.5 %,4685,11.8%
Gagret,29,SC,Kuldeep Kumar,Indian National Congress,48572,34721,71.5 %,3504,10.1%
Chintpurni,30,GEN,Parveen Sharma,Bharatiya Janta Party,50192,34900,69.5 %,653,1.9%
Santokgarh,31,GEN,Jai Krishan Sharma,Bharatiya Janta Party,61984,42455,68.5 %,2311,5.4%
Una,32,GEN,Virender Gautam,Indian National Congress,66947,48446,72.4 %,5774,11.9%
Kutlehar,33,GEN,Ram Dass Malangar,Bharatiya Janta Party,49732,35478,71.3 %,3,0.0%
Nurpur,34,GEN,Rakesh Pathania,Bharatiya Janta Party,65232,49152,75.3 %,2406,4.9%
Gangath,35,SC,Des Raj,Bharatiya Janta Party,54022,39902,73.9 %,148,0.4%
Jawali,36,GEN,Rajan Sushant,Bharatiya Janta Party,56220,42076,74.8 %,7027,16.7%
Guler,37,GEN,Chander Kumar,Indian National Congress,44800,33267,74.3 %,4868,14.6%
Jaswan,38,GEN,Viplove Thakur,Indian National Congress,43263,30239,69.9 %,5863,19.4%
Pragpur,39,SC,Virender Kumar,Bharatiya Janta Party,48506,35315,72.8 %,1272,3.6%
Jawalamukhi,40,GEN,Ramesh Chand,Independent,48530,35878,73.9 %,1061,3.0%
Thural,41,GEN,Ravinder Singh Ravi,Bharatiya Janta Party,45845,31491,68.7 %,4870,15.5%
Rajgir,42,SC,Atma Ram,Bharatiya Janta Party,46862,30892,65.9 %,3432,11.1%
Baijnath,43,GEN,Sant Ram,Indian National Congress,53992,36225,67.1 %,902,2.5%
Palampur,44,GEN,Brij Behari Lal Butail,Indian National Congress,56048,38662,69.0 %,792,2.0%
Sulah,45,GEN,Bipan Singh Parmar,Bharatiya Janta Party,44927,31070,69.2 %,125,0.4%
Nagrota,46,GEN,G.S.Bali,Indian National Congress,53705,40100,74.7 %,1224,3.1%
Shahpur,47,GEN,Sarveen Choudhary,Bharatiya Janta Party,51637,39981,77.4 %,2818,7.0%
Dharamsala,48,GEN,Kishan Chand Kapoor,Bharatiya Janta Party,48849,34187,70.0 %,3355,9.8%
Kangra,49,GEN,Vidya Sagar Chaudhary,Bharatiya Janta Party,58397,41715,71.4 %,7211,17.3%
Bhattiyat,50,GEN,Kishori Lal,Bharatiya Janta Party,47162,34979,74.2 %,7809,22.3%
Banikhet,51,GEN,Asha Kumari,Indian National Congress,65412,46345,70.9 %,421,0.9%
Rajnagar,52,SC,Mohan Lal,Bharatiya Janta Party,51165,35802,70.0 %,3325,9.3%
Chamba,53,GEN,Harsh Mahajan,Indian National Congress,51908,36670,70.6 %,5151,14.0%
Bharmour,54,ST,Tulsi Ram,Bharatiya Janta Party,41965,30953,73.8 %,3824,12.4%
Lahaul And Spiti,55,ST,Ram Lal Markanda,Himachal Vikash Congress,20645,15176,73.5 %,646,4.3%
Kulu,56,GEN,Chander Sain Thakur,Bharatiya Janta Party,79908,51564,64.5 %,38,0.1%
Banjar,57,GEN,Karan Singh,Bharatiya Janta Party,77183,55127,71.4 %,2735,5.0%
Ani,58,SC,Ishwar Dass,Indian National Congress,66414,46853,70.5 %,2470,5.3%
Karsog,59,SC,Mansa Ram,Himachal Vikash Congress,51492,36851,71.6 %,1932,5.2%
Chachiot,60,GEN,Jai Ram Thakur,Bharatiya Janta Party,52042,39789,76.5 %,5779,14.5%
Nachan,61,SC,Tek Chand,Indian National Congress,52390,40208,76.7 %,759,1.9%
Sundernagar,62,GEN,Roop Singh,Bharatiya Janta Party,43634,31556,72.3 %,769,2.4%
Balh,63,SC,Parkash,Himachal Vikash Congress,59374,45057,75.9 %,7299,16.2%
Gopalpur,64,GEN,Rangila Ram Rao,Indian National Congress,57219,41140,71.9 %,8042,19.5%
Dharampur,65,GEN,Mahender Singh,Himachal Vikash Congress,53532,37117,69.3 %,966,2.6%
Joginder Nagar,66,GEN,Gulab Singh,Indian National Congress,53652,37522,69.9 %,1691,4.5%
Darang,67,GEN,Kaul Sing,Indian National Congress,60782,45181,74.3 %,13018,28.8%
Mandi,68,GEN,Sukh Ram,Himachal Vikash Congress,57526,39904,69.4 %,18989,47.6%
