AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Churah,1,SC,Chamba,Hans Raj,Bharatiya Janta Party,66324,52509,79.2 %,4944,9.4%
Bharmour,2,ST,Chamba,Jia Lal,Bharatiya Janta Party,69442,51163,73.7 %,7349,14.4%
Chamba,3,GEN,Chamba,Pawan Nayyar,Bharatiya Janta Party,72317,53583,74.1 %,1879,3.5%
Dalhousie,4,GEN,Chamba,Asha Kumari,Indian National Congress,65367,49099,75.1 %,556,1.1%
Bhattiyat,5,GEN,Chamba,Bikram Singh Jaryal,Bharatiya Janta Party,69149,52462,75.9 %,6885,13.1%
Nurpur,6,GEN,Kangra,Rakesh Pathania,Bharatiya Janta Party,77654,63584,81.9 %,6642,10.4%
Indora,7,SC,Kangra,Reeta Devi,Bharatiya Janta Party,78205,59190,75.7 %,1095,1.8%
Fatehpur,8,GEN,Kangra,Sujan Singh Pathania,Indian National Congress,75079,58112,77.4 %,1284,2.2%
Jawali,9,GEN,Kangra,Arjun Singh,Bharatiya Janta Party,84616,66916,79.1 %,8213,12.3%
Dehra,10,GEN,Kangra,Hoshyar Singh,Independent,58301,53711,92.1 %,3914,7.3%
Jaswan-Pragpur,11,GEN,Kangra,Bikram Singh,Bharatiya Janta Party,70192,50582,72.1 %,1862,3.7%
Jawalamukhi,12,GEN,Kangra,Ramesh Chand Dhawala,Bharatiya Janta Party,68108,53280,78.2 %,6464,12.1%
Jaisinghpur,13,SC,Kangra,Ravinder Kumar,Bharatiya Janta Party,74900,49913,66.6 %,10710,21.5%
Sullah,14,GEN,Kangra,Vipin Singh Parmar,Bharatiya Janta Party,90981,68769,75.6 %,10291,15.0%
Nagrota,15,GEN,Kangra,Arun Kumar,Bharatiya Janta Party,77318,63806,82.5 %,1000,1.6%
Kangra,16,GEN,Kangra,Pawan Kumar Kajal,Indian National Congress,71734,57810,80.6 %,6208,10.7%
Shahpur,17,GEN,Kangra,Sarveen Choudhary,Bharatiya Janta Party,75300,59129,78.5 %,6147,10.4%
Dharamshala,18,GEN,Kangra,Kishan Kapoor,Bharatiya Janta Party,69715,56488,81.0 %,2997,5.3%
Palampur,19,GEN,Kangra,Ashish Butail,Indian National Congress,65673,50173,76.4 %,4324,8.6%
Baijnath,20,SC,Kangra,Mulkh Raj,Bharatiya Janta Party,76148,52376,68.8 %,12669,24.2%
Lahaul & Spiti,21,ST,Lahul & Spiti,Dr. Ram Lal Markanda,Bharatiya Janta Party,15928,16929,106.3 %,1478,8.7%
Manali,22,GEN,Kullu,Govind Singh Thakur,Bharatiya Janta Party,63938,52796,82.6 %,3005,5.7%
Kullu,23,GEN,Kullu,Sunder Singh Thakur,Indian National Congress,78723,62020,78.8 %,1538,2.5%
Banjar,24,GEN,Kullu,Surender Shourie,Bharatiya Janta Party,65159,53309,81.8 %,3240,6.1%
