AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Karnah,1,GEN,Ghulam Qadir Mir,Jammu & Kashmir National Conference,41360,28100,67.9 %,4716,16.8%
Handwara,2,GEN,Abdul Gani Lone,Janta Party,40387,33687,83.4 %,2319,6.9%
Langet,3,GEN,Mohammad Sultan Ganai,Jammu & Kashmir National Conference,33645,25109,74.6 %,8319,33.1%
Kupwara,4,GEN,Assad Ullah Shah,Jammu & Kashmir National Conference,40324,25282,62.7 %,8946,35.4%
Bandipora,5,GEN,Mohamad Khalil,Jammu & Kashmir National Conference,39637,27131,68.4 %,15733,58.0%
Sonawari,6,GEN,Abdul Aziz Parry,Jammu & Kashmir National Conference,38570,32777,85.0 %,11151,34.0%
Pattan,7,GEN,Abdul Rashid Shaheen,Jammu & Kashmir National Conference,34370,30028,87.4 %,3004,10.0%
Gulmarg,8,GEN,Mohmad Akbar Lone,Jammu & Kashmir National Conference,51007,20837,40.9 %,13366,64.1%
Sangrama,9,GEN,Ghulam Rasool,Jammu & Kashmir National Conference,27262,20141,73.9 %,11503,57.1%
Sopore,10,GEN,Syed Ali Shah Geelani,Jamait-I-Islami,40609,34883,85.9 %,33,0.1%
Refibad,11,GEN,Mohammad Dillawar Mir,Jammu & Kashmir National Conference,31192,22524,72.2 %,11179,49.6%
Baramulla,12,GEN,Ghulam Ud Din Shah,Jammu & Kashmir National Conference,32149,21470,66.8 %,7037,32.8%
Uri,13,GEN,Mohd. Shafi,Jammu & Kashmir National Conference,27412,18688,68.2 %,8612,46.1%
Kangan,14,GEN,Bashir Ahmad,Jammu & Kashmir National Conference,32623,24831,76.1 %,17718,71.4%
Ganderbal,15,GEN,Sheikh Mohammad Abdullah,Jammu & Kashmir National Conference,35118,30648,87.3 %,22653,73.9%
Hazaratbal,16,GEN,Hissa Ud Din,Jammu & Kashmir National Conference,35617,29417,82.6 %,17951,61.0%
Amirakadal,17,GEN,Gulam Mohi Ud Din Shah,Jammu & Kashmir National Conference,34644,25825,74.5 %,4175,16.2%
Habakadal,18,GEN,Ghulam Mohammad Butt,Jammu & Kashmir National Conference,49722,35115,70.6 %,2272,6.5%
Zainakadal,19,GEN,Molvi Mohd. Yasin Hamdani,Jammu & Kashmir National Conference,45128,38533,85.4 %,8938,23.2%
Idgah,20,GEN,Abdul Rashid Kabli,Janta Party,43541,35170,80.8 %,1957,5.6%
Zadibal,21,GEN,Ghulam Ahmad Shunthoo,Jammu & Kashmir National Conference,56400,46087,81.7 %,1879,4.1%
Nagin,22,GEN,Abdus Samad Teli,Jammu & Kashmir National Conference,29490,23172,78.6 %,5459,23.6%
Beerwah,23,GEN,Ahmad Saeed,Jammu & Kashmir National Conference,35225,25681,72.9 %,7181,28.0%
Khan Sahib,24,GEN,Hakim Mohammed Yasin Shah,Jammu & Kashmir National Conference,34359,22822,66.4 %,11833,51.8%
Badgam,25,GEN,Ghulam Hussain Geelani,Jammu & Kashmir National Conference,35587,30086,84.5 %,2525,8.4%
Chadura,26,GEN,Abdul Samad Mir,Jammu & Kashmir National Conference,29306,22761,77.7 %,8404,36.9%
Chari Sharif,27,GEN,Abdul Rahim Rather,Jammu & Kashmir National Conference,29668,21314,71.8 %,10002,46.9%
Pulwama,28,GEN,Mohammad Ibrahim Dar,Jammu & Kashmir National Conference,36853,27002,73.3 %,16175,59.9%
Pampore,29,GEN,Malik Mohi Ud Din,Jammu & Kashmir National Conference,34854,29053,83.4 %,20468,70.5%
Tral,30,GEN,Mohd. Subhan Bhat,Jammu & Kashmir National Conference,35073,29713,84.7 %,1456,4.9%
Wachi,31,GEN,Ghulam Qadir Wani,Jammu & Kashmir National Conference,33533,26259,78.3 %,13518,51.5%
Shopian,32,GEN,Sheikh Modh. Mansoor,Jammu & Kashmir National Conference,36409,26602,73.1 %,10370,39.0%
Noorabad,33,GEN,Walimohd Itoo,Jammu & Kashmir National Conference,30825,22114,71.7 %,6818,30.8%
Devsar,34,GEN,Ghulam Nabi Kochak,Jammu & Kashmir National Conference,32220,25577,79.4 %,10298,40.3%
Kulgam,35,GEN,Ghulam Nabi Dar,Jammu & Kashmir National Conference,28643,21460,74.9 %,2430,11.3%
Homshalibug,36,GEN,Abdul Salam Deva,Jammu & Kashmir National Conference,28727,23495,81.8 %,7062,30.1%
Pahalgam,37,GEN,Piyaree Lal Handoo,Jammu & Kashmir National Conference,29839,23014,77.1 %,10481,45.5%
Bijbehara,38,GEN,Agdul Gani Shah,Jammu & Kashmir National Conference,31048,26272,84.6 %,7978,30.4%
Anantnag,39,GEN,Mirza Mohd Afzal Beg,Jammu & Kashmir National Conference,29061,25674,88.3 %,6610,25.7%
Shawngas,40,GEN,Mohd. Ashraf Khan,Jammu & Kashmir National Conference,30085,23351,77.6 %,11406,48.8%
Kokernag,41,GEN,Malik Ghulam Ud Din,Jammu & Kashmir National Conference,32202,24121,74.9 %,9515,39.4%
Doru,42,GEN,Haji Abdul Gani Khan,Jammu & Kashmir National Conference,29739,22080,74.2 %,5345,24.2%
Leh,43,GEN,Sonam Narboo,Indian National Congress,31310,20287,64.8 %,4286,21.1%
Kargil,44,GEN,Munshi Habibullah,Jammu & Kashmir National Conference,35327,25742,72.9 %,2528,9.8%
Kishtwar,45,GEN,Bashir Ahmed Kichloo,Jammu & Kashmir National Conference,29192,14918,51.1 %,525,3.5%
Inderwal,46,GEN,Ghulam Mohd Sheikh,Jammu & Kashmir National Conference,33124,12289,37.1 %,2766,22.5%
Bhadarwah,47,SC,Narain Dass,Janta Party,31213,11343,36.3 %,790,7.0%
Doda,48,GEN,Gulam Qadir Wani,Janta Party,29026,14054,48.4 %,958,6.8%
Ramban,49,GEN,Prem Nath,Jammu & Kashmir National Conference,27139,12409,45.7 %,437,3.5%
Banihal,50,GEN,Molvi Abdul Rashid,Jammu & Kashmir National Conference,28419,14967,52.7 %,4170,27.9%
Gulabgarh,51,GEN,Haji Buland Khan,Jammu & Kashmir National Conference,32279,15366,47.6 %,5520,35.9%
Reasi,52,GEN,Rishi Kumar Kaushal,Janta Party,34828,19050,54.7 %,7232,38.0%
Udhampur,53,GEN,Shiv Charan,Independent,40375,21479,53.2 %,600,2.8%
Chenani Ghordi,54,GEN,Bhim Singh,Indian National Congress,33477,15059,45.0 %,3669,24.4%
Ramnagar,55,SC,Prithvi Chand,Janta Party,36787,14009,38.1 %,3229,23.0%
Samba,56,GEN,Dhayan Singh,Independent,40884,25436,62.2 %,1621,6.4%
Bari Brahminan,57,SC,Gurbachan Kumari,Janta Party,35352,21064,59.6 %,603,2.9%
Bishna,58,SC,Parma Nand,Indian National Congress,35679,22233,62.3 %,2084,9.4%
Ranbir Singh Pura,59,GEN,Janak Raj,Indian National Congress,35431,26353,74.4 %,5437,20.6%
Jammu Cantonment,60,GEN,Parduman Singh,Indian National Congress,36083,19971,55.3 %,174,0.9%
Jammu West,61,GEN,Harbans Lal Bhagotra,Janta Party,37810,20314,53.7 %,3357,16.5%
Jammu East,62,GEN,Ram Nath Bhalgotra,Janta Party,40693,21564,53.0 %,8038,37.3%
Jandrah Gharota,63,GEN,Dhan Raj,Janta Party,37477,22887,61.1 %,2438,10.7%
Marh,64,SC,Tulsi Ram,Janta Party,31393,17140,54.6 %,974,5.7%
Akhnoor,65,GEN,Dharam Pal,Indian National Congress,33101,23379,70.6 %,4118,17.6%
Chhamb,66,GEN,Ram Nath,Independent,33170,24676,74.4 %,5246,21.3%
Basohli,67,GEN,Mangat Ram,Indian National Congress,36244,16427,45.3 %,944,5.7%
Bhillawar,68,GEN,Dhian Singh,Janta Party,40069,21736,54.2 %,6070,27.9%
Kathua,69,SC,Dhain Chand,Janta Party,37300,22737,61.0 %,999,4.4%
Hiranagar,70,GEN,Girdhari Lal Dogra,Indian National Congress,39483,27455,69.5 %,3711,13.5%
Nowshera,71,GEN,Beli Ram,Indian National Congress,43048,25834,60.0 %,416,1.6%
Darhal,72,GEN,Mohd. Hussain,Jammu & Kashmir National Conference,42982,20158,46.9 %,6716,33.3%
Rajouri,73,GEN,Talib Hussain,Indian National Congress,40291,24021,59.6 %,2025,8.4%
Suran,74,GEN,Mohd. Aslam,Indian National Congress,32764,22554,68.8 %,2262,10.0%
Mendhar,75,GEN,Rafiq Hissain Khan,Independent,33070,21572,65.2 %,77,0.4%
Haveli,76,GEN,Ghulam Ahmed,Jammu & Kashmir National Conference,36709,17715,48.3 %,4299,24.3%
