AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Karnah,1,GEN,Kupwara,Raja Manzoor Ahmad,Jammu & Kashmir Peoples Democratic Party,32794,25910,79.0 %,5775,22.3%
Kupwara,2,GEN,Kupwara,Bashir Ahmad Dar,Jammu & Kashmir People Conference,106807,71818,67.2 %,151,0.2%
Lolab,3,GEN,Kupwara,Abdul Haq Khan,Jammu & Kashmir Peoples Democratic Party,99770,71617,71.8 %,2870,4.0%
Handwara,4,GEN,Kupwara,Sajad Gani Lone,Jammu & Kashmir People Conference,89929,67974,75.6 %,5423,8.0%
Langate,5,GEN,Kupwara,Abdul Rashid Sheikh,Independent,70568,51196,72.5 %,2505,4.9%
Uri,6,GEN,Baramula,Mohammad Shafi,Jammu & Kashmir National Conference,74721,62061,83.1 %,5792,9.3%
Rafiabad,7,GEN,Baramula,Yawar Ahmad Mir,Jammu & Kashmir Peoples Democratic Party,80165,55451,69.2 %,2334,4.2%
Sopore,8,GEN,Baramula,Abdul Rashid Dar,Indian National Congress,103782,31952,30.8 %,2755,8.6%
Gurez,9,GEN,Bandipore,Nazir Ahmad Khan,Jammu & Kashmir National Conference,17554,13801,78.6 %,141,1.0%
Bandipora,10,GEN,Bandipore,Usman Abdul Majid,Indian National Congress,98377,66560,67.7 %,3743,5.6%
Sonawari,11,GEN,Bandipore,Mohammad Akbar Lone,Jammu & Kashmir National Conference,99449,80359,80.8 %,406,0.5%
Sangrama,12,GEN,Baramula,Syed Basharat Ahmed Bukhari,Jammu & Kashmir Peoples Democratic Party,66159,38722,58.5 %,1754,4.5%
Baramulla,13,GEN,Baramula,Javid Hassan Baig,Jammu & Kashmir Peoples Democratic Party,82937,32954,39.7 %,7017,21.3%
Gulmarg,14,GEN,Baramula,Mohd. Abass Wani,Jammu & Kashmir Peoples Democratic Party,94699,67905,71.7 %,2811,4.1%
Pattan,15,GEN,Baramula,Imran Raza Ansari,Jammu & Kashmir Peoples Democratic Party,89412,52507,58.7 %,9334,17.8%
Kangan,16,GEN,Ganderbal,Altaf Ahmad,Jammu & Kashmir National Conference,69526,54784,78.8 %,1432,2.6%
Ganderbal,17,GEN,Ganderbal,Ishfaq Ahmad Sheikh,Jammu & Kashmir National Conference,90548,53539,59.1 %,597,1.1%
Hazratbal,18,GEN,Srinagar,Asiea,Jammu & Kashmir Peoples Democratic Party,99850,29497,29.5 %,3400,11.5%
Zadibal,19,GEN,Srinagar,Abid Hussain Ansari,Jammu & Kashmir Peoples Democratic Party,76909,18404,23.9 %,3003,16.3%
Eidgah,20,GEN,Srinagar,Mubarik Ahmad Gul,Jammu & Kashmir National Conference,58822,16352,27.8 %,608,3.7%
Khanyar,21,GEN,Srinagar,Ali Mohd Sagar,Jammu & Kashmir National Conference,51010,13342,26.2 %,1167,8.7%
Habba Kadal,22,GEN,Srinagar,Shamim Firdous,Jammu & Kashmir National Conference,54852,11686,21.3 %,2359,20.2%
Amira Kadal,23,GEN,Srinagar,Syed Mohammad Altaf Bukhari,Jammu & Kashmir Peoples Democratic Party,86514,21488,24.8 %,5341,24.9%
Sonawar,24,GEN,Srinagar,Mohammad Ashraf Mir,Jammu & Kashmir Peoples Democratic Party,77505,34107,44.0 %,4783,14.0%
Batmaloo,25,GEN,Srinagar,Noor Mohd Sheikh,Jammu & Kashmir Peoples Democratic Party,120339,29466,24.5 %,4327,14.7%
Chadoora,26,GEN,Badgam,Javaid Mustafa Mir,Jammu & Kashmir Peoples Democratic Party,84212,53403,63.4 %,1693,3.2%
Budgam,27,GEN,Badgam,Aga Syed Ruhullah Mehdi,Jammu & Kashmir National Conference,103634,68758,66.3 %,2787,4.1%
Beerwah,28,GEN,Badgam,Omar Abdullah,Jammu & Kashmir National Conference,92996,69397,74.6 %,910,1.3%
Khan Sahib,29,GEN,Badgam,Hakeem Mohammad Yaseen Shah,Jammu And Kashmir People Democratic Front (Secular),86018,69828,81.2 %,1109,1.6%
Chrar-I-Sharief,30,GEN,Badgam,Ghulam Nabi Lone,Jammu & Kashmir Peoples Democratic Party,78348,64600,82.5 %,5167,8.0%
Tral,31,GEN,Pulwama,Mushtaq Ahmad Shah,Jammu & Kashmir Peoples Democratic Party,84129,32193,38.3 %,4110,12.8%
Pampore,32,GEN,Pulwama,Zahoor Ahmad Mir,Jammu & Kashmir Peoples Democratic Party,78169,36592,46.8 %,3498,9.6%
Pulwama,33,GEN,Pulwama,Mohd. Khalil Band,Jammu & Kashmir Peoples Democratic Party,79167,30168,38.1 %,1032,3.4%
Rajpora,34,GEN,Pulwama,Haseeb A Drabu,Jammu & Kashmir Peoples Democratic Party,90554,48997,54.1 %,4273,8.7%
Wachi,35,GEN,Shupiyan,Aijaz Ahmad Mir,Jammu & Kashmir Peoples Democratic Party,79238,36753,46.4 %,1805,4.9%
Shopian,36,GEN,Shupiyan,Mohd Yousuf Bhat,Jammu & Kashmir Peoples Democratic Party,82335,41706,50.7 %,2366,5.7%
Noorabad,37,GEN,Kulgam,Abdul Majid Padder,Jammu & Kashmir Peoples Democratic Party,73270,59339,81.0 %,3708,6.2%
Kulgam,38,GEN,Kulgam,Mohamad Yousuf Tarigami,Communist Party Of India (MARXIST),94119,53178,56.5 %,334,0.6%
Hom Shali Bugh,39,GEN,Kulgam,Ab. Majeed,Jammu & Kashmir National Conference,75908,28518,37.6 %,1269,4.4%
Anantnag,40,GEN,Anantnag,Mufti Mohd Sayeed,Jammu & Kashmir Peoples Democratic Party,83574,33171,39.7 %,6028,18.2%
Devsar,41,GEN,Kulgam,Mohammad Amin Bhat,Indian National Congress,88961,57472,64.6 %,1511,2.6%
Dooru,42,GEN,Anantnag,Syed Farooq Ahmad Andrabi,Jammu & Kashmir Peoples Democratic Party,74291,48303,65.0 %,161,0.3%
Kokernag,43,GEN,Anantnag,Abdul Rahim Rather,Jammu & Kashmir Peoples Democratic Party,86765,57415,66.2 %,4571,8.0%
Shangus,44,GEN,Anantnag,Gulzar Ahmad Wani,Indian National Congress,82586,56866,68.9 %,2189,3.8%
Bijbehara,45,GEN,Anantnag,Abdul Rehman Bhat,Jammu & Kashmir Peoples Democratic Party,86900,48334,55.6 %,2868,5.9%
Pahalgam,46,GEN,Anantnag,Altaf Ahmad Wani,Jammu & Kashmir National Conference,80936,56490,69.8 %,904,1.6%
