AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Rajmahal,1,GEN,Sahibganj,Arun Mandal,Bharatiya Janta Party,233547,136118,58.3 %,10403,7.6%
Borio,2,ST,Sahibganj,Lobin Hembram,Jharkhand Mukti Morcha,203182,113973,56.1 %,9040,7.9%
Barhait,3,ST,Sahibganj,Hemlal Murmu,Jharkhand Mukti Morcha,167515,101448,60.6 %,20318,20.0%
Litipara,4,ST,Pakaur,Simon Marandi,Jharkhand Mukti Morcha,153589,94990,61.8 %,5397,5.7%
Pakur,5,GEN,Pakaur,Aquil Akhtar,Jharkhand Mukti Morcha,232903,169148,72.6 %,5676,3.4%
Maheshpur,6,ST,Pakaur,Mistri Soren,Jharkhand Vikas Morcha (Prajatantrik),174460,113529,65.1 %,21974,19.4%
Shikaripara,7,ST,Dumka,Nalin Soren,Jharkhand Mukti Morcha,168335,107668,64.0 %,1003,0.9%
Nala,8,GEN,Jamtara,Satyanand Jha,Bharatiya Janta Party,182885,121478,66.4 %,3948,3.2%
Jamtara,9,GEN,Jamtara,Bishnu Prasad Bhaiya,Jharkhand Mukti Morcha,216606,134741,62.2 %,12843,9.5%
Dumka,10,ST,Dumka,Hemant Soren,Jharkhand Mukti Morcha,194533,113376,58.3 %,2669,2.4%
Jama,11,ST,Dumka,Sita Soren,Jharkhand Mukti Morcha,162923,98012,60.2 %,36978,37.7%
Jarmundi,12,GEN,Dumka,Harinarayan Ray,Independent,178901,116078,64.9 %,22315,19.2%
Madhupur,13,GEN,Deoghar,Hussain Ansari,Jharkhand Mukti Morcha,242870,147564,60.8 %,20468,13.9%
Sarath,14,GEN,Deoghar,Sasank Shekhar Bhokta,Jharkhand Mukti Morcha,211723,135617,64.1 %,9420,6.9%
Deoghar,15,SC,Deoghar,Suresh Paswan,Rashtriya Janata Dal,288569,136267,47.2 %,17740,13.0%
Poreyahat,16,GEN,Godda,Pradip Yadav,Jharkhand Vikas Morcha (Prajatantrik),219806,139137,63.3 %,36704,26.4%
Godda,17,GEN,Godda,Sanjay Prasad Yadav,Rashtriya Janata Dal,240715,139934,58.1 %,8755,6.3%
Mahagama,18,GEN,Godda,Rajesh Ranjan,Indian National Congress,245415,140677,57.3 %,8186,5.8%
Kodarma,19,GEN,Koderma,Annapurna Devi,Rashtriya Janata Dal,247183,147339,59.6 %,17283,11.7%
Barkatha,20,GEN,Hazaribagh,Amit Kumar Yadav,Bharatiya Janta Party,235729,142062,60.3 %,9368,6.6%
Barhi,21,GEN,Hazaribagh,Umashankar Akela,Bharatiya Janta Party,207089,129034,62.3 %,8085,6.3%
Barkagaon,22,GEN,Hazaribagh,Yogendra Saw,Indian National Congress,273225,149246,54.6 %,1364,0.9%
Ramgarh,23,GEN,Hazaribagh,Chandra Prakash Choudhary,Ajsu Party,231188,156272,67.6 %,25475,16.3%
Mandhu,24,GEN,Hazaribagh,Teklal Mahto,Jharkhand Mukti Morcha,293563,168825,57.5 %,7978,4.7%
Hazaribagh,25,GEN,Hazaribagh,Saurabh Narain Singh,Indian National Congress,273592,147234,53.8 %,9287,6.3%
Simaria,26,SC,Chatra,Jai Prakash Singh Bhogta,Jharkhand Vikas Morcha (Prajatantrik),245001,131684,53.7 %,8025,6.1%
Chatra,27,SC,Chatra,Janardan Paswan,Rashtriya Janata Dal,266597,132264,49.6 %,38555,29.2%
Dhanwar,28,GEN,Giridih,Nizamuddin Ansari,Jharkhand Vikas Morcha (Prajatantrik),236726,145703,61.5 %,4973,3.4%
Bagodar,29,GEN,Giridih,Vinod Kumar Singh,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),249264,148923,59.7 %,6718,4.5%
Jamua,30,SC,Giridih,Chandrika Mahtha,Jharkhand Vikas Morcha (Prajatantrik),228323,126346,55.3 %,18527,14.7%
Gandey,31,GEN,Giridih,Sarfraz Ahmad,Indian National Congress,199596,131067,65.7 %,8455,6.5%
