AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Aurad,1,GEN,Gurupadappa Nagmarpalli,Janta Party,112080,75065,67.0 %,4468,6.0%
Bhalki,2,GEN,Kalyanrao Sangappa Molakere,Janta Party,88783,58430,65.8 %,1504,2.6%
Hulsoor,3,SC,Shivakantha Chature,Janta Party,94441,45759,48.5 %,9168,20.0%
Bidar,4,GEN,Mohd. Laiquddin Buranuddin,Indian National Congress,116774,56610,48.5 %,3157,5.6%
Humnabad,5,GEN,Baswaraj Hawagappa Patil,Indian National Congress,96350,53350,55.4 %,4383,8.2%
Basavakalyan,6,GEN,Basavaraj Patil Attur,Janta Party,103909,67269,64.7 %,6605,9.8%
Chincholi,7,GEN,Veerayya Swami Mahalingayya,Indian National Congress,93067,44925,48.3 %,1540,3.4%
Kamalapur,8,SC,G. Ramkrishna,Indian National Congress,88049,41774,47.4 %,2232,5.3%
Alland,9,GEN,Sharanabasappa Mali Patil Dhangapur,Indian National Congress,87047,58292,67.0 %,662,1.1%
Gulbarga,10,GEN,S. K. Kanta,Janta Party,134928,90309,66.9 %,1034,1.1%
Shahabad,11,SC,K. B. Shanappa,Communist Party Of India,112603,61542,54.7 %,75,0.1%
Afzalpur,12,GEN,Malikayya Venkayya Guttadar,Indian National Congress,97736,63675,65.1 %,16473,25.9%
Chitapur,13,GEN,Vishwanath Patil Hebbal,Janta Party,87156,47964,55.0 %,3433,7.2%
Sedam,14,GEN,Chandershekhar Reddy Madna,Independent,92425,51803,56.0 %,6998,13.5%
Jewargi,15,GEN,Dharamsingh Narayansingh,Indian National Congress,98734,59038,59.8 %,4591,7.8%
Gurmitkal,16,SC,Mallikarjun Kharge,Indian National Congress,88365,51002,57.7 %,17673,34.7%
Yadgir,17,GEN,Vishwanath Reddy,Janta Party,91307,57194,62.6 %,4382,7.7%
Shahapur,18,GEN,Shivashekhara Gouda Sirwal,Indian National Congress,104893,67025,63.9 %,5755,8.6%
Shorapur,19,GEN,Madan Gopal Naik,Indian National Congress,107463,57830,53.8 %,1173,2.0%
Deodurg,20,SC,A. Purshpavathi,Janta Party,86842,37525,43.2 %,1337,3.6%
Raichur,21,GEN,Mohamed Oner Abdul Rahman,Indian National Congress,103823,42736,41.2 %,13504,31.6%
Kalmala,22,GEN,Krishnamurthy,Janta Party,97668,55709,57.0 %,2174,3.9%
Manvi,23,GEN,Thimmangouda Anwari,Janta Party,86117,59211,68.8 %,7646,12.9%
Lingsugur,24,GEN,Rana Amarappa Naik,Janta Party,88630,51188,57.8 %,17988,35.1%
Sindhnoor,25,GEN,R. Narayanappa,Indian National Congress,125427,82781,66.0 %,3196,3.9%
Kushtagi,26,GEN,M. S. Patil,Janta Party,94610,61152,64.6 %,9085,14.9%
Yelburga,27,GEN,Basawaraj Rayraddi,Janta Party,92738,54815,59.1 %,5235,9.6%
Kanakagiri,28,GEN,Srirangadevarayalu,Indian National Congress,95291,60996,64.0 %,663,1.1%
Gangavathi,29,GEN,Gawli Mahadevappa,Janta Party,106511,70933,66.6 %,6155,8.7%
Koppal,30,GEN,Agadi Viruprakashappa Sanganna,Janta Party,93198,62282,66.8 %,4913,7.9%
Siruguppa,31,GEN,C. M. Revana Siddaiah,Janta Party,122621,81948,66.8 %,2612,3.2%
Kurugodu,32,GEN,B. Shivarama Reddy,Janta Party,101460,61030,60.2 %,5838,9.6%
Bellary,33,GEN,M. Ramappa,Indian National Congress,121770,51564,42.3 %,2633,5.1%
Hospet,34,GEN,Bhimaneni Kondaiah,Janta Party,124465,74859,60.1 %,18325,24.5%
Sandur,35,GEN,U. Bhupathi,Janta Party,89716,48821,54.4 %,10120,20.7%
Kudligi,36,GEN,N. T. Bommanna,Indian National Congress,90295,61065,67.6 %,4518,7.4%
Kottur,37,GEN,K. V. Ravindranath Babu,Indian National Congress,87762,64713,73.7 %,3256,5.0%
Hadagalli,38,GEN,M. P. Prakash,Janta Party,101331,76997,76.0 %,15602,20.3%
Harapanahalli,39,SC,B. H. Enka Naik,Indian National Congress,88669,62114,70.1 %,5544,8.9%
Harihar,40,GEN,B. G. Kotrappa,Janta Party,116135,80060,68.9 %,4550,5.7%
Davangere,41,GEN,Pampapathi,Communist Party Of India,123207,75572,61.3 %,3773,5.0%
Mayakonda,42,GEN,K. Mallappa,Janta Party,109794,75687,68.9 %,3818,5.0%
Bharamasagara,43,SC,B. M. Thippesamy,Janta Party,91587,64209,70.1 %,270,0.4%
