AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Manjeswar,1,GEN,Cherkalam Abdullah,Muslim Leage,105374,81937,77.8 %,6746,8.2%
Kasaragod,2,GEN,C. T. Ahammad Ali,Muslim Leage,108118,87786,81.2 %,14057,16.0%
Udma,3,GEN,K. P. Kunhikannan,Indian National Congress,122373,95985,78.4 %,7845,8.2%
Hosdrug,4,SC,N. Manoharan Master,Indian National Congress,129103,105014,81.3 %,59,0.1%
Trikkarpur,5,GEN,E. K. Nayanar,Communist Party Of India (MARXIST),130995,112272,85.7 %,6417,5.7%
Irikkur,6,GEN,K. C. Joseph,Indian National Congress,115999,100667,86.8 %,7476,7.4%
Payyannur,7,GEN,C. P. Narayanan,Communist Party Of India (MARXIST),121302,100781,83.1 %,7840,7.8%
Taliparamba,8,GEN,K. K. N. Pariyaram,Communist Party Of India (MARXIST),123643,106997,86.5 %,2616,2.4%
Azhicode,9,GEN,M. V. Raghavan,Independent,99997,86076,86.1 %,1389,1.6%
Cannanore,10,GEN,P. Bhaskaran,Indian National Congress,108426,86515,79.8 %,8048,9.3%
Edakkad,11,GEN,O. Bharathan,Communist Party Of India (MARXIST),107821,92265,85.6 %,3996,4.3%
Tellicherry,12,GEN,Kodiyeri Balakrishnan,Communist Party Of India (MARXIST),113231,92300,81.5 %,5368,5.8%
Peringalam,13,GEN,P. R. Kurup,Janta Party,115414,91676,79.4 %,356,0.4%
Kuthuparamba,14,GEN,K. P. Mamoo Master,Communist Party Of India (MARXIST),112062,95230,85.0 %,8963,9.4%
Peravoor,15,GEN,K.P. Noordeen,Indian National Congress,121937,103981,85.3 %,1805,1.7%
North Wynad,16,ST,K.Raghvan Master,Indian National Congress,114899,91413,79.6 %,8959,9.8%
Badagara,17,GEN,K. Chandrasekharan,Janta Party,120023,97436,81.2 %,10533,10.8%
Nadapuram,18,GEN,Sathyan Mokeri,Communist Party Of India,118093,99059,83.9 %,1257,1.3%
Meppayur,19,GEN,A.Kanaran,Communist Party Of India (MARXIST),115029,97788,85.0 %,3674,3.8%
Quilandy,20,GEN,M.T. Padma,Indian National Congress,122313,102489,83.8 %,4702,4.6%
Perambra,21,GEN,A.K. Padmanabhan,Communist Party Of India (MARXIST),116076,102203,88.0 %,2450,2.4%
Balusseri,22,GEN,A.C. Shanmukhadas,Indian Congress (SOCIALIST- SARAT CHANDRA SINHA),106242,92050,86.6 %,11484,12.5%
Koduvally,23,GEN,P. M. Aboobacker,Muslim Leage,117024,99034,84.6 %,13311,13.4%
Calicut- I,24,GEN,M. Dasan,Communist Party Of India (MARXIST),119628,96745,80.9 %,7708,8.0%
Calicut- Ii,25,GEN,C.P. Kunhu,Communist Party Of India (MARXIST),118909,94191,79.2 %,2277,2.4%
Beypore,26,GEN,T.K. Hamza,Communist Party Of India (MARXIST),128586,106653,82.9 %,7331,6.9%
Kunnamangalam,27,SC,C.P. Balan Vydiar,Communist Party Of India (MARXIST),102739,86672,84.4 %,293,0.3%
Thiruvambadi,28,GEN,P.P. George,Indian National Congress,107959,88936,82.4 %,15784,17.7%
Kalpetta,29,GEN,M.P. Veerendra Kumar,Janta Party,108058,91134,84.3 %,17958,19.7%
Sultan's Battery,30,GEN,K.K. Ramachandran Master,Indian National Congress,120884,99141,82.0 %,4126,4.2%
