AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Manjeshwar,1,GEN,Kasaragod,P B Abdul Razak,Muslim League Kerala State Committee,176817,132973,75.2 %,5828,4.4%
Kasaragod,2,GEN,Kasaragod,N.A.Nellikkunnu,Muslim League Kerala State Committee,159289,117031,73.5 %,9738,8.3%
Udma,3,GEN,Kasaragod,K.Kunhiraman,Communist Party Of India (MARXIST),173529,128626,74.1 %,11380,8.8%
Kanhangad,4,GEN,Kasaragod,E.Chandrashekharan,Communist Party Of India,178186,139841,78.5 %,12178,8.7%
Trikaripur,5,GEN,Kasaragod,K Kunhiraman,Communist Party Of India (MARXIST),169761,135988,80.1 %,8765,6.4%
Payyannur,6,GEN,Kannur,C.Krishnan,Communist Party Of India (MARXIST),158613,130666,82.4 %,32124,24.6%
Kalliasseri,7,GEN,Kannur,T.V. Rajesh,Communist Party Of India (MARXIST),157384,124854,79.3 %,29946,24.0%
Taliparamba,8,GEN,Kannur,James Mathew,Communist Party Of India (MARXIST),174788,144363,82.6 %,27861,19.3%
Irikkur,9,GEN,Kannur,K. C. Joseph,Indian National Congress,169262,130703,77.2 %,11757,9.0%
Azhikode,10,GEN,Kannur,K.M.Shaji,Muslim League Kerala State Committee,147782,121832,82.4 %,493,0.4%
Kannur,11,GEN,Kannur,A.P Abdullakutty,Indian National Congress,143828,113360,78.8 %,6443,5.7%
Dharmadam,12,GEN,Kannur,K.K. Narayanan,Communist Party Of India (MARXIST),163674,136177,83.2 %,15162,11.1%
Thalassery,13,GEN,Kannur,Kodiyeri Balakrishnan,Communist Party Of India (MARXIST),149689,117763,78.7 %,26509,22.5%
Kuthuparamba,14,GEN,Kannur,K.P.Mohanan S/o P R Kurup,Socialist Janta (DEMOCRATIC),160335,127929,79.8 %,3303,2.6%
Mattannur,15,GEN,Kannur,E.P.Jayarajan,Communist Party Of India (MARXIST),160711,132947,82.7 %,30512,23.0%
Peravoor,16,GEN,Kannur,Adv.Sunny Joseph,Indian National Congress,145983,116813,80.0 %,3440,2.9%
Mananthavady,17,ST,Wayanad,P.K.Jayalakshmi,Indian National Congress,167097,124052,74.2 %,12734,10.3%
Sulthanbathery,18,ST,Wayanad,I.C Balakrishnan,Indian National Congress,198645,145512,73.3 %,7583,5.2%
Kalpetta,19,GEN,Wayanad,M.V Sreyamskumar,Socialist Janta (DEMOCRATIC),170245,126584,74.4 %,18169,14.4%
Vadakara,20,GEN,Kozhikode,C.K.Nanu,Janata Dal (Secular),141576,114267,80.7 %,847,0.7%
Kuttiadi,21,GEN,Kozhikode,K.K.Lathika,Communist Party Of India (MARXIST),162389,142453,87.7 %,6972,4.9%
Nadapuram,22,GEN,Kozhikode,E.K.Vijayan,Communist Party Of India,179451,146430,81.6 %,7546,5.2%
Quilandy,23,GEN,Kozhikode,K.Dasan,Communist Party Of India (MARXIST),166654,136394,81.8 %,4139,3.0%
Perambra,24,GEN,Kozhikode,K. Kunhammad Master,Communist Party Of India (MARXIST),159699,135334,84.7 %,15269,11.3%
Balusseri,25,SC,Kozhikode,Purushan Kadalundi,Communist Party Of India (MARXIST),185134,151004,81.6 %,8882,5.9%
Elathur,26,GEN,Kozhikode,A.K. Saseendran,Nationalist Congress Party,162835,133906,82.2 %,14654,10.9%
Kozhikode North,27,GEN,Kozhikode,A. Pradeep Kumar,Communist Party Of India (MARXIST),150415,116300,77.3 %,8998,7.7%
Kozhikode South,28,GEN,Kozhikode,Dr. M.K. Muneer,Muslim League Kerala State Committee,132780,103671,78.1 %,1376,1.3%
Beypore,29,GEN,Kozhikode,Elamaram Kareem,Communist Party Of India (MARXIST),164045,129390,78.9 %,5316,4.1%
Kunnamangalam,30,GEN,Kozhikode,Adv.P.T.A.Rahim,Independent,178089,150187,84.3 %,3269,2.2%
Koduvally,31,GEN,Kozhikode,V.M.Ummer Master,Muslim League Kerala State Committee,142384,113824,79.9 %,16552,14.5%
Thiruvambady,32,GEN,Kozhikode,C Moyinkutty,Muslim League Kerala State Committee,145763,115754,79.4 %,3833,3.3%
Kondotty,33,GEN,Malappuram,K Muhammedunni Haji,Muslim League Kerala State Committee,158057,119675,75.7 %,28149,23.5%
Eranad,34,GEN,Malappuram,P.K.Basheer,Muslim League Kerala State Committee,141833,114435,80.7 %,11246,9.8%
Nilambur,35,GEN,Malappuram,Aryadan Mohammed,Indian National Congress,174945,136358,77.9 %,5598,4.1%
Wandoor,36,SC,Malappuram,A.P.Anilkumar,Indian National Congress,180715,132610,73.4 %,28919,21.8%
Manjeri,37,GEN,Malappuram,Adv.M.Ummer,Muslim League Kerala State Committee,164144,116553,71.0 %,29079,24.9%
Perinthalmanna,38,GEN,Malappuram,Manjalamkuzhi Ali,Muslim League Kerala State Committee,165043,133735,81.0 %,9589,7.2%
Mankada,39,GEN,Malappuram,T.A.Ahmed Kabeer,Muslim League Kerala State Committee,164067,121247,73.9 %,23593,19.5%
Malappuram,40,GEN,Malappuram,P. Ubaidulla,Muslim League Kerala State Committee,167739,122245,72.9 %,44508,36.4%
Vengara,41,GEN,Malappuram,P.K.Kunhalikutty,Muslim League Kerala State Committee,144317,99530,69.0 %,38237,38.4%
Vallikkunnu,42,GEN,Malappuram,Adv.K.N.A.Khader,Muslim League Kerala State Committee,156309,113304,72.5 %,18122,16.0%
Tirurangadi,43,GEN,Malappuram,P.K.Abdu Rabb,Muslim League Kerala State Committee,152896,100323,65.6 %,30208,30.1%
Tanur,44,GEN,Malappuram,Abdurahiman Randathani,Muslim League Kerala State Committee,138095,104106,75.4 %,9433,9.1%
Tirur,45,GEN,Malappuram,C Mammootty,Muslim League Kerala State Committee,166314,126353,76.0 %,23566,18.7%
Kottakkal,46,GEN,Malappuram,Abdussamad Samadani,Muslim League Kerala State Committee,167498,118343,70.7 %,35902,30.3%
Thavanur,47,GEN,Malappuram,Dr.K.T. Jaleel,Independent,156317,122297,78.2 %,6854,5.6%
Ponnani,48,GEN,Malappuram,P.Sreeramakrishnan,Communist Party Of India (MARXIST),158680,121158,76.4 %,4101,3.4%
Thrithala,49,GEN,Palakkad,Adv.V.T. Balram,Indian National Congress,155638,122120,78.5 %,3197,2.6%
Pattambi,50,GEN,Palakkad,C.P.Mohammed,Indian National Congress,153714,117818,76.6 %,12475,10.6%
Shornur,51,GEN,Palakkad,K.S.Saleekha,Communist Party Of India (MARXIST),163885,120260,73.4 %,13493,11.2%
Ottapalam,52,GEN,Palakkad,M. Hamza,Communist Party Of India (MARXIST),175065,131434,75.1 %,13203,10.0%
Kongad,53,SC,Palakkad,K.V.Vijayadas,Communist Party Of India (MARXIST),155792,113483,72.8 %,3565,3.1%
Mannarkad,54,GEN,Palakkad,Advocate N. Samsudheen,Muslim League Kerala State Committee,166275,121195,72.9 %,8270,6.8%
Malampuzha,55,GEN,Palakkad,V.S.Achuthanandan.,Communist Party Of India (MARXIST),180662,136316,75.5 %,23440,17.2%
Palakkad,56,GEN,Palakkad,Shafi Parambil,Indian National Congress,154391,112347,72.8 %,7403,6.6%
Tarur,57,SC,Palakkad,A. K. Balan,Communist Party Of India (MARXIST),149389,112288,75.2 %,25756,22.9%
Chittur,58,GEN,Palakkad,K.Achuthan,Indian National Congress,167800,136199,81.2 %,12330,9.1%
Nenmara,59,GEN,Palakkad,V. Chenthamarakshan,Communist Party Of India (MARXIST),172069,134074,77.9 %,8694,6.5%
Alathur,60,GEN,Palakkad,M.Chandran,Communist Party Of India (MARXIST),152827,116045,75.9 %,24741,21.3%
Chelakkara,61,SC,Thrissur,K.Radhakrishnan,Communist Party Of India (MARXIST),173746,132942,76.5 %,24676,18.6%
Kunnamkulam,62,GEN,Thrissur,Babu.M.Palissery,Communist Party Of India (MARXIST),174161,131344,75.4 %,481,0.4%
Guruvayoor,63,GEN,Thrissur,K.V.Abdul Khader,Communist Party Of India (MARXIST),178144,128276,72.0 %,9968,7.8%
Manalur,64,GEN,Thrissur,P.A. Madhavan,Indian National Congress,189976,139491,73.4 %,481,0.3%
Wadakkanchery,65,GEN,Thrissur,C.N.Balakrishnan,Indian National Congress,178019,139184,78.2 %,6685,4.8%
Ollur,66,GEN,Thrissur,M.P. Vincent,Indian National Congress,176875,131718,74.5 %,6247,4.7%
Thrissur,67,GEN,Thrissur,Adv.Therambil Ramakrishnan,Indian National Congress,161896,112794,69.7 %,16169,14.3%
Nattika,68,SC,Thrissur,Geetha Gopi,Communist Party Of India,179535,128582,71.6 %,16054,12.5%
Kaipamangalam,69,GEN,Thrissur,Adv.V S Sunilkumar,Communist Party Of India,151356,117110,77.4 %,13570,11.6%
Irinjalakkuda,70,GEN,Thrissur,Adv.Thomas Unniyadan,Kerala Congress(M),174216,132379,76.0 %,12404,9.4%
Puthukkad,71,GEN,Thrissur,Prof: C. Raveendranath,Communist Party Of India (MARXIST),176055,138251,78.5 %,26482,19.2%
Chalakkudy,72,GEN,Thrissur,Devassy.B.D.,Communist Party Of India (MARXIST),172679,132037,76.5 %,2549,1.9%
Kodungallur,73,GEN,Thrissur,T.N.Prathapan,Indian National Congress,169056,128714,76.1 %,9432,7.3%
Perumbavoor,74,GEN,Ernakulam,Saju Paul,Communist Party Of India (MARXIST),154432,125739,81.4 %,3382,2.7%
Angamaly,75,GEN,Ernakulam,Advocate Jose Thettayil,Janata Dal (Secular),152370,124086,81.4 %,7170,5.8%
Aluva,76,GEN,Ernakulam,Anwar Sadath,Indian National Congress,158919,127870,80.5 %,13214,10.3%
Kalamassery,77,GEN,Ernakulam,V. K. Ebrahim Kunju,Muslim League Kerala State Committee,165105,131676,79.8 %,7789,5.9%
Paravur,78,GEN,Ernakulam,Adv.V.D.Satheesan,Indian National Congress,171172,144124,84.2 %,11349,7.9%
Vypen,79,GEN,Ernakulam,S.Sarma,Communist Party Of India (MARXIST),152029,120726,79.4 %,5242,4.3%
Kochi,80,GEN,Ernakulam,Dominic Presentation,Indian National Congress,157727,105592,66.9 %,16503,15.6%
Thripunithura,81,GEN,Ernakulam,K.Babu,Indian National Congress,171624,130979,76.3 %,15778,12.0%
Eranakulam,82,GEN,Ernakulam,Hibi Eden,Indian National Congress,135675,97297,71.7 %,32437,33.3%
Thrikkakara,83,GEN,Ernakulam,Benny Behanan,Indian National Congress,159877,117853,73.7 %,22406,19.0%
Kunnathunad,84,SC,Ernakulam,V.P. Sajeendran,Indian National Congress,153097,127972,83.6 %,8732,6.8%
Piravom,85,GEN,Ernakulam,T. M. Jacob,Kerala Congress (Jacob),176352,139928,79.3 %,157,0.1%
Muvattupuzha,86,GEN,Ernakulam,Joseph Vazhackkan,Indian National Congress,154469,116261,75.3 %,5163,4.4%
Kothamangalam,87,GEN,Ernakulam,Shev.T.U.Kuruvilla,Kerala Congress(M),144251,107437,74.5 %,12222,11.4%
Devikulam,88,SC,Idukki,S. Rajendran,Communist Party Of India (MARXIST),147855,107059,72.4 %,4078,3.8%
Udumbanchola,89,GEN,Idukki,K.K.Jayachandran,Communist Party Of India (MARXIST),153563,110563,72.0 %,9833,8.9%
Thodupuzha,90,GEN,Idukki,P.J.Joseph,Kerala Congress(M),177529,127738,72.0 %,22868,17.9%
Idukki,91,GEN,Idukki,"Roshy Augustine,",Kerala Congress(M),169984,119773,70.5 %,15806,13.2%
Peerumade,92,GEN,Idukki,E. S. Bijimol,Communist Party Of India,165380,115204,69.7 %,4777,4.1%
Pala,93,GEN,Kottayam,K.M.Mani,Kerala Congress(M),169192,124619,73.7 %,5259,4.2%
Kaduthuruthy,94,GEN,Kottayam,Adv.Mons Joseph,Kerala Congress(M),171486,122026,71.2 %,23057,18.9%
Vaikom,95,SC,Kottayam,K. Ajith,Communist Party Of India,153672,121265,78.9 %,10568,8.7%
Ettumanoor,96,GEN,Kottayam,Adv. K. Suresh Kurup,Communist Party Of India (MARXIST),150807,118257,78.4 %,1801,1.5%
Kottayam,97,GEN,Kottayam,Thiruvanchoor Radhakrishnan,Indian National Congress,148225,114901,77.5 %,711,0.6%
Puthuppally,98,GEN,Kottayam,Oommen Chandy,Indian National Congress,157222,117035,74.4 %,33255,28.4%
Changanassery,99,GEN,Kottayam,C.F Thomas,Kerala Congress(M),149193,108257,72.6 %,2554,2.4%
Kanjirappally,100,GEN,Kottayam,Dr. N.Jayaraj,Kerala Congress(M),161648,113141,70.0 %,12206,10.8%
Poonjar,101,GEN,Kottayam,"P C George, Plathottam",Kerala Congress(M),167928,117809,70.2 %,15704,13.3%
Aroor,102,GEN,Alappuzha,Adv.Am.Ariff,Communist Party Of India (MARXIST),174130,146676,84.2 %,16852,11.5%
Cherthala,103,GEN,Alappuzha,P.Thilothaman,Communist Party Of India,190806,162283,85.1 %,18315,11.3%
Alappuzha,104,GEN,Alappuzha,Dr.T.M.Thomas Isaac,Communist Party Of India (MARXIST),173942,141243,81.2 %,16342,11.6%
Ambalapuzha,105,GEN,Alappuzha,G.Sudhakaran,Communist Party Of India (MARXIST),146890,116966,79.6 %,16580,14.2%
Kuttanad,106,GEN,Alappuzha,Thomas Chandy,Nationalist Congress Party,150213,118110,78.6 %,7971,6.7%
Haripad,107,GEN,Alappuzha,Ramesh Chennithala,Indian National Congress,171834,134680,78.4 %,5520,4.1%
Kayamkulam,108,GEN,Alappuzha,C.K.Sadasivan,Communist Party Of India (MARXIST),182036,139626,76.7 %,1315,0.9%
Mavelikara,109,SC,Alappuzha,R. Rajesh,Communist Party Of India (MARXIST),177797,133686,75.2 %,5149,3.9%
Chengannur,110,GEN,Alappuzha,P.C.Vishnunath,Indian National Congress,176873,125345,70.9 %,12500,10.0%
Thiruvalla,111,GEN,Pathanamthitta,Adv Mathew T Thomas,Janata Dal (Secular),193874,126642,65.3 %,10767,8.5%
Ranni,112,GEN,Pathanamthitta,Raju Abrham,Communist Party Of India (MARXIST),175669,120361,68.5 %,6614,5.5%
Aranmula,113,GEN,Pathanamthitta,Adv.K.Sivadasan Nair,Indian National Congress,207256,135975,65.6 %,6511,4.8%
Konni,114,GEN,Pathanamthitta,Adv. Adoor Prakash,Indian National Congress,182423,131053,71.8 %,7774,5.9%
Adoor,115,SC,Pathanamthitta,Chittayam Gopakumar,Communist Party Of India,194044,135057,69.6 %,607,0.4%
Karunagappally,116,GEN,Kollam,C. Divakaran,Communist Party Of India,182552,137807,75.5 %,14522,10.5%
Chavara,117,GEN,Kollam,Shibu Baby John,Kerala Revolutionary Socialist Party(Baby John),159664,127068,79.6 %,6061,4.8%
Kunnathur,118,SC,Kollam,Kovoor Kunjumon,Revolutionary Socialist Party,194417,143918,74.0 %,12088,8.4%
Kottarakkara,119,GEN,Kollam,Adv:p.Aisha Potty,Communist Party Of India (MARXIST),184917,137437,74.3 %,20592,15.0%
Pathanapuram,120,GEN,Kollam,K.B Ganesh Kumar,Kerala Congress (B),172960,128367,74.2 %,20402,15.9%
Punalur,121,GEN,Kollam,Adv.K.Raju,Communist Party Of India,187071,133245,71.2 %,18005,13.5%
Chadayamangalam,122,GEN,Kollam,Mullakkara Ratnakaran,Communist Party Of India,177610,127429,71.7 %,23624,18.5%
Kundara,123,GEN,Kollam,M.A. Baby,Communist Party Of India (MARXIST),178766,127924,71.6 %,14793,11.6%
Kollam,124,GEN,Kollam,P.K.Gurudasan,Communist Party Of India (MARXIST),160475,114018,71.1 %,8540,7.5%
Eravipuram,125,GEN,Kollam,A.A. Azeez,Revolutionary Socialist Party,153565,104645,68.1 %,8012,7.7%
Chathannur,126,GEN,Kollam,G.S.Jayalal,Communist Party Of India,160775,114298,71.1 %,12589,11.0%
Varkala,127,GEN,Thiruvananthapuram,Varkala Kahar,Indian National Congress,151930,110227,72.6 %,10710,9.7%
Attingal,128,SC,Thiruvananthapuram,Advocate. B. Satyan,Communist Party Of India (MARXIST),171684,114638,66.8 %,30065,26.2%
Chirayinkeezhu,129,SC,Thiruvananthapuram,V.Sasi,Communist Party Of India,169988,112603,66.2 %,12225,10.9%
Nedumangad,130,GEN,Thiruvananthapuram,Palode Ravi,Indian National Congress,175795,124907,71.1 %,5030,4.0%
Vamanapuram,131,GEN,Thiruvananthapuram,Koliakode.N. Krishnan Nair,Communist Party Of India (MARXIST),174411,123376,70.7 %,2236,1.8%
Kazhakkoottam,132,GEN,Thiruvananthapuram,Adv. M. A. Vaheed,Indian National Congress,163199,109498,67.1 %,2196,2.0%
Vattiyoorkavu,133,GEN,Thiruvananthapuram,K.Muralidharan,Indian National Congress,175398,112637,64.2 %,16167,14.4%
Thiruvananthapuram,134,GEN,Thiruvananthapuram,Adv.V.S.Sivakumar,Indian National Congress,177442,107092,60.4 %,5352,5.0%
Nemom,135,GEN,Thiruvananthapuram,V.Sivankutty,Communist Party Of India (MARXIST),172493,116474,67.5 %,6415,5.5%
Aruvikkara,136,GEN,Thiruvananthapuram,G. Karthikeyen,Indian National Congress,165638,116418,70.3 %,10674,9.2%
Parassala,137,GEN,Thiruvananthapuram,A.T. George,Indian National Congress,188442,135211,71.8 %,505,0.4%
Kattakkada,138,GEN,Thiruvananthapuram,N Sakthan,Indian National Congress,166306,117347,70.6 %,12916,11.0%
Kovalam,139,GEN,Thiruvananthapuram,Jameela Prakasam,Janata Dal (Secular),183615,125008,68.1 %,7205,5.8%
Neyyattinkara,140,GEN,Thiruvananthapuram,R Selvaraj,Communist Party Of India (MARXIST),157851,111698,70.8 %,6702,6.0%
