AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sheopur,1,GEN,Gulab Singh,Bharatiya Janta Party,119673,69979,58.5 %,8935,12.8%
Vijaypur,2,GEN,Ram Niwas,Indian National Congress,116870,69176,59.2 %,3101,4.5%
Sabalgarh,3,GEN,Meharwan Singh Rawat,Bharatiya Janta Party,132849,76425,57.5 %,16131,21.1%
Joura,4,GEN,Subedar Singh,Janata Dal,123596,68250,55.2 %,6387,9.4%
Sumawali,5,GEN,Gajraj Singh,Janata Dal,117452,61823,52.6 %,211,0.3%
Morena,6,GEN,Sevaram,Bharatiya Janta Party,139591,69643,49.9 %,6454,9.3%
Dimni,7,SC,Munshi Lal,Bharatiya Janta Party,114920,54298,47.2 %,18792,34.6%
Ambah,8,SC,Kishora,Janata Dal,137939,54129,39.2 %,19576,36.2%
Gohad,9,SC,Sriram,Bharatiya Janta Party,109580,47274,43.1 %,10342,21.9%
Mehgaon,10,GEN,Hari Singh,Indian National Congress,113917,69133,60.7 %,440,0.6%
Ater,11,GEN,Munna Singh Bhadoria,Bharatiya Janta Party,138859,74418,53.6 %,20153,27.1%
Bhind,12,GEN,Rakesh Singh,Indian National Congress,173210,79252,45.8 %,1140,1.4%
Roun,13,GEN,Rejendra Prakash Singh,Bharatiya Janta Party,111831,60006,53.7 %,12162,20.3%
Lahar,14,GEN,Govind Singh,Janata Dal,131892,86765,65.8 %,14617,16.8%
Gwalior,15,GEN,Dharam Veer,Bharatiya Janta Party,144420,62736,43.4 %,4768,7.6%
Lashkar East,16,GEN,Raghunath Shankar Bhau Sahib Potnis,Bharatiya Janta Party,115133,46726,40.6 %,3423,7.3%
Lashkar West,17,GEN,Shitla Sahai,Bharatiya Janta Party,118150,47770,40.4 %,10478,21.9%
Morar,18,GEN,Dhayanendra Singh,Bharatiya Janta Party,122325,58804,48.1 %,5469,9.3%
Gird,19,GEN,Anoop Mishra,Bharatiya Janta Party,118228,59546,50.4 %,1646,2.8%
Dabra,20,GEN,Narottam Mishra,Bharatiya Janta Party,121885,67972,55.8 %,7012,10.3%
Bhander,21,SC,Pooram Singh Palaiya,Bharatiya Janta Party,119818,54926,45.8 %,7119,13.0%
Seondha,22,SC,Mahendra Boudha,Indian National Congress,119231,60479,50.7 %,380,0.6%
Datia,23,GEN,Shambhu Tiwari,Bharatiya Janta Party,116849,70808,60.6 %,14396,20.3%
Karera,24,GEN,Bhagwat Singh Yadav,Bharatiya Janta Party,135152,73870,54.7 %,19876,26.9%
Pohri,25,GEN,Jadish Prasad Verma,Bharatiya Janta Party,108424,55985,51.6 %,13877,24.8%
Shivpuri,26,GEN,Sushil Bahadur Asthana,Independent,136059,76126,56.0 %,14411,18.9%
Pichhore,27,GEN,Laxmi Narayan Gupta,Bharatiya Janta Party,140749,96415,68.5 %,20076,20.8%
Kolaras,28,SC,Om Prakash Khatik,Bharatiya Janta Party,124059,54398,43.8 %,19150,35.2%
Guna,29,GEN,Bhag Chandra Sogani,Bharatiya Janta Party,153678,75293,49.0 %,4566,6.1%
Chachoda,30,GEN,Ram Bahadur Singh Parihar,Bharatiya Janta Party,112926,62017,54.9 %,7066,11.4%
Raghogarh,31,GEN,Laxman Singh,Indian National Congress,113002,65390,57.9 %,15063,23.0%
Shadora,32,SC,Gopilal,Bharatiya Janta Party,109281,43930,40.2 %,13448,30.6%
Ashoknagar,33,GEN,Neelam Singh Yadav,Bharatiya Janta Party,125067,78305,62.6 %,17644,22.5%
Mungaoli,34,GEN,Deshraj Singh,Bharatiya Janta Party,123377,68247,55.3 %,6894,10.1%
Bina,35,GEN,Sudhakar Bapat,Bharatiya Janta Party,101880,62633,61.5 %,9270,14.8%
Khurai,36,SC,Dharmu Rai,Bharatiya Janta Party,109163,59863,54.8 %,17248,28.8%
Banda,37,GEN,Harnam Singh Rathore,Bharatiya Janta Party,128777,89940,69.8 %,12892,14.3%
Naryaoli,38,SC,Narayan Prasad Kabirpanthi,Bharatiya Janta Party,121748,64500,53.0 %,6324,9.8%
Sagar,39,GEN,Prakash Motilal Jain,Indian National Congress,128792,63831,49.6 %,9537,14.9%
Surkhi,40,GEN,Laxmi Narayan Yadav,Janata Dal,104784,68637,65.5 %,12330,18.0%
Rehli,41,GEN,Gopal Bhargava,Bharatiya Janta Party,98846,67996,68.8 %,28488,41.9%
Deori,42,GEN,Parshu Ram Sahu,Bharatiya Janta Party,115206,69250,60.1 %,12746,18.4%
Niwari,43,GEN,Ahir Vikram Singh,Janata Dal,160723,97032,60.4 %,11755,12.1%
Jatara,44,GEN,Kunwar Surendra Pratap Singh (Baby Raja),Bharatiya Janta Party,121313,74363,61.3 %,1505,2.0%
Khargpur,45,SC,Anandi Lal,Bharatiya Janta Party,125989,58343,46.3 %,18548,31.8%
Tikamgarh,46,GEN,Goyal Magan Lal,Bharatiya Janta Party,137961,84497,61.2 %,8852,10.5%
Malehra,47,GEN,Ashok Kumar,Bharatiya Janta Party,127157,70780,55.7 %,2534,3.6%
Bijawar,48,GEN,Juhjar Singh,Bharatiya Janta Party,129872,70339,54.2 %,4295,6.1%
Chhatarpur,49,GEN,Jagdamba Prasad Nigam,Janata Dal,142407,79645,55.9 %,14310,18.0%
Maharajpur,50,SC,Ahirwar Ramdayal,Bharatiya Janta Party,138785,58008,41.8 %,21788,37.6%
Chandla,51,GEN,Ansari Mohd. Gani,Bharatiya Janta Party,123253,82828,67.2 %,4609,5.6%
Nohata,52,GEN,Om Prakash Rai ( Bugge Bhaiya),Bharatiya Janta Party,136043,74710,54.9 %,5854,7.8%
Damoh,53,GEN,Jayant Malaiya,Bharatiya Janta Party,130135,64381,49.5 %,26836,41.7%
Patharia,54,SC,Mani Shankar `suman`,Bharatiya Janta Party,110079,49113,44.6 %,12232,24.9%
Hatta,55,GEN,Ram Krishna Kashmaria,Bharatiya Janta Party,123713,73192,59.2 %,10144,13.9%
Panna,56,GEN,Kusum Singh Mahdele,Bharatiya Janta Party,134776,76564,56.8 %,15375,20.1%
Amanganj,57,SC,Ganeshi Lal,Bharatiya Janta Party,119473,52886,44.3 %,9021,17.1%
Pawai,58,GEN,Ashok Bir Vikarm Singh,Independent,134023,81675,60.9 %,13949,17.1%
Maihar,59,GEN,Narayan Singh,Janata Dal,130782,78632,60.1 %,15740,20.0%
Nagod,60,GEN,Ram Pratap Singh,Indian National Congress,121849,82290,67.5 %,3165,3.8%
Raigaon,61,SC,Dhirendra Singh 'dheeru',Janata Dal,114336,67624,59.1 %,805,1.2%
Chitrakoot,62,GEN,Rama Nand Singh,Janata Dal,120736,74319,61.6 %,12549,16.9%
Satna,63,GEN,Vrijendra Pathak,Bharatiya Janta Party,153275,82256,53.7 %,5909,7.2%
Rampur Baghelan,64,GEN,Toshan Singh,Janata Dal,123981,76401,61.6 %,1348,1.8%
Amarpatan,65,GEN,Ram Hit,Bharatiya Janta Party,127249,81367,63.9 %,6933,8.5%
Rewa,66,GEN,Pushpraj Singh (Rewa),Indian National Congress,155255,80173,51.6 %,27546,34.4%
Gurh,67,GEN,Vishambhar Nath Pandey,Communist Party Of India,137703,76150,55.3 %,3535,4.6%
Mangawan,68,GEN,Sri Niwas Tiwari,Indian National Congress,132361,79103,59.8 %,2061,2.6%
Sirmour,69,GEN,Ram Lakhan Sharma,Janata Dal,140277,77853,55.5 %,11648,15.0%
Teonthar,70,GEN,Ramakant Tiwari,Indian National Congress,134080,90829,67.7 %,2935,3.2%
Deotalab,71,SC,Jai Karan Saket,Bahujan Samaj Party,121964,55420,45.4 %,1155,2.1%
Mauganj,72,GEN,Udai Prakash Mishra,Indian National Congress,124484,67594,54.3 %,936,1.4%
Churahat,73,GEN,Arjun Singh,Indian National Congress,121817,76091,62.5 %,16075,21.1%
Sidhi,74,GEN,Indrajeet Kumar,Indian National Congress,122811,63455,51.7 %,9460,14.9%
Gopadbanas,75,GEN,Kamleshwar Prasad Dwivedi,Indian National Congress,117913,65644,55.7 %,1211,1.8%
Dhahani,76,ST,Tilakraj Singh (Niwaswale),Bharatiya Janta Party,109550,53131,48.5 %,11342,21.3%
Deosar,77,ST,Amar Singh,Bharatiya Janta Party,124496,51999,41.8 %,6668,12.8%
Singrauli,78,SC,Ram Charitra,Bharatiya Janta Party,139580,58825,42.1 %,12709,21.6%
Beohari,79,GEN,Lavkesh Singh,Bharatiya Janta Party,118198,68131,57.6 %,14647,21.5%
Umaria,80,GEN,Virender Kumar Chandel,Janata Dal,116194,54390,46.8 %,7914,14.6%
Nowrozabad,81,ST,Gyan Singh,Bharatiya Janta Party,106818,48454,45.4 %,13698,28.3%
Jaisinghnagar,82,ST,Ram Nath Singh,Janata Dal,113582,44195,38.9 %,9806,22.2%
Kotma,83,ST,Chhote Lal,Bharatiya Janta Party,131329,54093,41.2 %,1780,3.3%
