AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sawantwadi,1,GEN,Dalvi Shivram Gopal,Shiv Sena,149207,82786,55.5 %,1231,1.5%
Vengurla,2,GEN,Kambli Shankar Shivram,Shiv Sena,128837,68893,53.5 %,10318,15.0%
Malvan,3,GEN,Narayan Tatu Rane,Shiv Sena,123618,70588,57.1 %,27310,38.7%
Devgad,4,GEN,Appa Gogate,Bharatiya Janta Party,111600,64534,57.8 %,9599,14.9%
Rajapur,5,GEN,Kadam Ganpat Daulat,Shiv Sena,135112,79235,58.6 %,10178,12.8%
Ratnagiri,6,GEN,Bal Mane,Bharatiya Janta Party,184513,99622,54.0 %,12313,12.4%
Sangameshwar,7,GEN,Ravindra Muralidhar Mane,Shiv Sena,142163,90037,63.3 %,15797,17.5%
Guhagar,8,GEN,Dr Natu Vinay Shridhar,Bharatiya Janta Party,138696,86037,62.0 %,13735,16.0%
Chiplun,9,GEN,Bhaskar Bahurao Jadhav,Shiv Sena,135194,95062,70.3 %,1776,1.9%
Khed,10,GEN,Kadam Ramdas Gangaram,Shiv Sena,134063,88839,66.3 %,26739,30.1%
Dapoli,11,GEN,Dalvi Suryakant Shivram,Shiv Sena,137943,91975,66.7 %,22090,24.0%
Mahad,12,GEN,More Prabhakar Sundarrao,Shiv Sena,141950,97182,68.5 %,3247,3.3%
Shriwardhan,13,GEN,Sawant Shyam Tukaram,Shiv Sena,160842,104429,64.9 %,9371,9.0%
Mangaon,14,GEN,Tatkare Sunil Dattatraya,Nationalist Congress Party,156917,100479,64.0 %,7453,7.4%
Pen,15,GEN,Mohan Mahadeo Patil,Peasants And Workers Party Of India,185152,117848,63.6 %,2613,2.2%
Alibag,16,GEN,Meenakshi Patil,Peasants And Workers Party Of India,197501,118776,60.1 %,17802,15.0%
Panvel,17,GEN,Patil Vivek Shankar,Peasants And Workers Party Of India,243231,147843,60.8 %,15496,10.5%
Khalapur,18,GEN,Lad Suresh Narayan,Nationalist Congress Party,212813,121432,57.1 %,4962,4.1%
Colaba,19,GEN,Patrawala Marazban Jal,Indian National Congress,130348,46092,35.4 %,11273,24.5%
Umarkhadi,20,GEN,Patel Bashir Moosa,Samajwadi Party,120784,46609,38.6 %,1788,3.8%
Mubadevi,21,GEN,Raj K. Purohit,Bharatiya Janta Party,98931,39370,39.8 %,11512,29.2%
Khetwadi,22,GEN,Atul Shah,Bharatiya Janta Party,109917,47763,43.5 %,4152,8.7%
Opera House,23,GEN,Padwal Chandrakant Shankar,Shiv Sena,95522,44082,46.1 %,4537,10.3%
Malbar Hill,24,GEN,Mangalprabhat Lodha,Bharatiya Janta Party,163779,79055,48.3 %,12382,15.7%
Chinchpokli,25,GEN,Anna Alias Madhu Chavan,Indian National Congress,135055,59858,44.3 %,3318,5.5%
Nagpada,26,GEN,Sayyed Ahmed Alinki,Indian National Congress,122946,51240,41.7 %,2130,4.2%
Mazgaon,27,GEN,Bala Nandgaonkar,Shiv Sena,128058,56334,44.0 %,15904,28.2%
Parel,28,GEN,Dagadu (Dada) Sakpal,Shiv Sena,140060,65577,46.8 %,21936,33.5%
Shivadi,29,GEN,Ahir Sachin Mohan,Nationalist Congress Party,153232,73803,48.2 %,5338,7.2%
Worli,30,GEN,Dattaji Nalawde,Shiv Sena,133225,61437,46.1 %,10930,17.8%
Naigaum,31,GEN,Kolambkar Kalidas Nilkanth,Shiv Sena,148903,72616,48.8 %,31430,43.3%
Dadar,32,GEN,Vishakha Raut,Shiv Sena,136624,70748,51.8 %,13779,19.5%
Matunga,33,GEN,Chandrakanta Goyal,Bharatiya Janta Party,223252,97125,43.5 %,1759,1.8%
Mahim,34,GEN,Gambhir Suresh Anant,Shiv Sena,149283,72079,48.3 %,23918,33.2%
Dharavi,35,SC,Eknath M. Gaikwad,Indian National Congress,270033,110990,41.1 %,9414,8.5%
Vandre,36,GEN,Baba Ziauddan Siddique,Indian National Congress,174948,82032,46.9 %,8904,10.9%
Kherwadi,37,GEN,Prof. J. C. Chandurkar,Indian National Congress,199171,92213,46.3 %,2359,2.6%
Vileparle,38,GEN,Vinayak Raut,Shiv Sena,212707,101752,47.8 %,1709,1.7%
Amboli,39,GEN,Baldev Khosa,Indian National Congress,357990,149687,41.8 %,11468,7.7%
Santacruz,40,GEN,Kripashankar Ramniranjan Singh,Indian National Congress,256685,125402,48.9 %,9130,7.3%
Andheri,41,GEN,Suresh Shetty,Indian National Congress,351514,162490,46.2 %,14157,8.7%
Goregaon,42,GEN,Nandkumar Kale,Shiv Sena,241616,106402,44.0 %,35043,32.9%
Malad,43,GEN,Gajanan Kirtikar,Shiv Sena,512420,226438,44.2 %,9815,4.3%
Kandivali,44,GEN,Mehta Pradhuman Umiyashankar,Indian National Congress,428579,164971,38.5 %,2338,1.4%
Borivali,45,GEN,Hemendra Mehta,Bharatiya Janta Party,494845,206487,41.7 %,57933,28.1%
Trombay,46,GEN,Ashraf Sayed Sohail,Indian National Congress,436177,201321,46.2 %,33236,16.5%
Chembur,47,GEN,Pramod Shirwalkar,Bharatiya Janta Party,260133,113979,43.8 %,40391,35.4%
Nehrunagar,48,GEN,Nawab Malik,Samajwadi Party,220225,104877,47.6 %,18458,17.6%
Kurla,49,GEN,Khan Mohd. Arif Naseem,Indian National Congress,425610,191135,44.9 %,23021,12.0%
Ghatkopar,50,GEN,Prakash Mehta,Bharatiya Janta Party,222426,114292,51.4 %,44952,39.3%
Bhandup,51,GEN,Dake Liladhar Balaji,Shiv Sena,321069,152684,47.6 %,8756,5.7%
Mulund,52,GEN,Sardar Tarasing,Bharatiya Janta Party,324925,155785,47.9 %,32395,20.8%
Thane,53,GEN,M.D.Joshi,Shiv Sena,378372,150487,39.8 %,10479,7.0%
Belapur,54,GEN,Sitaram Bhoir,Shiv Sena,890784,244895,27.5 %,2786,1.1%
Ulhasnagar,55,GEN,Kalani Suresh( Pappu) Budharmal,Native People's Party,405656,102883,25.4 %,34313,33.4%
Ambernath,56,GEN,Shaikh Sabir Haji Karim,Shiv Sena,437149,146070,33.4 %,14659,10.0%
Kalyan,57,GEN,Patil Jagnnath Shivram,Bharatiya Janta Party,485388,180573,37.2 %,41321,22.9%
Murbad,58,GEN,Gotiram Padu Pawar,Nationalist Congress Party,175401,109291,62.3 %,17751,16.2%
Wada,59,ST,Savara Vishnu Rama,Bharatiya Janta Party,248123,123885,49.9 %,32848,26.5%
Bhiwandi,60,GEN,Abdul Rasheed Mohd. Tahir Momin,Indian National Congress,438978,171348,39.0 %,22577,13.2%
Vasai,61,GEN,Hitendra Vishnu Thakur,Independent,348201,158093,45.4 %,50428,31.9%
Palghar,62,ST,Manisha Manohar Nimkar,Shiv Sena,196571,91857,46.7 %,24342,26.5%
Dahanu,63,ST,Ghoda Krishna Arjun,Nationalist Congress Party,227001,123598,54.4 %,11387,9.2%
Jawhar,64,ST,Varatha Ramjee Mahadu,Communist Party Of India (MARXIST),204024,121875,59.7 %,15891,13.0%
Shahapur,65,ST,Daroda Daulat Bhika,Shiv Sena,158554,89873,56.7 %,4370,4.9%
Igatpuri,66,ST,Gangad Pandurang Chapu (Baba),Shiv Sena,157998,79106,50.1 %,628,0.8%
Nashik,67,GEN,Aher (Dr.) Daulatrao Sonuji,Bharatiya Janta Party,344826,160608,46.6 %,23874,14.9%
Deolali,68,SC,Gholap Baban Shankar,Independent,282334,133020,47.1 %,3708,2.8%
Sinnar,69,GEN,Kokate Manikrao Shivaji,Shiv Sena,156257,117452,75.2 %,23357,19.9%
Niphad,70,GEN,Kadam Mandakini Raosaheb,Shiv Sena,192028,125785,65.5 %,12065,9.6%
Yevla,71,GEN,Patil Kalyanrao Jayawantrao,Shiv Sena,181620,120073,66.1 %,221,0.2%
Nandgaon,72,GEN,Aher Anilkumar Gangadhar,Indian National Congress,181736,110107,60.6 %,15534,14.1%
Malegaon,73,GEN,Shaikh Rashid Shaikh Shafi,Indian National Congress,230334,138301,60.0 %,26179,18.9%
Dabhadi,74,GEN,Hire Prashant Venkatrao,Nationalist Congress Party,168685,118165,70.1 %,6029,5.1%
Chandwad,75,GEN,Kotwal Shirishkumar Vasantrao,Nationalist Congress Party,158120,111435,70.5 %,21864,19.6%
Dindori,76,ST,Charoskar Ramdas Kisan,Nationalist Congress Party,186149,110778,59.5 %,10971,9.9%
Surgana,77,ST,Gavit Jiva Pandu,Communist Party Of India (MARXIST),158157,110272,69.7 %,11212,10.2%
Kalvan,78,ST,Pawar Arjun Tulshiram,Nationalist Congress Party,165550,103933,62.8 %,10536,10.1%
Baglan,79,ST,Ahire Shankar Daulat,Bharatiya Janta Party,196387,93770,47.7 %,8510,9.1%
Sakri,80,ST,Suryavanshi Vasant Dodha,Bharipa Bahujan Mahasangh,196385,97871,49.8 %,7286,7.4%
Nawapur,81,ST,Naik Surupsing Hirya,Indian National Congress,196105,133948,68.3 %,24505,18.3%
Nandurbar,82,ST,Gavit Vijaykumar Krishnarao,Nationalist Congress Party,186944,128837,68.9 %,4694,3.6%
Talode,83,ST,Valvi Padmakar Vijesing,Indian National Congress,161907,103728,64.1 %,19015,18.3%
Akrani,84,ST,Ad. K.C. Padvi,Indian National Congress,157478,94824,60.2 %,11805,12.4%
Shahade,85,GEN,Dr. Deshmukh Hemant Bhaskar,Nationalist Congress Party,182883,116691,63.8 %,4020,3.4%
Shirpur,86,GEN,Amrishbhai Patel,Indian National Congress,194149,132819,68.4 %,29871,22.5%
Sinkheda,87,GEN,Patil Ramkrishna Dodha,Shiv Sena,160701,101592,63.2 %,6213,6.1%
Kusumba,88,GEN,Patil Rohidas Chudaman,Indian National Congress,172532,106156,61.5 %,445,0.4%
Dhule,89,GEN,Anil (Anna) Gote,Samajwadi Janata Party (MAHARASHTRA),237423,122935,51.8 %,3676,3.0%
Chalisgaon,90,SC,Ghode Sahebrao Sitaram,Bharatiya Janta Party,197404,109080,55.3 %,4041,3.7%
Parola,91,GEN,Patil Chimanrao Rupchand,Shiv Sena,197764,128039,64.7 %,5028,3.9%
Amalner,92,GEN,Dr. Patil B.S.,Bharatiya Janta Party,173050,106504,61.5 %,27000,25.4%
Chopda,93,GEN,Arunlal Govardhandas Gujarathi,Nationalist Congress Party,156155,105722,67.7 %,2110,2.0%
Erandol,94,GEN,Patil Gulab Raghunath,Shiv Sena,173459,112436,64.8 %,4090,3.6%
Jalgaon,95,GEN,Jain Sureshkumar Bhikamchand,Shiv Sena,232778,144263,62.0 %,22684,15.7%
Pachora,96,GEN,Tatyasaheb R.O. Patil,Shiv Sena,185126,117597,63.5 %,16844,14.3%
Jamner,97,GEN,Mahajan Girish Dattatraya,Bharatiya Janta Party,166655,125564,75.3 %,14937,11.9%
Bhusawal,98,GEN,Bhole Dilip Atmaram,Shiv Sena,216517,128619,59.4 %,10961,8.5%
Yaval,99,GEN,Haribhau Madhao Jawale,Bharatiya Janta Party,149010,101584,68.2 %,412,0.4%
