AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Akkalkuwa,1,ST,Nandurbar,Padvi Adv K. C.,Indian National Congress,209521,143301,68.4 %,2559,1.8%
Shahada,2,ST,Nandurbar,Valvi Padmakar Vijaysing,Indian National Congress,257248,144652,56.2 %,12587,8.7%
Nandurbar,3,ST,Nandurbar,Gavit Vijaykumarkrushnarao,Nationalist Congress Party,267280,180976,67.7 %,23858,13.2%
Nawapur,4,ST,Nandurbar,Gavit Sharadkrushnarao,Samajwadi Party,231811,176324,76.1 %,1695,1.0%
Sakri,5,ST,Dhule,Bhoye Yogendrareshama,Indian National Congress,284411,140386,49.4 %,18944,13.5%
Dhule Rural,6,GEN,Dhule,Prof.Shard Patil,Shiv Sena,322222,192849,59.8 %,18982,9.8%
Dhule City,7,GEN,Dhule,Anil Anna Gote,Loksangram,269624,136426,50.6 %,28741,21.1%
Sindkheda,8,GEN,Dhule,Rawal Jaikumarbhaujitendrasinh,Bharatiya Janta Party,274283,167764,61.2 %,50699,30.2%
Shirpur,9,ST,Dhule,Kashiram Vechan Pawara,Indian National Congress,268703,155892,58.0 %,39813,25.5%
Chopda,10,ST,Jalgaon,Jagdishchandra Ramesh Walvi (JAGDISHBHAU),Nationalist Congress Party,253260,161269,63.7 %,14838,9.2%
Raver,11,GEN,Jalgaon,Shirish Madhukarraochaudhari,Independent,244991,153708,62.7 %,21536,14.0%
Bhusawal,12,GEN,Jalgaon,Savkare Sanjay Waman,Nationalist Congress Party,258725,131573,50.9 %,3903,3.0%
Jalgaon City,13,GEN,Jalgaon,Jain Sureshkumarbhikamchand,Shiv Sena,308762,122360,39.6 %,31405,25.7%
Jalgaon Rural,14,GEN,Jalgaon,Deokar Gulabraobaburao,Nationalist Congress Party,258199,160246,62.1 %,4562,2.8%
Amalner,15,GEN,Jalgaon,Krushibhushan Sahebraopatil,Independent,252420,147681,58.5 %,10463,7.1%
Erandol,16,GEN,Jalgaon,Patil Chimanraorupchand,Shiv Sena,235318,146648,62.3 %,3298,2.2%
