AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Khundrakpam,1,GEN,Lairellakpam Lala,Independent,15120,11786,77.9 %,534,4.5%
Heingang,2,GEN,Waikhom Jagor,Indian National Congress,15274,13542,88.7 %,828,6.1%
Khurai,3,GEN,Atomba Ngairangbamcha,Independent,17016,14710,86.4 %,1001,6.8%
Khetrigao,4,GEN,Muhammddin Shah,Indian National Congress,16634,14048,84.5 %,1308,9.3%
Thongju,5,GEN,Nameirakpam Bisheshwor,Independent,15635,14177,90.7 %,2105,14.8%
Keirao,6,GEN,Abdul Matlib,Indian National Congress,15881,14444,91.0 %,90,0.6%
Andro,7,GEN,Loitongbam Amujou,Indian National Congress,18975,17626,92.9 %,2187,12.4%
Lamlai,8,GEN,Yumkhaibam Kerani Singh,Indian National Congress,15199,12458,82.0 %,1412,11.3%
Thangmeiband,9,GEN,Koijam Radhabinod Singh,Indian National Congress,17478,13360,76.4 %,2545,19.0%
Uripok,10,GEN,Paonam Achou Singh,Indian National Congress,11763,9342,79.4 %,414,4.4%
Sagolband,11,GEN,Salam Damodar,Independent,14858,11538,77.7 %,489,4.2%
Keisamthong,12,GEN,Laishom Lalit,Indian National Congress,17189,14197,82.6 %,625,4.4%
Singjamei,13,GEN,Rengbam Tompok Singh,Indian National Congress,13151,11522,87.6 %,1582,13.7%
Yaiskul,14,GEN,R. K. Dorendra,Indian National Congress,15033,12350,82.2 %,2361,19.1%
Wangkhei,15,GEN,Yumkham Erabot,Indian National Congress,21836,16648,76.2 %,1302,7.8%
Sekmai,16,SC,Khangembam Leirijao,Indian National Congress,13822,11638,84.2 %,1065,9.2%
Lamsang,17,GEN,Mutum Deven,Independent,16325,14599,89.4 %,2922,20.0%
Konthoujam,18,GEN,Henam Lokhon Singh,Indian National Congress,16269,14874,91.4 %,179,1.2%
Patsoi,19,GEN,Leishangthem Chandramani,Indian National Congress,15766,13416,85.1 %,1318,9.8%
Langthabal,20,GEN,O. Joy Singh,Manipur Peoples Party,14257,12283,86.2 %,2436,19.8%
Naoriya Pakhanglakpa,21,GEN,Wahengbam Angou,Indian National Congress,17958,16282,90.7 %,903,5.5%
Wangoi,22,GEN,Wahengbam Nipamacha,Janta Party,14181,12676,89.4 %,852,6.7%
Mayang Imphal,23,GEN,Meinam Nilachandra Singh,Janta Party,18413,15445,83.9 %,469,3.0%
Nambol,24,GEN,Chaoba,Indian National Congress,16494,15525,94.1 %,46,0.3%
Oinam,25,GEN,Keisham Bira Singh,Indian National Congress,14795,14004,94.7 %,1606,11.5%
Bishenpur,26,GEN,Thiyam Udhop Singh,Independent,15119,14177,93.8 %,260,1.8%
Moirang,27,GEN,M. Koireng Singh,Janta Party,19385,16742,86.4 %,26,0.2%
Thanga,28,GEN,Heisnam Sanayaima Singh,Independent,12132,11219,92.5 %,99,0.9%
