AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
War-Jaintia,1,ST,H. Enowell Pohshna,Independent,13897,10227,73.6 %,159,1.6%
Rymbai,2,ST,Nihon Ksih,All Party Hill Leaders Conference,15345,11731,76.4 %,609,5.2%
Sutnga-Shangpung,3,ST,Barrister Pakem,Hill State People's Democratic Party,12661,9344,73.8 %,713,7.6%
Raliang,4,ST,Humphrey Hadem,Hill State People's Democratic Party,17283,13642,78.9 %,1371,10.0%
Nartiang,5,ST,Edwingson Bareh,Independent,14468,11115,76.8 %,446,4.0%
Nongbah-Wahiajer,6,ST,Indro Pariat,Hill State People's Democratic Party,11814,9222,78.1 %,31,0.3%
Jowai,7,ST,Dr. Roytre Christopher Laloo,Indian National Congress,10992,8836,80.4 %,540,6.1%
Mawhati,8,ST,S.R. Moksha,Hill State People's Democratic Party,10619,7612,71.7 %,1696,22.3%
Umroi,9,ST,E.K. Mawlong,Hill State People's Democratic Party,11656,8494,72.9 %,1361,16.0%
Nongpoh,10,ST,D. Dethwelson Lapang,Indian National Congress,11323,8186,72.3 %,601,7.3%
Jirang,11,ST,Gerson Lyngdoh,Hill State People's Democratic Party,11446,6785,59.3 %,332,4.9%
Mairang,12,ST,Kitdor Syiem,All Party Hill Leaders Conference,12552,9643,76.8 %,1889,19.6%
Nongspung,13,ST,Winstone Syiemiong,Hill State People's Democratic Party,11667,9008,77.2 %,3202,35.5%
Sohiong,14,ST,Nit Shabong,Indian National Congress,13062,8900,68.1 %,992,11.1%
Mylliem,15,ST,Oris Lyngdoh,All Party Hill Leaders Conference,11450,8991,78.5 %,335,3.7%
Malki-Nongthymmai,16,ST,Bindo M. Lanong,All Party Hill Leaders Conference,11318,7423,65.6 %,1015,13.7%
Laitumkharah,17,ST,Justine Khonglah,All Party Hill Leaders Conference,10648,7150,67.1 %,569,8.0%
Pynthorumkhrah,18,GEN,B.K. Roy,Indian National Congress,12465,8519,68.3 %,1025,12.0%
Jaiaw,19,ST,P. Ripple Kyndiah,All Party Hill Leaders Conference,13429,9507,70.8 %,964,10.1%
Mawkhar,20,ST,Korbar Singh,All Party Hill Leaders Conference,8664,5729,66.1 %,276,4.8%
Mawprem,21,GEN,Dhruba Nath Joshi,Indian National Congress,9792,6760,69.0 %,1113,16.5%
Laban,22,GEN,Bhaskar Choudhury,Indian National Congress,9747,6819,70.0 %,920,13.5%
Mawlai,23,ST,Stanlington David Khongwir,Hill State People's Democratic Party,11428,8720,76.3 %,605,6.9%
Sohryngkham,24,ST,Grosswell Mylliemngap,All Party Hill Leaders Conference,10345,7870,76.1 %,843,10.7%
Dienglieng,25,ST,Medistar Warbah,Public Demands Implementation Convention,10458,8029,76.8 %,81,1.0%
Nongkrem,26,ST,Dominic Roblin Nongkynrih,Public Demands Implementation Convention,11566,9328,80.7 %,524,5.6%
Lyngkyrdem,27,ST,B.B. Lyngdoh,All Party Hill Leaders Conference,12209,8558,70.1 %,547,6.4%
Nongshken,28,ST,G.S. Massar,Hill State People's Democratic Party,10315,7929,76.9 %,646,8.1%
Sohra,29,ST,Flinder Anderson Klonglam,Hill State People's Democratic Party,11172,8126,72.7 %,200,2.5%
Shella,30,ST,S. Galmendar Singh Lyngdoh,All Party Hill Leaders Conference,9988,6862,68.7 %,321,4.7%
Mawsynram,31,ST,Mestonnath Kharshandy,Indian National Congress,10907,8037,73.7 %,411,5.1%
Mawkyrwat,32,ST,Rowell Lyngdoh,Hill State People's Democratic Party,11695,8827,75.5 %,90,1.0%
Pariong,33,ST,Tubarlin Lyngdoh,Hill State People's Democratic Party,11175,6984,62.5 %,1910,27.3%
Nongstoin,34,ST,Hopingstone Lyngdoh,Hill State People's Democratic Party,19275,11517,59.8 %,1956,17.0%
Langrin,35,ST,Bakstarwell Wanniang,Hill State People's Democratic Party,11237,8511,75.7 %,1965,23.1%
Mawthengkut,36,ST,H. Ledishon Nongsiang,Hill State People's Democratic Party,13278,9353,70.4 %,249,2.7%
Baghmara,37,ST,Williamson A. Sangma,Indian National Congress,9901,6894,69.6 %,3784,54.9%
Rongrenggiri,38,ST,Albinstone M. Sangma,Indian National Congress,12711,7841,61.7 %,1133,14.4%
Rongjeng,39,ST,Nihimson Sangma,Indian National Congress,8906,5945,66.8 %,355,6.0%
Kharkutta,40,ST,Prettingtone Sangma,Indian National Congress,11109,6746,60.7 %,1253,18.6%
Mendipathar,41,ST,Beninstand G. Momin,All Party Hill Leaders Conference,11184,8825,78.9 %,853,9.7%
Resubelpara,42,ST,Salseng Marak,Indian National Congress,9862,7379,74.8 %,1580,21.4%
Songsak,43,ST,Elwin Sangma,Indian National Congress,9643,5636,58.4 %,820,14.5%
Bajengdoba,44,ST,Chamberline Marak,Indian National Congress,10081,6658,66.0 %,1915,28.8%
Tikrikilla,45,ST,Monindra Rava,Indian National Congress,9464,7584,80.1 %,1309,17.3%
Dadenggiri,46,ST,Norwin Sangma,Indian National Congress,12684,8313,65.5 %,1119,13.5%
Rongchugiri,47,ST,William Cecil Marak,All Party Hill Leaders Conference,8316,5288,63.6 %,805,15.2%
Phulbari,48,GEN,Parimal Rava,All Party Hill Leaders Conference,11939,10422,87.3 %,342,3.3%
Rajabala,49,ST,Md. Khorshedur Rahman Khan,Indian National Congress,12184,10544,86.5 %,561,5.3%
Selsella,50,ST,Atul C. Marak,Indian National Congress,7595,5861,77.2 %,1027,17.5%
Rongram,51,ST,Crunden S. Sangma,All Party Hill Leaders Conference,10885,8195,75.3 %,741,9.0%
Tura,52,ST,Sanford K. Marak,Indian National Congress,14948,10287,68.8 %,347,3.4%
Chokpot,53,ST,Clifford Marak,Independent,9048,6444,71.2 %,173,2.7%
Kherapara,54,ST,Roster M. Sangma,Indian National Congress,9705,6627,68.3 %,814,12.3%
Dalu,55,ST,Kamal R. Bhowmik,Indian National Congress,8400,6448,76.8 %,652,10.1%
Dalamgiri,56,ST,Ira Marak,Indian National Congress,9474,7623,80.5 %,1109,14.5%
Rangsakona,57,ST,Pipinson Momin,Indian National Congress,10013,7503,74.9 %,164,2.2%
Ampatigiri,58,ST,Bhadreswar Koch,Indian National Congress,12228,9573,78.3 %,183,1.9%
Salmanpura,59,ST,Meckenson K. Sangma,All Party Hill Leaders Conference,10672,7790,73.0 %,254,3.3%
Mahendraganj,60,GEN,Lokhindor Hajong,Indian National Congress,9781,8303,84.9 %,688,8.3%
