AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Nartiang,1,ST,Jaintia Hills,Sniawbhalang Dhar,National People's Party,36700,33663,91.7 %,2098,6.2%
Jowai,2,ST,Jaintia Hills,Wailadmiki Shylla,National People's Party,34605,30665,88.6 %,1303,4.2%
Raliang,3,ST,Jaintia Hills,Comingone Ymbon,National People's Party,32206,29620,92.0 %,3250,11.0%
Mowkaiaw,4,ST,Jaintia Hills,Nujorki Sungoh,United Democratic Party,31011,29049,93.7 %,260,0.9%
Sutnga Saipung,5,ST,Jaintia Hills,Shitlang Pale,Indian National Congress,37980,33687,88.7 %,1584,4.7%
Khliehriat,6,ST,Jaintia Hills,Kyrmen Shylla,United Democratic Party,38142,34369,90.1 %,8181,23.8%
Amlarem,7,ST,Jaintia Hills,Lahkmen Rymbui,United Democratic Party,32315,29006,89.8 %,2631,9.1%
Mawhati,8,ST,Ri Bhoi,Dasakhiatbha Lamare,National People's Party,31998,28017,87.6 %,204,0.7%
Nongpoh,9,ST,Ri Bhoi,Mayralborn Syiem,Indian National Congress,30730,27009,87.9 %,3324,12.3%
Jirang,10,ST,Ri Bhoi,Sosthenes Sohtun,National People's Party,35891,29718,82.8 %,220,0.7%
Umsning,11,ST,Ri Bhoi,Jason Sawkmie Mawlong,Peoples Democratic Front,32111,27713,86.3 %,70,0.3%
Umroi,12,ST,Ri Bhoi,George Bankyntiewlang Lyngdoh,Indian National Congress,26478,22965,86.7 %,1018,4.4%
Mawryngkneng,13,ST,East Khasi Hills,David A Nongrum,Indian National Congress,32138,27337,85.1 %,3763,13.8%
Pynthorumkhrah,14,GEN,East Khasi Hills,Alexander Laloo Hek,Bharatiya Janta Party,30845,23881,77.4 %,1418,5.9%
Mawlai,15,ST,East Khasi Hills,Process T. Sawkmie,Indian National Congress,42665,34510,80.9 %,1574,4.6%
East Shillong,16,ST,East Khasi Hills,Mazel Ampareen Lyngdoh,Indian National Congress,24170,16892,69.9 %,6074,36.0%
North Shillong,17,ST,East Khasi Hills,Adelbert Nongrum,Khun Hynnieutrip National Awakaning Movement,26655,18383,69.0 %,406,2.2%
West Shillong,18,GEN,East Khasi Hills,Mohendro Rapsang,Indian National Congress,25680,18963,73.8 %,1984,10.5%
