AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Hachhek,1,ST,Mamit,Lalrinmawia Ralte,Indian National Congress,21136,17132,81.1 %,2333,13.6%
Dampa,2,ST,Mamit,Lalrobiaka,Indian National Congress,16158,14182,87.8 %,1161,8.2%
Mamit,3,ST,Mamit,John Rotluangliana,Indian National Congress,19739,16870,85.5 %,2490,14.8%
Tuirial,4,ST,Kolasib,Hmingdailova Khiangte,Indian National Congress,15569,12981,83.4 %,239,1.8%
Kolasib,5,ST,Kolasib,P.C. Zoram Sangliana,Indian National Congress,18934,15848,83.7 %,595,3.8%
Serlui,6,ST,Kolasib,K. Lalrinthanga,Indian National Congress,16627,13825,83.1 %,1406,10.2%
Tuivawl,7,ST,Aizawl,R. L. Pianmawia,Indian National Congress,14922,12440,83.4 %,1371,11.0%
Chalfilh,8,ST,Aizawl,Dr. Ngurdingliana,Indian National Congress,17039,13988,82.1 %,3728,26.7%
Tawi,9,ST,Aizawl,R Lalzirliana,Indian National Congress,14440,12590,87.2 %,947,7.5%
Aizawl North - I,10,ST,Aizawl,R. Romawia,Indian National Congress,20216,15984,79.1 %,657,4.1%
Aizawl North - Ii,11,ST,Aizawl,Lalthanliana,Mizoram People's Conference,20524,16430,80.1 %,311,1.9%
Aizawl North-Iii,12,ST,Aizawl,Lal Thanzara,Indian National Congress,17181,13688,79.7 %,750,5.5%
Aizawl East - I,13,GEN,Aizawl,R. Lalrinawma,Indian National Congress,20168,16409,81.4 %,422,2.6%
Aizawl East Ii,14,ST,Aizawl,Lalsawta,Indian National Congress,16258,12938,79.6 %,177,1.4%
Aizawl West I,15,ST,Aizawl,K Sangthuama,Mizo National Front,20804,17311,83.2 %,462,2.7%
Aizawl West Ii,16,ST,Aizawl,Lalruatkima,Mizo National Front,18563,15050,81.1 %,630,4.2%
Aizawl West Iii,17,ST,Aizawl,Vanlalzawma,Mizo National Front,19043,15086,79.2 %,978,6.5%
Aizawl South I,18,ST,Aizawl,R. Vanlalvena,Indian National Congress,19938,16246,81.5 %,1296,8.0%
Aizawl South Ii,19,ST,Aizawl,Lt. Col. Zosangzuala,Indian National Congress,21232,17164,80.8 %,1043,6.1%
Aizawl South-Iii,20,ST,Aizawl,K. S. Thanga,Indian National Congress,17619,15813,89.7 %,667,4.2%
Lengteng,21,ST,Champhai,H .Rohluna,Indian National Congress,16016,13221,82.5 %,167,1.3%
Tuichang,22,ST,Champhai,Lalrinliana Sailo,Indian National Congress,14993,12760,85.1 %,2985,23.4%
Champhai North,23,ST,Champhai,T.T. Zothansanga,Indian National Congress,16858,13877,82.3 %,1470,10.6%
Champhai South,24,ST,Champhai,Jh.Rothuama,Indian National Congress,15590,12624,81.0 %,1650,13.1%
East Tuipui,25,ST,Champhai,T. Sangkunga,Indian National Congress,13825,11295,81.7 %,798,7.1%
Serchhip,26,ST,Serchhip,Lal Thanhawla,Indian National Congress,15906,13723,86.3 %,734,5.3%
Tuikum,27,ST,Serchhip,Er. Lalrinawma,Mizo National Front,14255,12495,87.7 %,14,0.1%
Hrangturzo,28,ST,Serchhip,Lal Thanhawla,Indian National Congress,14710,12198,82.9 %,1628,13.3%
South Tuipui,29,ST,Lunglei,John Siamkunga,Indian National Congress,13604,11526,84.7 %,1568,13.6%
Lunglei North,30,ST,Lunglei,P.C. Lalthanliana,Indian National Congress,14737,13047,88.5 %,870,6.7%
Lunglei East,31,ST,Lunglei,Joseph Lalhimpuia,Indian National Congress,13064,10784,82.5 %,1611,14.9%
Lunglei West,32,ST,Lunglei,Chalrosanga Ralte,Indian National Congress,13102,11100,84.7 %,94,0.8%
Lunglei South,33,ST,Lunglei,S. Laldingliana,Indian National Congress,15063,13047,86.6 %,450,3.4%
Thorang,34,ST,Lunglei,Zodintluanga,Indian National Congress,12339,10689,86.6 %,2504,23.4%
West Tuipui,35,ST,Lunglei,Nihar Kanti Chakma,Indian National Congress,12470,10775,86.4 %,3334,30.9%
Tuichawng,36,ST,Lawngtlai,Buddha Dhan Chakma,Indian National Congress,26272,20900,79.6 %,8726,41.8%
Lawngtlai West,37,ST,Lawngtlai,C.Ngunlianchunga,Indian National Congress,23020,19431,84.4 %,1535,7.9%
Lawngtlai East,38,ST,Lawngtlai,H.Zothangliana,Indian National Congress,21234,16751,78.9 %,273,1.6%
Saiha,39,ST,Saiha,Dr. K. Beichhua,Mizo National Front,18265,14700,80.5 %,222,1.5%
Palak,40,ST,Saiha,Hiphei,Indian National Congress,15439,12689,82.2 %,1823,14.4%
