AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Dimapur-I,1,GEN,I. Vikheshe,Indian National Congress,25200,RU,,,
Dimapur-Ii,2,ST,Imtisunget Jamir,Indian National Congress,46761,RU,,,
Dimapur-Iii,3,ST,Atovi Sumi,Indian National Congress,17050,2332,13.7 %,1618.0,69.4%
Ghaspani-I,4,ST,Dr. V. Kanito,Indian National Congress,50657,RU,,,
Ghaspani-Ii,5,ST,Rokonicha,Indian National Congress,22771,RU,,,
Tenning,6,ST,T.R.Zelang,Indian National Congress,16683,RU,,,
Peren,7,ST,Neiba Ndang,Indian National Congress,19123,RU,,,
Western Angami,8,ST,Asu Keyho,Independent,15509,9936,64.1 %,1478.0,14.9%
Kohima Town,9,ST,T.Abao Kire,Independent,25889,18481,71.4 %,460.0,2.5%
Northern Angami - I,10,ST,Seyiekuolie,Indian National Congress,14685,RU,,,
Northern Angami -Ii,11,ST,Neiphiu Rio,Indian National Congress,15138,RU,,,
Tseminyu,12,ST,Nillo Rengma,Indian National Congress,19472,RU,,,
Pughoboto,13,ST,Joshua Sumi,Indian National Congress,12491,RU,,,
Southern Angami-I,14,ST,Mavil Khieya,Independent,11559,7433,64.3 %,676.0,9.1%
Southern Angami-Ii,15,ST,K.V. Pusa,Indian National Congress,10293,RU,,,
Pfutsero,16,ST,Kewekhape Therie,Indian National Congress,17001,RU,,,
Chizami,17,ST,Zhovehu Lohe,Indian National Congress,12367,RU,,,
Chazouba,18,ST,Nuzota Swuro,Indian National Congress,16699,11167,66.9 %,2007.0,18.0%
Phek,19,ST,Zachilhu,Indian National Congress,14714,RU,,,
Meluri,20,ST,Khuosatho,Indian National Congress,12398,9515,76.7 %,4594.0,48.3%
Tuli,21,ST,T.Tali,Indian National Congress,16154,RU,,,
Arkakong,22,ST,Imtiyanger,Indian National Congress,13587,RU,,,
Impur,23,ST,T. Chuba,Indian National Congress,11396,RU,,,
Angetyongpang,24,ST,T. Sentichuba,Indian National Congress,11124,RU,,,
Monguya,25,ST,T. Imtimeren Jamir,Indian National Congress,11227,RU,,,
Aonglenden,26,ST,S.C. Jamir,Indian National Congress,9143,RU,,,
Mokokchung Town,27,ST,Nungshizenba,Indian National Congress,4556,RU,,,
Koridang,28,ST,T. Nokyu Longchar,Indian National Congress,15254,RU,,,
Jangpetkong,29,ST,I. Imkong,Indian National Congress,9849,RU,,,
Alungtaki,30,ST,Tongpang Nungshi,Indian National Congress,12638,RU,,,
Akuluto,31,ST,Kakheto,Indian National Congress,6888,RU,,,
Atoizu,32,ST,Doshehe-Y-Sema,Indian National Congress,9582,RU,,,
Suruhuto,33,ST,Kiyezhe Sema,Indian National Congress,9175,RU,,,
Aghunato,34,ST,Tokheho Yepthomi,Indian National Congress,9860,RU,,,
Zunheboto,35,ST,Kakheho,Independent,13573,7808,57.5 %,2773.0,35.5%
Satakha,36,ST,Kaito,Indian National Congress,10355,RU,,,
Tyui,37,ST,T.C.K. Lotha,Indian National Congress,15906,RU,,,
Wokha,38,ST,John Lotha,Indian National Congress,26971,RU,,,
Sanis,39,ST,Thomas Ngullie,Indian National Congress,17203,RU,,,
Bhandari,40,ST,L. Yanthungo Patton,Indian National Congress,17049,RU,,,
Tizit,41,ST,Tingkup,Indian National Congress,13467,11849,88.0 %,247.0,2.1%
Wakching,42,ST,P. Enyei Konyak,Indian National Congress,11990,RU,,,
Tapi,43,ST,Bongnao,Indian National Congress,9655,RU,,,
Phomching,44,ST,Kongam,Indian National Congress,14785,RU,,,
Tehok,45,ST,W. Wongyuh Konyak,Indian National Congress,13156,RU,,,
Mon Town,46,ST,C.John,Independent,14409,13836,96.0 %,341.0,2.5%
Aboi,47,ST,Eyong Konyak,Indian National Congress,8122,7512,92.5 %,3495.0,46.5%
Moka,48,ST,Nyiamnyei Konyak,Indian National Congress,11921,RU,,,
Tamlu,49,ST,B.Phongshak Phom,Indian National Congress,27044,26985,99.8 %,3288.0,12.2%
Longleng,50,ST,Shami Angh,Independent,27325,26887,98.4 %,558.0,2.1%
Noksen,51,ST,H.Chuba Chang,Indian National Congress,6781,6685,98.6 %,2583.0,38.6%
Longkhim Chare,52,ST,S.K.Sangtam,Indian National Congress,13807,RU,,,
Tuensang Sadar-I,53,ST,P.Chuba Chang,Independent,14300,12452,87.1 %,1789.0,14.4%
Tuensang Sadar-Ii,54,ST,Kijong Chang,Indian National Congress,11139,8624,77.4 %,375.0,4.3%
Tobu,55,ST,Sheakpong Konyak,Indian National Congress,11383,RU,,,
Noklak,56,ST,Sedem Khaming,Indian National Congress,9936,RU,,,
Thonoknyu,57,ST,Shingnyu,Indian National Congress,10747,10084,93.8 %,571.0,5.7%
Shamtorr-Chessore,58,ST,K.Yamakam,Indian National Congress,13522,RU,,,
Siyuchong-Sitimi,59,ST,S.Sethricho,Indian National Congress,14635,14202,97.0 %,528.0,3.7%
Pungro-Kiphire,60,ST,R.L.Akamba,Indian National Congress,20495,RU,,,
