AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Karanjia,1,ST,Raghunath Hembram,Janata Party (SECULAR) - CH. CHARAN SINGH,76640,27486,35.9 %,475,1.7%
Jashipur,2,ST,Sundar Mohan Majhi,Indian National Congress (I),80076,23519,29.4 %,4329,18.4%
Bahalda,3,ST,Rama Chandra Hansdah,Indian National Congress (I),81315,22205,27.3 %,2241,10.1%
Rairangpur,4,ST,Sidhalal Murmu,Indian National Congress (I),82521,25260,30.6 %,4036,16.0%
Bangriposi,5,ST,Kangoi Singh,Indian National Congress (I),88082,26730,30.3 %,13506,50.5%
Kuliana,6,ST,Saraswati Hembram,Indian National Congress (I),85195,29851,35.0 %,2691,9.0%
Baripada,7,GEN,Prasanna Kumar Dash,Indian National Congress (I),93449,49800,53.3 %,1822,3.7%
Baisinga,8,ST,Kuanria Majhi,Indian National Congress (I),84484,34023,40.3 %,8236,24.2%
Khunta,9,ST,Ramesh Soren,Indian National Congress (I),90963,39165,43.1 %,13537,34.6%
Udala,10,ST,Rauaneswar Madhei,Indian National Congress (I),82569,32454,39.3 %,8721,26.9%
Bhograi,11,GEN,Kartikeswar Patra,Indian National Congress (I),98547,69330,70.4 %,2203,3.2%
Jaleswar,12,GEN,Gadadhar Giri,Janata Party (JP),109513,64969,59.3 %,8278,12.7%
Basta,13,GEN,Bhopal Chandra Mohapatra,Indian National Congress (I),89989,59194,65.8 %,17536,29.6%
Balasore,14,GEN,Arun Dey,Communist Party Of India,106936,54964,51.4 %,2617,4.8%
Soro,15,GEN,Pitambar Panda,Communist Party Of India,95868,52689,55.0 %,108,0.2%
Simulia,16,GEN,Parsuram Panigrahi,Janata Party (JP),89888,40852,45.4 %,2946,7.2%
Nilgiri,17,GEN,Akshaya Kumar Acharya,Indian National Congress (I),98801,54568,55.2 %,4684,8.6%
Bhandaripokhari,18,SC,Purusottam Sethi,Indian National Congress (I),86553,49104,56.7 %,9186,18.7%
Bhadrak,19,GEN,Jugal Kishore Pattanaik,Indian National Congress (I),97027,50895,52.5 %,9574,18.8%
Dhamnagar,20,GEN,Jagannath Rout,Indian National Congress (I),99459,62373,62.7 %,15959,25.6%
Chandbali,21,SC,Netrananda Mallick,Indian National Congress (I),106716,53117,49.8 %,9360,17.6%
Basudevpur,22,GEN,Jagabandhu Das,Indian National Congress (I),100831,65271,64.7 %,8608,13.2%
Sukinda,23,GEN,Sarat Rout,Indian National Congress (I),91727,54767,59.7 %,6922,12.6%
Korai,24,GEN,Ashok Kumar Das,Janata Party (SECULAR) - CH. CHARAN SINGH,99572,62371,62.6 %,11838,19.0%
Jajpur,25,SC,Niranjan Jena,Indian National Congress (I),102463,48156,47.0 %,6102,12.7%
Dharamsala,26,GEN,Kangali Panda,Independent,92529,55440,59.9 %,2132,3.8%
Barchana,27,GEN,Sitakanta Mohapatra,Indian National Congress (I),98407,65142,66.2 %,23211,35.6%
Bari-Derabisi,28,GEN,Srikanta Kumar Jena,Janata Party (SECULAR) - CH. CHARAN SINGH,94245,58747,62.3 %,9374,16.0%
Binjharpur,29,SC,Naba Kishore Mallik,Indian National Congress (I),96415,43829,45.5 %,2055,4.7%
Aul,30,GEN,Sarat Deb,Janata Party (SECULAR) - CH. CHARAN SINGH,100080,63597,63.5 %,2448,3.8%
Patamundai,31,SC,Biswanath Mallik,Indian National Congress (I),108415,38371,35.4 %,12242,31.9%
Rajnagar,32,GEN,Nalinikanta Mohanty,Janata Party (SECULAR) - CH. CHARAN SINGH,99774,68567,68.7 %,9642,14.1%
Kendrapara,33,GEN,Indramani Rout,Indian National Congress (I),91492,57356,62.7 %,3850,6.7%
Patkura,34,GEN,Biju Patnaik,Janata Party (SECULAR) - CH. CHARAN SINGH,106454,67168,63.1 %,17864,26.6%
Tirtol,35,GEN,Basant Kumar Biswal,Indian National Congress (I),107639,72330,67.2 %,7108,9.8%
Ersama,36,GEN,Damodar Rout,Janata Party (SECULAR) - CH. CHARAN SINGH,116148,79456,68.4 %,9689,12.2%
Balikuda,37,GEN,Basudev Mohapatra,Indian National Congress (I),97882,63997,65.4 %,14925,23.3%
Jagatsinghpur,38,SC,Krushna Chandra Mallik,Indian National Congress (I),105491,50288,47.7 %,8238,16.4%
Kissannagar,39,GEN,Surendranath Patnaik,Independent,96348,59338,61.6 %,4421,7.5%
Mahanga,40,GEN,Sk. Matlub Ali,Indian National Congress (I),88301,57313,64.9 %,3146,5.5%
Salepur,41,SC,Mayadhar Sethi,Indian National Congress (I),90193,49373,54.7 %,8514,17.2%
Gobindpur,42,GEN,Antarjyami Pradhan,Janata Party (SECULAR) - CH. CHARAN SINGH,102071,62451,61.2 %,4804,7.7%
Cuttack Sadar,43,GEN,Dolagobinda Pradhan,Indian National Congress (I),106716,55035,51.6 %,1587,2.9%
Cuttack City,44,GEN,Srikant Panda,Indian National Congress (I),137019,40157,29.3 %,10634,26.5%
Choudwar,45,GEN,Kanhu Charan Lanka,Indian National Congress (I),93745,60765,64.8 %,10594,17.4%
Banki,46,GEN,Akshaya Kumar Patnaik,Indian National Congress (I),97546,63421,65.0 %,10440,16.5%
Athgarh,47,GEN,Rasananda Sahoo,Indian National Congress (I),100242,52581,52.5 %,19864,37.8%
Baramba,48,GEN,Samir Kumar Routray,Indian National Congress (I),96660,57058,59.0 %,7855,13.8%
Balipatna,49,SC,Basanta Behera,Indian National Congress (I),87122,37307,42.8 %,6542,17.5%
Bhubaneswar,50,GEN,Rama Krushna Pati,Communist Party Of India,113755,51241,45.0 %,11777,23.0%
Jatni,51,GEN,Suresh Kumar Routray,Indian National Congress (I),89577,49772,55.6 %,23044,46.3%
Pipli,52,GEN,Bipin Das,Indian National Congress (I),95093,55498,58.4 %,6534,11.8%
Nimapara,53,SC,Rabindra Kumar Sethy,Indian National Congress (I),99864,62965,63.1 %,3335,5.3%
Kakatpur,54,GEN,Baikunthanath Swain,Indian National Congress (I),102335,71973,70.3 %,5041,7.0%
Satyabadi,55,GEN,Rabindra Kumar Das,Indian National Congress (I),95173,52919,55.6 %,15323,29.0%
Puri,56,GEN,Gadadhar Mishra,Indian National Congress (I),114006,50863,44.6 %,12110,23.8%
Brahmagiri,57,GEN,Gangadhar Mohapatra,Indian National Congress (I),98569,58047,58.9 %,8489,14.6%
Chilka,58,GEN,Debendranath Mansingh,Indian National Congress (I),103630,61518,59.4 %,8090,13.2%
Khurda,59,GEN,Prasanna Kumar Patsani,Indian National Congress (I),103682,56205,54.2 %,9754,17.4%
Begunia,60,GEN,Kailash Chandra Mohapatra,Indian National Congress (I),107921,61897,57.4 %,12054,19.5%
Ranpur,61,GEN,Ramakant Mishra,Indian National Congress (I),100296,61086,60.9 %,16138,26.4%
Nayagarh,62,GEN,Bansidhar Sahoo,Indian National Congress (I),90606,51282,56.6 %,13837,27.0%
Khandapara,63,GEN,Bibhuti Bhusan Singh Mardraj,Independent,89336,66113,74.0 %,16226,24.5%
Daspalla,64,GEN,Harihar Karan,Indian National Congress (I),86561,53440,61.7 %,8267,15.5%
Jaganathprasad,65,SC,Sribatcha Naik,Indian National Congress (I),96056,28807,30.0 %,10413,36.1%
Bhanjanagar,66,GEN,Somnath Rath,Indian National Congress (I),93794,54295,57.9 %,1013,1.9%
Suruda,67,GEN,Gantayat Swain,Indian National Congress (I),99857,54231,54.3 %,2422,4.5%
Aska,68,GEN,Raghaba Parida,Indian National Congress (I),87791,50013,57.0 %,3915,7.8%
Kavisuryanagar,69,GEN,Radha Govinda Sahu,Indian National Congress (I),108386,59216,54.6 %,7930,13.4%
Kodala,70,GEN,Kanhu Charan Naik,Indian National Congress (I),106622,59140,55.5 %,2400,4.1%
Khallikote,71,GEN,Trinath Samantary,Indian National Congress (I),103477,55232,53.4 %,11571,20.9%
Chatrapur,72,GEN,Biswanath Sahu,Communist Party Of India,99087,52479,53.0 %,9335,17.8%
Hinjili,73,GEN,Brundaban Nayak,Janata Party (SECULAR) - CH. CHARAN SINGH,101561,48494,47.7 %,2499,5.2%
Gopalpur,74,SC,Ghanashyam Behera,Indian National Congress (I),98142,44440,45.3 %,21766,49.0%
Berhampur,75,GEN,Krushna Charan Patnaik,Indian National Congress (I),105683,44370,42.0 %,16955,38.2%
Chikati,76,GEN,Chintamani Dyan Samatra,Independent,105183,58275,55.4 %,3460,5.9%
Mohana,77,GEN,Udaya Narayan Dev,Janata Party (SECULAR) - CH. CHARAN SINGH,93830,42999,45.8 %,2271,5.3%
Ramagiri,78,ST,Gorsanga Savara,Indian National Congress (I),82407,29744,36.1 %,1498,5.0%
Parlakhemundi,79,GEN,Bijoy Kumar Jena,Independent,95954,68929,71.8 %,2005,2.9%
Gunupur,80,ST,Bhagirathi Gamango,Indian National Congress (I),96345,34399,35.7 %,7086,20.6%
Bissam-Cuttack,81,ST,Dambarudhar Ulaka,Indian National Congress (I),86562,29426,34.0 %,14465,49.2%
Rayagada,82,ST,Ulaka Ramchandra,Indian National Congress (I),94171,31701,33.7 %,21125,66.6%
Lakshmipur,83,ST,Anantaram Majhi,Indian National Congress (I),80934,23670,29.2 %,7533,31.8%
Pottangi,84,ST,Chandrama Santa,Indian National Congress (I),91066,15242,16.7 %,5159,33.8%
Koraput,85,GEN,Nrusinghananda Brahma,Indian National Congress (I),90556,22464,24.8 %,2201,9.8%
Malkangiri,86,SC,Naka Laxmaya,Indian National Congress (I),70127,19645,28.0 %,613,3.1%
Chitrakonda,87,ST,Gangadhar Madi,Indian National Congress (I),76824,15004,19.5 %,4256,28.4%
Kotpad,88,ST,Basudev Majhi,Indian National Congress (I),88982,19945,22.4 %,9424,47.2%
Jeypore,89,GEN,Raghunath Patnaik,Indian National Congress (I),86381,35739,41.4 %,14992,41.9%
Nowrangpur,90,GEN,Habibulla Khan,Indian National Congress (I),79950,35001,43.8 %,19968,57.0%
Kodinga,91,ST,Domberu Majhi,Indian National Congress (I),82094,20817,25.4 %,7268,34.9%
Dabugam,92,ST,Phulamani Santa,Indian National Congress (I),88384,25109,28.4 %,1537,6.1%
Umarkote,93,ST,Parama Pujari,Indian National Congress (I),80988,26424,32.6 %,6941,26.3%
Nawapara,94,GEN,Bhanu Prakash Joshi,Indian National Congress (I),83635,42613,51.0 %,8128,19.1%
Khariar,95,GEN,Anup Singh Deo,Independent,80778,38031,47.1 %,3271,8.6%
Dharamgarh,96,SC,Gajanan Nayak,Indian National Congress (I),83989,28761,34.2 %,8254,28.7%
Koksara,97,GEN,Monmohan Mathur,Indian National Congress (I),81662,37338,45.7 %,4815,12.9%
Junagarh,98,GEN,Maheswar Barad,Indian National Congress (I),82410,35319,42.9 %,10341,29.3%
Bhawanipatna,99,SC,Dayanidhi Naik,Indian National Congress (I),88819,29558,33.3 %,15344,51.9%
Narla,100,ST,Tejraj Majhi,Indian National Congress (I),72268,19969,27.6 %,7553,37.8%
Kesinga,101,GEN,Bhupinder Singh,Indian National Congress (I),83084,45695,55.0 %,12724,27.8%
Balliguda,102,ST,Sahura Mallik,Indian National Congress (I),87376,32225,36.9 %,1082,3.4%
Udayagiri,103,ST,Nagarjun Pradhan,Indian National Congress (I),92354,29602,32.1 %,7788,26.3%
Phulbani,104,SC,Chandra Sekhar Behera,Indian National Congress (I),93682,27871,29.8 %,7213,25.9%
Boudh,105,GEN,Himanshu Sekhar Pandhi,Indian National Congress (I),102155,60371,59.1 %,11796,19.5%
Titilagarh,106,SC,Lalit Mohan Gandhi,Indian National Congress (I),88715,30093,33.9 %,12291,40.8%
Kantabanji,107,GEN,Prasanna Kumar Pal,Indian National Congress (I),78965,31959,40.5 %,9254,29.0%
Patnagarh,108,GEN,Brajamohan Thakur,Indian National Congress (I),87036,44005,50.6 %,8154,18.5%
Saintala,109,GEN,Ramesh Chandra Singh Bhoi,Indian National Congress (I),85090,29823,35.0 %,9189,30.8%
Loisingha,110,GEN,Balgopal Mishra,Independent,94562,49520,52.4 %,18220,36.8%
Bolangir,111,GEN,Mahammad Muzafar Hussain Khan,Indian National Congress (I),103060,41367,40.1 %,8225,19.9%
Sonepur,112,SC,Dhaneswar Kumbhar,Indian National Congress (I),103332,32181,31.1 %,15751,48.9%
Binka,113,GEN,Pradipt Hota,Indian National Congress (I),108143,53291,49.3 %,9692,18.2%
Birmaharajpur,114,GEN,Hrushikesh Hota,Indian National Congress (I),94331,38703,41.0 %,6356,16.4%
Athmallik,115,GEN,Bhajaman Behera,Indian National Congress (I),87652,45003,51.3 %,13000,28.9%
Angul,116,GEN,Santosh Kumar Pradhan,Indian National Congress (I),99007,54257,54.8 %,8258,15.2%
Hindol,117,SC,Trinath Nayak,Janata Party (SECULAR) - CH. CHARAN SINGH,89868,39849,44.3 %,280,0.7%
Dhenkanal,118,GEN,Nandini Satpathy,Indian National Congress (U),90208,44792,49.7 %,8821,19.7%
Gondia,119,GEN,Haladhar Mishra,Indian National Congress (U),87818,38739,44.1 %,3122,8.1%
Kamakhyanagar,120,GEN,Kailash Chandra Mohapatra,Indian National Congress (I),97646,44807,45.9 %,11341,25.3%
Pallahara,121,GEN,Bibhudhendra Pratap Das,Indian National Congress (I),99069,38808,39.2 %,8270,21.3%
Talcher,122,SC,Brundaban Bahera,Janata Party (JP),111175,41062,36.9 %,890,2.2%
Padampur,123,GEN,Satya Bhusan Sahu,Indian National Congress (I),95375,38252,40.1 %,5460,14.3%
Melchhamunda,124,GEN,Prakash Chandra Debata,Indian National Congress (I),95580,40561,42.4 %,13199,32.5%
Bijepur,125,GEN,Rajib Lochan Hota,Indian National Congress (I),106088,50786,47.9 %,11630,22.9%
Bhatli,126,SC,Mohan Nag,Indian National Congress (I),101234,41946,41.4 %,16651,39.7%
Bargarh,127,GEN,Jadumani Padhan,Indian National Congress (I),114407,48178,42.1 %,14041,29.1%
Sambalpur,128,GEN,Aswini Kumar Guru,Indian National Congress (I),122707,47246,38.5 %,21984,46.5%
Brajarajnagar,129,GEN,Upendra Dixit,Indian National Congress (I),95350,46884,49.2 %,8538,18.2%
Jharsuguda,130,GEN,Birendra Pandey,Indian National Congress (I),104617,47057,45.0 %,17900,38.0%
Laikera,131,ST,Hemananda Biswal,Indian National Congress (I),87520,32040,36.6 %,14542,45.4%
Kuchinda,132,ST,Jagateswar Mirdha,Indian National Congress (I),86655,25618,29.6 %,13975,54.6%
Rairakhol,133,SC,Abhimanyu Kumar,Indian National Congress (I),88830,27908,31.4 %,10243,36.7%
Deogarh,134,GEN,Aswini Kumar Behera,Indian National Congress (I),97741,38191,39.1 %,7999,20.9%
Sundargarh,135,GEN,Kishore Chandra Patal,Indian National Congress (I),88049,43861,49.8 %,25185,57.4%
Talsara,136,ST,Gajadhar Majhi,Indian National Congress (I),78143,31226,40.0 %,12144,38.9%
Rajgangpur,137,ST,Mukharam Naik,Indian National Congress (I),92161,34280,37.2 %,2306,6.7%
Biramitrapur,138,ST,Jumus Bilung,Indian National Congress (I),80828,23610,29.2 %,978,4.1%
Rourkela,139,GEN,Gurupada Nanda,Indian National Congress (I),130887,49060,37.5 %,9316,19.0%
Raghunathpali,140,ST,Nelson Soreng,Indian National Congress (I),87294,23984,27.5 %,2777,11.6%
Bonai,141,ST,Basanta Kumar Dandapat,Indian National Congress (I),80396,27907,34.7 %,4510,16.2%
Champua,142,ST,Saharei Oram,Janata Party (SECULAR) - CH. CHARAN SINGH,88430,38489,43.5 %,1446,3.8%
Patna,143,ST,Hrusikesh Naik,Janata Party (SECULAR) - CH. CHARAN SINGH,88341,27077,30.7 %,1089,4.0%
Keonjhar,144,ST,Jogendra Naik,Indian National Congress (I),91751,23342,25.4 %,3614,15.5%
Telkoi,145,ST,Chandrasen Nayak,Indian National Congress (I),96005,24573,25.6 %,7572,30.8%
Ramchandrapur,146,GEN,Niranjan Patnaik,Indian National Congress (I),93068,51706,55.6 %,10902,21.1%
Anandapur,147,SC,Jayadeb Jena,Indian National Congress (I),88053,37411,42.5 %,13373,35.7%
