AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Karanjia,1,ST,Raghunath Hembram,Janata Dal,109362,50691,46.4 %,13422,26.5%
Jashipur,2,ST,Mangal Singh Mudi,Janata Dal,106814,49078,45.9 %,4547,9.3%
Bahalda,3,ST,Khelaram Mahali,Independent,109908,48953,44.5 %,1476,3.0%
Rairangpur,4,ST,Chaitanya Prasad Majhi,Janata Dal,113289,51973,45.9 %,4906,9.4%
Bangriposi,5,ST,Sudam Chandra Marndi,Independent,117244,53104,45.3 %,3645,6.9%
Kuliana,6,ST,Kanhu Soren,Janata Dal,118830,54169,45.6 %,3946,7.3%
Baripada,7,GEN,Chhatish Chandra Dhal,Janata Dal,138989,84324,60.7 %,5779,6.9%
Baisinga,8,ST,Ananta Charan Majhi,Janata Dal,118957,63451,53.3 %,5781,9.1%
Khunta,9,ST,Bira Bhadra Singh,Janata Dal,125544,73343,58.4 %,14868,20.3%
Udala,10,ST,Rohidas Soren,Janata Dal,118205,58884,49.8 %,12511,21.2%
Bhograi,11,GEN,Kamala Das,Janata Dal,145045,102927,71.0 %,22842,22.2%
Jaleswar,12,GEN,Aswini Kumar Patra,Janata Dal,158785,108264,68.2 %,44027,40.7%
Basta,13,GEN,Raghunath Mohanty,Janata Dal,130632,91077,69.7 %,6802,7.5%
Balasore,14,GEN,Arun Dey,Communist Party Of India,172290,90907,52.8 %,70691,77.8%
Soro,15,GEN,Kartik Mohapatra,Indian National Congress,138605,91024,65.7 %,6002,6.6%
Simulia,16,GEN,Parsuram Panigrahi,Janata Dal,132493,82379,62.2 %,27492,33.4%
Nilgiri,17,GEN,Chittaranjan Sadangi,Independent,141198,94720,67.1 %,60,0.1%
Bhandaripokhari,18,SC,Arjun Charan Sethi,Janata Dal,123139,78959,64.1 %,36364,46.1%
Bhadrak,19,GEN,Prafulla Samal,Janata Dal,145378,95033,65.4 %,17146,18.0%
Dhamnagar,20,GEN,Hrudananda Malliki,Janata Dal,139697,94858,67.9 %,18236,19.2%
Chandbali,21,SC,Bairagi Jena,Janata Dal,151191,99548,65.8 %,17264,17.3%
Basudevpur,22,GEN,Bijoyshree Routray,Janata Dal,142190,101089,71.1 %,10211,10.1%
Sukinda,23,GEN,Prafulla Chandra Ghadai,Janata Dal,137501,101952,74.1 %,21976,21.6%
Korai,24,GEN,Ashok Kumar Das,Janata Dal,145955,97588,66.9 %,27508,28.2%
Jajpur,25,SC,Jagannath Mallik,Janata Dal,145406,89266,61.4 %,14167,15.9%
Dharamsala,26,GEN,Gurcharan Tikayat,Janata Dal,126739,89516,70.6 %,21415,23.9%
Barchana,27,GEN,Amar Prasad Satpathy,Janata Dal,140226,101776,72.6 %,15097,14.8%
Bari-Derabisi,28,GEN,Kulamoni Rout,Janata Dal,130302,85640,65.7 %,17796,20.8%
