AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Padampur,1,GEN,Bargarh,Bijaya Ranjan Singh Bariha,Biju Janata Dal,255427,199495,78.1 %,5734,2.9%
Bijepur,2,GEN,Bargarh,Naveen Patnaik,Biju Janata Dal,232175,183349,79.0 %,57122,31.2%
Bargarh,3,GEN,Bargarh,Debesh Acharya,Biju Janata Dal,221905,159850,72.0 %,8452,5.3%
Attabira,4,SC,Bargarh,Snehangini Chhuria,Biju Janata Dal,221466,169888,76.7 %,22396,13.2%
Bhatli,5,GEN,Bargarh,Susanta Singh,Biju Janata Dal,230717,184650,80.0 %,23232,12.6%
Brajarajnagar,6,GEN,Jharsuguda,Kishore Kumar Mohanty,Biju Janata Dal,211269,163158,77.2 %,11634,7.1%
Jharsuguda,7,GEN,Jharsuguda,Naba Kisore Das,Biju Janata Dal,223179,174747,78.3 %,45699,26.2%
Talsara,8,ST,Sundargarh,Bhabani Shankar Bhoi,Bharatiya Janta Party,206852,151834,73.4 %,16188,10.7%
Sundargarh,9,ST,Sundargarh,Kusum Tete,Bharatiya Janta Party,232006,172379,74.3 %,7364,4.3%
Biramitrapur,10,ST,Sundargarh,Shankar Oram,Bharatiya Janta Party,234545,174019,74.2 %,16351,9.4%
Raghunathpali,11,SC,Sundargarh,Subrat Tarai,Biju Janata Dal,178027,108369,60.9 %,4684,4.3%
Rourkela,12,GEN,Sundargarh,Sarada Prasad Nayak,Biju Janata Dal,206037,127826,62.0 %,10460,8.2%
Rajgangapur,13,ST,Sundargarh,C S Raazen Ekka,Indian National Congress,252960,173035,68.4 %,946,0.5%
Bonai,14,ST,Sundargarh,Laxman Munda,Communist Party Of India (Marxist),220973,170204,77.0 %,12030,7.1%
Kuchinda,15,ST,Sambalpur,Kishore Chandra Naik,Biju Janata Dal,216567,171258,79.1 %,3508,2.0%
Rengali,16,SC,Sambalpur,Nauri Nayak,Bharatiya Janta Party,194081,153252,79.0 %,6743,4.4%
Sambalpur,17,GEN,Sambalpur,Jaya Narayan Mishra,Bharatiya Janta Party,209881,127528,60.8 %,4380,3.4%
Rairakhol,18,GEN,Sambalpur,Rohit Pujari,Biju Janata Dal,199113,148799,74.7 %,14632,9.8%
Deogarh,19,GEN,Debagarh,Subash Chandra Panigrahi,Bharatiya Janta Party,239702,177750,74.2 %,7106,4.0%
Telkoi,20,ST,Kendujhar,Premananda Nayak,Biju Janata Dal,225361,172317,76.5 %,5920,3.4%
Ghasipura,21,GEN,Kendujhar,Badri Narayan Patra,Biju Janata Dal,220417,172131,78.1 %,32688,19.0%
Anandapur,22,SC,Kendujhar,Bhagirathi Sethy,Biju Janata Dal,226309,169400,74.9 %,44193,26.1%
Patna,23,ST,Kendujhar,Jagannath Naik,Biju Janata Dal,204457,159140,77.8 %,7796,4.9%
Keonjhar,24,ST,Kendujhar,Mohan Charan Majhi,Bharatiya Janta Party,226473,170659,75.4 %,1124,0.7%
Champua,25,GEN,Kendujhar,Minakshi Mahanta,Biju Janata Dal,226791,168101,74.1 %,26408,15.7%
Jashipur,26,ST,Mayurbhanj,Ganesh Ram Sing Khuntia,Bharatiya Janta Party,210008,158074,75.3 %,8552,5.4%
Saraskana,27,ST,Mayurbhanj,Dr. Budhan Murmu,Bharatiya Janta Party,204128,152978,74.9 %,6813,4.5%
Rairangpur,28,ST,Mayurbhanj,Naba Charan Majhi,Bharatiya Janta Party,234967,161124,68.6 %,2847,1.8%
Bangriposi,29,ST,Mayurbhanj,Sudam Marndi,Biju Janata Dal,210665,165887,78.7 %,11844,7.1%
Karanjia,30,ST,Mayurbhanj,Basanti Hembram,Biju Janata Dal,186745,138839,74.3 %,8763,6.3%
Udala,31,ST,Mayurbhanj,Bhaskar Madhei,Bharatiya Janta Party,192678,151036,78.4 %,1433,0.9%
Badasahi,32,SC,Mayurbhanj,Sanatan Bijuli,Bharatiya Janta Party,190166,145119,76.3 %,11119,7.7%
Baripada,33,ST,Mayurbhanj,Prakash Soren,Bharatiya Janta Party,216145,157903,73.1 %,19411,12.3%
Morada,34,GEN,Mayurbhanj,Rajkishore Das,Biju Janata Dal,224574,177773,79.2 %,6704,3.8%
Jaleswar,35,GEN,Baleshwar,Aswini Kumar Patra,Biju Janata Dal,237287,175661,74.0 %,35443,20.2%
Bhograi,36,GEN,Baleshwar,Ananta Das,Biju Janata Dal,226557,163628,72.2 %,16875,10.3%
Basta,37,GEN,Baleshwar,Nityananda Sahoo,Biju Janata Dal,226941,170516,75.1 %,11864,7.0%
Balasore,38,GEN,Baleshwar,Madan Mohan Dutta,Bharatiya Janta Party,223349,157645,70.6 %,13406,8.5%
Remuna,39,SC,Baleshwar,Sudhansu Sekhar Parida,Biju Janata Dal,223974,165493,73.9 %,4118,2.5%
