AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Muthialpet,1,GEN,G. Palaniraja,Dravida Munetra Kazhagam,19138,14608,76.3 %,1539,10.5%
Cassicade,2,GEN,P. Kannan,Indian National Congress,12312,8476,68.8 %,3752,44.3%
Raj Bhavan,3,GEN,L. Joseph Mariadoss,Indian National Congress,6764,4461,66.0 %,841,18.9%
Bussy,4,GEN,C. M. Achraff,Indian National Congress,6627,4213,63.6 %,697,16.5%
Oupalam,5,GEN,P. K. Loganathan,All India Anna Dravida Munnetra Kazhagam,13403,10121,75.5 %,858,8.5%
Orleampeth,6,GEN,M.A..S. Subramanian,All India Anna Dravida Munnetra Kazhagam,12821,12037,93.9 %,1556,12.9%
Nellithope,7,GEN,R.V.Janakiraman,Dravida Munetra Kazhagam,15108,10774,71.3 %,1036,9.6%
Modeliarpeth,8,GEN,V. Sabapathy Kothandaraman,Indian National Congress,17299,13388,77.4 %,386,2.9%
Ariankuppam,9,GEN,P. Purushothaman,All India Anna Dravida Munnetra Kazhagam,15726,12757,81.1 %,378,3.0%
Embalom,10,SC,K. Anbalagan,All India Anna Dravida Munnetra Kazhagam,11080,8952,80.8 %,182,2.0%
Nettapakkam,11,GEN,V. Vaithilingam,Indian National Congress,11622,9615,82.7 %,4369,45.4%
Kuruvinatham,12,GEN,R. Ramansthan,Dravida Munetra Kazhagam,12173,10449,85.8 %,846,8.1%
Bahour,13,SC,P. Uthiravelu,Janta Party,12237,10426,85.2 %,710,6.8%
Thirubuvanai,14,SC,S. Komala,Dravida Munetra Kazhagam,13529,10667,78.8 %,994,9.3%
Mannadipeth,15,GEN,D. Ramachandran,Dravida Munetra Kazhagam,13257,11436,86.3 %,1465,12.8%
Ossudu,16,SC,V. Nagarathinam,Indian National Congress,11656,9011,77.3 %,3925,43.6%
Villenour,17,GEN,R. Subraya Counder,Indian National Congress,13755,11024,80.1 %,509,4.6%
Ozhukarai,18,GEN,R. Somasundaram,All India Anna Dravida Munnetra Kazhagam,12963,10743,82.9 %,1301,12.1%
Thattanchavady,19,GEN,V. Pethaperumal,Janta Party,18729,14039,75.0 %,2302,16.4%
Reddiarpalayam,20,GEN,V. Balaji,Indian National Congress,19983,13996,70.0 %,3205,22.9%
Lawspet,21,GEN,M.O.H. Farook,Indian National Congress,18828,14748,78.3 %,3647,24.7%
Cotchery,22,GEN,N. Vengadasalam,Indian National Congress,12721,10424,81.9 %,1333,12.8%
Karaikal,23,GEN,V. Govindarajan,Indian National Congress,14651,9745,66.5 %,1113,11.4%
Karaikal South,24,GEN,S. Ramassamy,Independent,11196,8235,73.6 %,1415,17.2%
Neravy-Grand Aldee,25,GEN,V.M.C. Varada Pillai,All India Anna Dravida Munnetra Kazhagam,13125,10933,83.3 %,750,6.9%
Tirunallar,26,GEN,A. Sonudararengan,Independent,11616,9498,81.8 %,771,8.1%
Neduncadu,27,SC,M. Chandirakasu,Indian National Congress,11022,8751,79.4 %,3196,36.5%
Mahe,28,GEN,P.K. Sathyanandan,Indian National Congress,8509,6989,82.1 %,976,14.0%
Palloor,29,GEN,A.V. Sreedharan,Indian National Congress,8588,7005,81.6 %,1823,26.0%
Yanam,30,GEN,Kamichetty Sri Parassorama Varaprassada Rao Naidou,Indian National Congress,8034,7011,87.3 %,386,5.5%
