AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Mannadipet,1,GEN,Puducherry,T.P.R. Selvame,All India N.R. Congress,30697,27244,88.8 %,419,1.5%
Thirubhuvanai,2,SC,Puducherry,B. Kobiga,All India N.R. Congress,30418,26654,87.6 %,1432,5.4%
Oussudu,3,SC,Puducherry,E. Theeppainthan,Indian National Congress,28962,25885,89.4 %,2330,9.0%
Mangalam,4,GEN,Puducherry,S.V. Sugumaran,All India N.R. Congress,34819,30917,88.8 %,5563,18.0%
Villianur,5,GEN,Puducherry,A. Namassivayam,Indian National Congress,36748,31088,84.6 %,8281,26.6%
Ozhukarai,6,GEN,Puducherry,Mnr. Balan,Indian National Congress,37347,30259,81.0 %,7107,23.5%
Kadirgamam,7,GEN,Puducherry,N.S.J. Jayabal @ Ayyanar,All India N.R. Congress,33068,26116,79.0 %,3802,14.6%
Indira Nagar,8,GEN,Puducherry,N. Rangasamy,All India N.R. Congress,34502,28875,83.7 %,3404,11.8%
Thattanchavady,9,GEN,Puducherry,Ashok Anand,All India N.R. Congress,30532,22740,74.5 %,7458,32.8%
Kamaraj Nagar,10,GEN,Puducherry,Ve. Vaithilingam,Indian National Congress,33297,25075,75.3 %,5106,20.4%
Lawspet,11,GEN,Puducherry,V.P. Sivakolundhu,Indian National Congress,30911,25345,82.0 %,6449,25.4%
Kalapet,12,GEN,Puducherry,M.O.H.F. Shahjahan,Indian National Congress,31994,27665,86.5 %,634,2.3%
Muthialpet,13,GEN,Puducherry,Vaiyapuri Manikandan,All India Anna Dravida Munnetra Kazhagam,28847,23060,79.9 %,2164,9.4%
Raj Bhavan,14,GEN,Puducherry,K. Lakshminarayanan,Indian National Congress,25710,19510,75.9 %,2225,11.4%
Oupalam,15,GEN,Puducherry,A. Anbalagan,All India Anna Dravida Munnetra Kazhagam,26889,23147,86.1 %,908,3.9%
Orleampeth,16,GEN,Puducherry,R. Siva,Dravida Munetra Kazhagam,24268,20248,83.4 %,2980,14.7%
Nellithope,17,GEN,Puducherry,A. Johnkumar,Indian National Congress,31362,26365,84.1 %,12141,46.0%
Mudaliarpet,18,GEN,Puducherry,A. Baskar,All India Anna Dravida Munnetra Kazhagam,33296,27882,83.7 %,5387,19.3%
Ariankuppam,19,GEN,Puducherry,T. Djeamourthy,Indian National Congress,35829,30499,85.1 %,6571,21.5%
Manavely,20,GEN,Puducherry,R.K.R. Anantharaman,Indian National Congress,31240,26967,86.3 %,2715,10.1%
Embalam,21,SC,Puducherry,Candassamy M.,Indian National Congress,31374,28335,90.3 %,11200,39.5%
Nettapakkam,22,SC,Puducherry,Vizeaveny V.,Indian National Congress,30656,26839,87.5 %,1468,5.5%
Bahour,23,GEN,Puducherry,Danavelou N.,Indian National Congress,27917,24512,87.8 %,2807,11.5%
Nedungadu,24,SC,Karaikal,Chandirapriyanga,All India N.R. Congress,30611,25047,81.8 %,1094,4.4%
Thirunallar,25,GEN,Karaikal,R. Kamalakkannan,Indian National Congress,30136,25378,84.2 %,2875,11.3%
Karaikal North,26,GEN,Karaikal,P.R.N. Thirumurugan,All India N.R. Congress,32654,26196,80.2 %,3298,12.6%
Karaikal South,27,GEN,Karaikal,K.A.U. Asana,All India Anna Dravida Munnetra Kazhagam,31279,23451,75.0 %,20,0.1%
Neravy T.R. Pattinam,28,GEN,Karaikal,A.Geetha,Dravida Munetra Kazhagam,29367,24679,84.0 %,6936,28.1%
Mahe,29,GEN,Mahe,Dr. V.Ramachandran,Independent,30113,23370,77.6 %,2139,9.2%
Yanam,30,GEN,Yanam,Malladi Krishna Rao,Indian National Congress,36555,33755,92.3 %,8754,25.9%
