AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Fatehgarh,1,GEN,Sukhjinder Singh,Indian National Congress,125585,87264,69.5 %,7452,8.5%
Batala,2,GEN,Ashwani,Indian National Congress,127736,85051,66.6 %,13528,15.9%
Qadian,3,GEN,Tript Rajinder Singh,Indian National Congress,127802,90989,71.2 %,6954,7.6%
Srihargobindpur,4,GEN,Capt. Balbir Singh Bath,Shiromani Akali Dal,85301,67451,79.1 %,11499,17.0%
Kahnuwan,5,GEN,Partap Singh Bajwa,Indian National Congress,122597,85202,69.5 %,6805,8.0%
Dhariwal,6,GEN,Sucha Singh Chhotepur,Independent,114961,82172,71.5 %,80,0.1%
Gurdaspur,7,GEN,Khushhal Bahl,Indian National Congress,122199,80107,65.6 %,11691,14.6%
Dina Nagar,8,SC,Aruna,Indian National Congress,121276,77125,63.6 %,2682,3.5%
Narot Mehra,9,SC,Rumal Chand,Indian National Congress,106780,71822,67.3 %,10513,14.6%
Pathankot,10,GEN,Ashok Sharma,Indian National Congress,122943,79184,64.4 %,17364,21.9%
Sujanpur,11,GEN,Raghunath Sahai Puri,Indian National Congress,127231,84947,66.8 %,18244,21.5%
Beas,12,GEN,Jasbir Singh Gill (Dimpa),Indian National Congress,143643,90555,63.0 %,6450,7.1%
Majitha,13,GEN,Swinder Singh,Indian National Congress,117845,83142,70.6 %,2198,2.6%
Verka,14,SC,Raj Kumar,Indian National Congress,176966,93627,52.9 %,9390,10.0%
Jandiala,15,SC,Sardul Singh,Indian National Congress,149793,87688,58.5 %,7733,8.8%
Amritsar North,16,GEN,Jugal Kishore Sharma,Indian National Congress,127378,57054,44.8 %,14756,25.9%
Amritsar West,17,GEN,Om Parkash Soni,Independent,210646,102814,48.8 %,23540,22.9%
Amritsar Central,18,GEN,Darbari Lal,Indian National Congress,84706,44163,52.1 %,6171,14.0%
Amritsar South,19,GEN,Harjinder Singh Thekedar,Indian National Congress,127287,63345,49.8 %,4090,6.5%
Ajnala,20,GEN,Dr. Rattan Singh,Shiromani Akali Dal,146442,102308,69.9 %,356,0.3%
Raja Sansi,21,GEN,Vir Singh Lopoke,Shiromani Akali Dal,118264,85543,72.3 %,3453,4.0%
Attari,22,SC,Gulzar Singh Ranike,Shiromani Akali Dal,109868,69535,63.3 %,24219,34.8%
Tarn Taran,23,GEN,Harmeet Singh Sandhu,Independent,125462,78964,62.9 %,6219,7.9%
Khadoor Sahib,24,SC,Manjit Singh,Shiromani Akali Dal,117053,69553,59.4 %,22710,32.7%
Naushahra Panwan,25,GEN,Ranjit Singh,Shiromani Akali Dal,109736,68874,62.8 %,5934,8.6%
Patti,26,GEN,Adesh Partap Singh Kairon,Shiromani Akali Dal,131423,81375,61.9 %,21379,26.3%
Valtoha,27,GEN,Gurchet Singh,Indian National Congress,111394,77441,69.5 %,4945,6.4%
Adampur,28,GEN,Kanwaljit Singh Lally,Indian National Congress,132175,82511,62.4 %,7376,8.9%
Jullundur Cantonment,29,GEN,Gurkanwal Kaur,Indian National Congress,130687,66332,50.8 %,10853,16.4%
Jullundur North,30,GEN,Avtar Henry,Indian National Congress,127726,64900,50.8 %,22367,34.5%
Jullundur Central,31,GEN,Raj Kumar Gupta,Indian National Congress,127437,63195,49.6 %,7711,12.2%
Jullundur South,32,SC,Mohinder Singh Kaypee,Indian National Congress,142784,81968,57.4 %,10823,13.2%
Kartarpur,33,SC,Chaudhry Jagjit Singh,Indian National Congress,129289,86211,66.7 %,4123,4.8%
Lohian,34,GEN,Ajit Singh Kohar,Shiromani Akali Dal,142196,97619,68.7 %,5175,5.3%
Nakodar,35,GEN,Amarjit Singh Samra,Indian National Congress,132533,85302,64.4 %,9467,11.1%
Nur Mahal,36,GEN,Gurbinder Singh Atwal,Indian National Congress,122737,87213,71.1 %,9279,10.6%
Banga,37,SC,Tarlochan Singh,Indian National Congress,113739,79245,69.7 %,3655,4.6%
Nawan Shahr,38,GEN,Parkash Singh,Indian National Congress,144358,101179,70.1 %,5346,5.3%
Phillaur,39,SC,Santokh Singh Choudhary,Indian National Congress,123541,86784,70.2 %,4655,5.4%
Bholath,40,GEN,Jagir Kaur,Shiromani Akali Dal,115283,75844,65.8 %,11378,15.0%
Kapurthala,41,GEN,Rana Gurjeet Singh,Indian National Congress,114776,71785,62.5 %,10125,14.1%
Sultanpur,42,GEN,Upinderjit Kaur,Shiromani Akali Dal,121865,81820,67.1 %,5514,6.7%
Phagwara,43,SC,Joginder Singh,Indian National Congress,148600,87321,58.8 %,1186,1.4%
Balachaur,44,GEN,Nand Lal,Shiromani Akali Dal,116042,80450,69.3 %,10343,12.9%
Garhshankar,45,GEN,Avinash Rai Khanna,Bharatiya Janta Party,109897,73955,67.3 %,6175,8.3%
Mahilpur,46,SC,Sohan Singh Thandal,Shiromani Akali Dal,98524,64943,65.9 %,9280,14.3%
Hoshiarpur,47,GEN,Tikshan Sud,Bharatiya Janta Party,137551,74223,54.0 %,308,0.4%
Sham Chaurasi,48,SC,Ram Lubhaya,Indian National Congress,122995,78271,63.6 %,1481,1.9%
Tanda,49,GEN,Balbir Singh,Shiromani Akali Dal,120646,79909,66.2 %,2526,3.2%
Garhdiwala,50,SC,Des Raj,Shiromani Akali Dal,121865,70507,57.9 %,7901,11.2%
Dasuya,51,GEN,Ramesh Chander,Indian National Congress,116420,77873,66.9 %,12083,15.5%
Mukerian,52,GEN,Dr. Kewal Krishan,Indian National Congress,131503,94445,71.8 %,9063,9.6%
Jagraon,53,GEN,Bhag Singh Mallah,Shiromani Akali Dal,142526,92025,64.6 %,1557,1.7%
Raikot,54,GEN,Ranjit Singh Talwandi,Shiromani Akali Dal,133627,90329,67.6 %,6399,7.1%
Dakha,55,SC,Malkiat Singh Dakha,Indian National Congress,227264,117306,51.6 %,8726,7.4%
Qila Raipur,56,GEN,Jagdish Singh Gurcha,Shiromani Akali Dal,128815,87823,68.2 %,6579,7.5%
Ludhiana North,57,GEN,Rakesh Pandey,Indian National Congress,140510,64137,45.6 %,22872,35.7%
Ludhiana West,58,GEN,Harnam Dass Johar,Indian National Congress,155642,68123,43.8 %,16600,24.4%
Ludhiana East,59,GEN,Surinder Kumar Dawar,Indian National Congress,116255,53591,46.1 %,13249,24.7%
Ludhiana Rural,60,GEN,Malkit Singh Birmi,Indian National Congress,354861,150986,42.5 %,30103,19.9%
Payal,61,GEN,Tej Parkash Singh,Indian National Congress,125925,86451,68.7 %,7601,8.8%
