AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sujanpur,1,GEN,Gurdaspur,Dinesh Singh,Bharatiya Janta Party,141826,110978,78.2 %,23096,20.8%
Bhoa,2,SC,Gurdaspur,Seema Kumari,Bharatiya Janta Party,149662,108512,72.5 %,12148,11.2%
Pathankot,3,GEN,Gurdaspur,Ashwani Kumar Sharma,Bharatiya Janta Party,129254,94742,73.3 %,17856,18.8%
Gurdaspur,4,GEN,Gurdaspur,Gurbachan Singh Babbehali,Shiromani Akali Dal,138379,104629,75.6 %,21570,20.6%
Dina Nagar,5,SC,Gurdaspur,Aruna Chaudhary,Indian National Congress,165240,124717,75.5 %,12927,10.4%
Qadian,6,GEN,Gurdaspur,Charanjit Kaur Bajwa,Indian National Congress,159451,122276,76.7 %,16156,13.2%
Batala,7,GEN,Gurdaspur,Ashwani Sekhri,Indian National Congress,161687,119965,74.2 %,18885,15.7%
Sri Hargobindpur,8,SC,Gurdaspur,Desrajdhugga,Shiromani Akali Dal,152256,113966,74.9 %,7437,6.5%
Fatehgarh Churian,9,GEN,Gurdaspur,Tripat Rajinder Singh Bajwa,Indian National Congress,142131,115031,80.9 %,639,0.6%
Dera Baba Nanak,10,GEN,Gurdaspur,Sukhjinder Singh,Indian National Congress,161695,132011,81.6 %,2940,2.2%
Ajnala,11,GEN,Amritsar,Bonny Amarpal Singh Ajnala,Shiromani Akali Dal,137371,115607,84.2 %,1235,1.1%
Raja Sansi,12,GEN,Amritsar,Sukhbinder Singh Sarkaria,Indian National Congress,154793,127671,82.5 %,1084,0.8%
Majitha,13,GEN,Amritsar,Bikram Singh Majithia,Shiromani Akali Dal,140788,115266,81.9 %,47581,41.3%
Jandiala,14,SC,Amritsar,Baljit Singh Jalal Usma,Shiromani Akali Dal,152999,113782,74.4 %,7290,6.4%
Amritsar North,15,GEN,Amritsar,Anil Joshi,Bharatiya Janta Party,163069,111603,68.4 %,16980,15.2%
Amritsar West,16,SC,Amritsar,Raj Kumar,Indian National Congress,165659,95434,57.6 %,11591,12.1%
Amritsar Central,17,GEN,Amritsar,Om Parkash Soni,Indian National Congress,132779,85602,64.5 %,12797,14.9%
Amritsar East,18,GEN,Amritsar,Navjot Sidhu,Bharatiya Janta Party,138873,92024,66.3 %,7099,7.7%
Amritsar South,19,GEN,Amritsar,Inderbir Singh Bolaria,Shiromani Akali Dal,143500,91308,63.6 %,15056,16.5%
Attari,20,SC,Amritsar,Gulzar Singh Ranike,Shiromani Akali Dal,148352,112340,75.7 %,4983,4.4%
Tarn Taran,21,GEN,Amritsar,Harmeet Singh Sandhu,Shiromani Akali Dal,155837,120146,77.1 %,4621,3.8%
Khem Karan,22,GEN,Amritsar,Virsa Singh,Shiromani Akali Dal,180145,148000,82.2 %,13102,8.9%
Patti,23,GEN,Amritsar,Adesh Partap Singh Kairon,Shiromani Akali Dal,172305,134784,78.2 %,59,0.0%
Khadoor Sahib,24,GEN,Amritsar,Ramanjit Singh Sikki,Indian National Congress,169720,137047,80.7 %,3054,2.2%
Baba Bakala,25,SC,Amritsar,Manjit Singh Manna Mianwind,Shiromani Akali Dal,163693,119408,72.9 %,29225,24.5%
Bholath,26,GEN,Kapurthala,Bibi Jagir Kaur,Shiromani Akali Dal,118413,96178,81.2 %,7005,7.3%
Kapurthala,27,GEN,Kapurthala,Rana Gurjit Singh,Indian National Congress,121375,98006,80.7 %,14482,14.8%
Sultanpur Lodhi,28,GEN,Kapurthala,Navtej Singh,Indian National Congress,122525,99171,80.9 %,4298,4.3%
Phagwara,29,SC,Kapurthala,Som Parkash,Bharatiya Janta Party,151419,112860,74.5 %,14579,12.9%
Phillaur,30,SC,Jalandhar,Avinash Chander,Shiromani Akali Dal,180280,141561,78.5 %,31,0.0%
Nakodar,31,GEN,Jalandhar,Gurpartap Singh Wadala,Shiromani Akali Dal,168599,138252,82.0 %,8592,6.2%
Shahkot,32,GEN,Jalandhar,Ajit Singh Kohar,Shiromani Akali Dal,154255,123697,80.2 %,5435,4.4%
Kartarpur,33,SC,Jalandhar,Sarwan Singh,Shiromani Akali Dal,149037,115645,77.6 %,823,0.7%
Jalandhar West,34,SC,Jalandhar,Chuni Lal Bhagat,Bharatiya Janta Party,136523,93891,68.8 %,11343,12.1%
Jalandhar Central,35,GEN,Jalandhar,Manoranjan Kalia,Bharatiya Janta Party,141433,97457,68.9 %,1065,1.1%
Jalandhar North,36,GEN,Jalandhar,K.D.Bhandari,Bharatiya Janta Party,154382,116262,75.3 %,1703,1.5%
Jalandhar Cantt.,37,GEN,Jalandhar,Pargat Singh,Shiromani Akali Dal,162146,114762,70.8 %,6798,5.9%
Adampur,38,SC,Jalandhar,Pawan Kumar Tinu,Shiromani Akali Dal,144132,109813,76.2 %,19306,17.6%
Mukerian,39,GEN,Hoshiarpur,Rajnish Kumar,Independent,161778,124057,76.7 %,12119,9.8%
Dasuya,40,GEN,Hoshiarpur,Amarjit Singh,Bharatiya Janta Party,161620,121977,75.5 %,6223,5.1%
Urmar,41,GEN,Hoshiarpur,Sangat Singh,Indian National Congress,152221,115990,76.2 %,5529,4.8%
Sham Chaurasi,42,SC,Hoshiarpur,Mohinder Kaur Josh,Shiromani Akali Dal,148622,112202,75.5 %,5306,4.7%
Hoshiarpur,43,GEN,Hoshiarpur,Sunder Sham Arora,Indian National Congress,151428,108656,71.8 %,6208,5.7%
Chabbewal,44,SC,Hoshiarpur,Sohan Singh Thandal,Shiromani Akali Dal,138144,105514,76.4 %,6246,5.9%
Garhshankar,45,GEN,Hoshiarpur,Surinder Singh Bhulewal Rathan,Shiromani Akali Dal,151642,113734,75.0 %,6293,5.5%
Banga,46,SC,Shahid Bhagat Singh Nagar,Tarlochan Singh,Indian National Congress,142296,113699,79.9 %,3215,2.8%
Nawan Shahr,47,GEN,Shahid Bhagat Singh Nagar,Guriqbal Kaur,Indian National Congress,146633,117192,79.9 %,1759,1.5%
Balachaur,48,GEN,Shahid Bhagat Singh Nagar,Nand Lal,Shiromani Akali Dal,130076,102566,78.9 %,14857,14.5%
Anandpur Sahib,49,GEN,Rupnagar,Madan Mohan Mittal,Bharatiya Janta Party,170054,127368,74.9 %,7886,6.2%
Rupnagar,50,GEN,Rupnagar,Dr. Daljit Singh Cheema,Shiromani Akali Dal,148365,114754,77.3 %,8882,7.7%
Chamkaur Sahib,51,SC,Rupnagar,Charanjit Singh Channi,Indian National Congress,164790,132426,80.4 %,3659,2.8%
Kharar,52,GEN,Rupnagar,Jagmohan Singh,Indian National Congress,173220,133592,77.1 %,6779,5.1%
S.A.S. Nagar,53,GEN,Rupnagar,Balbir Singh Sidhu,Indian National Congress,176575,124678,70.6 %,16756,13.4%
Bassi Pathana,54,SC,Fatehgarh Sahib,Justice Nirmal Singh,Shiromani Akali Dal,128927,101300,78.6 %,11509,11.4%
Fatehgarh Sahib,55,GEN,Fatehgarh Sahib,Kuljit Singh Nagra,Indian National Congress,131717,111529,84.7 %,3538,3.2%
Amloh,56,GEN,Fatehgarh Sahib,Randeep Singh,Indian National Congress,113952,93266,81.8 %,2528,2.7%
Khanna,57,GEN,Ludhiana,Gurkirat Singh,Indian National Congress,144858,117428,81.1 %,7278,6.2%
Samrala,58,GEN,Ludhiana,Amrik Singh,Indian National Congress,150978,122589,81.2 %,8950,7.3%
Sahnewal,59,GEN,Ludhiana,Sharanjit Singh Dhillon,Shiromani Akali Dal,169271,133944,79.1 %,21219,15.8%
Ludhiana East,60,GEN,Ludhiana,Ranjit Singh Dhillon,Shiromani Akali Dal,149566,107487,71.9 %,4571,4.3%
Ludhiana South,61,GEN,Ludhiana,Balwinder Singh Bains,Independent,128103,88816,69.3 %,32233,36.3%
Atam Nagar,62,GEN,Ludhiana,Simarjit Singh Bains,Independent,138982,97512,70.2 %,28503,29.2%
Ludhiana Central,63,GEN,Ludhiana,Surinder Kumar Dawar,Indian National Congress,134915,97266,72.1 %,7196,7.4%
Ludhiana West,64,GEN,Ludhiana,Bharat Bhushan Ashu,Indian National Congress,157934,110061,69.7 %,35922,32.6%
Ludhiana North,65,GEN,Ludhiana,Rakesh Pandey,Indian National Congress,161310,111194,68.9 %,2168,1.9%
Gill,66,SC,Ludhiana,Darshan Singh Shivalik,Shiromani Akali Dal,194331,148741,76.5 %,5317,3.6%
Payal,67,SC,Ludhiana,Charanjit Singh Atwal,Shiromani Akali Dal,145310,120158,82.7 %,630,0.5%
Dakha,68,GEN,Ludhiana,Manpreet Singh Ayali,Shiromani Akali Dal,163484,138356,84.6 %,16388,11.8%
Raikot,69,SC,Ludhiana,Gurcharan Singh,Indian National Congress,137398,107977,78.6 %,3893,3.6%
Jagraon,70,SC,Ludhiana,Srkaler,Shiromani Akali Dal,159413,121950,76.5 %,206,0.2%
Nihal Singh Wala,71,SC,Moga,Rajwinder Kaur,Shiromani Akali Dal,177567,138675,78.1 %,591,0.4%
Bhagha Purana,72,GEN,Moga,Maheshinder Singh,Shiromani Akali Dal,152540,128829,84.5 %,10574,8.2%
Moga,73,GEN,Moga,Joginder Pal Jain,Indian National Congress,174223,134065,77.0 %,4625,3.4%
Dharamkot,74,GEN,Moga,Tota Singh,Shiromani Akali Dal,158791,132972,83.7 %,4255,3.2%
Zira,75,GEN,Firozpur,Hari Singh,Shiromani Akali Dal,161910,136572,84.4 %,11967,8.8%
Firozpur City,76,GEN,Firozpur,Parminder Singh Pinki,Indian National Congress,154164,114903,74.5 %,21353,18.6%
Firozpur Rural,77,SC,Firozpur,Joginder Singh Alias Jindu,Shiromani Akali Dal,160447,136196,84.9 %,162,0.1%
Guru Har Sahai,78,GEN,Firozpur,Gurmeet Singh Sodhi,Indian National Congress,141074,126812,89.9 %,3249,2.6%
Jalalabad,79,GEN,Firozpur,Sukhbir Singh Badal,Shiromani Akali Dal,171689,149395,87.0 %,50246,33.6%
Fazilka,80,GEN,Firozpur,Surjit Kumar Jyani,Bharatiya Janta Party,146693,126300,86.1 %,1692,1.3%
Abohar,81,GEN,Firozpur,Sunil Kumar Jakhar,Indian National Congress,146602,114869,78.4 %,9788,8.5%
Balluana,82,SC,Firozpur,Gurtej Singh Ghuriana,Shiromani Akali Dal,156995,129013,82.2 %,8227,6.4%
Lambi,83,GEN,Muktsar,Parkash Singh Badal,Shiromani Akali Dal,139675,122064,87.4 %,24739,20.3%
Gidderbaha,84,GEN,Muktsar,Amrinder Singh Raja Warring,Indian National Congress,140131,124523,88.9 %,13652,11.0%
Malout,85,SC,Muktsar,Harpreet Singh,Shiromani Akali Dal,150682,124810,82.8 %,2554,2.0%
