AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Bhadra,1,GEN,Gyan Singh,Indian National Congress (I),95748,65039,67.9 %,11660,17.9%
Nohar,2,GEN,Laxmi Narain,Indian National Congress (I),100868,60135,59.6 %,2681,4.5%
Tibi,3,SC,Peeru Ram,Indian National Congress (I),100269,47896,47.8 %,7262,15.2%
Hanumangarh,4,GEN,Atam Ram,Indian National Congress (I),94871,54695,57.7 %,7835,14.3%
Sangaria,5,GEN,Mahinder Singh,Indian National Congress (I),108006,68458,63.4 %,13324,19.5%
Ganganagar,6,GEN,Radhe Shyam S/o Hardayal,Indian National Congress (I),86721,50820,58.6 %,8762,17.2%
Kesrisinghpur,7,SC,Manfool Ram,Indian National Congress (I),81787,43025,52.6 %,10984,25.5%
Karanpur,8,GEN,Jagtar Singh,Indian National Congress (I),82735,59643,72.1 %,8017,13.4%
Raisinghnagar,9,SC,Dula Ram,Indian National Congress (I),103350,64278,62.2 %,8941,13.9%
Pilibanga,10,GEN,Jiv Raj Singh,Indian National Congress (I),97741,61900,63.3 %,16453,26.6%
Suratgarh,11,GEN,Sunil Kumar Bishnoi,Indian National Congress (I),142185,72627,51.1 %,20521,28.3%
Lunkaransar,12,GEN,Malu Ram Legha,Indian National Congress (I),129572,62779,48.5 %,7410,11.8%
Bikaner,13,GEN,Bulki Dass,Indian National Congress (I),106342,63457,59.7 %,1855,2.9%
Kolayat,14,GEN,Devi Singh,Janata Party (JP),130997,70740,54.0 %,1903,2.7%
Nokha,15,SC,Suraja Ram,Indian National Congress (I),109293,43452,39.8 %,2275,5.2%
Dungargarh,16,GEN,Rawat Ram,Indian National Congress (I),100992,60169,59.6 %,634,1.1%
Sujangarh,17,SC,Bhanwar Lal,Independent,100481,49787,49.5 %,7315,14.7%
Ratangarh,18,GEN,Jaidev Prasad,Indian National Congress (I),85809,48267,56.2 %,3790,7.9%
Sardarshahar,19,GEN,Mohan Lal,Bharatiya Janta Party,101431,64889,64.0 %,234,0.4%
Churu,20,GEN,Bhalu Khan,Indian National Congress (I),91253,53819,59.0 %,5513,10.2%
Taranagar,21,GEN,Chandan Mal Baid,Indian National Congress (I),86169,57805,67.1 %,10075,17.4%
Sadulpur,22,GEN,Deepchand S/o Asha Ram,Independent,87221,58487,67.1 %,4686,8.0%
Pilani,23,GEN,Hajari Lal,Janata Party (JP),95943,56348,58.7 %,9316,16.5%
Surajgarh,24,SC,Sundar Lal,Independent,104417,53573,51.3 %,5718,10.7%
Khetri,25,GEN,Mala Ram,Bharatiya Janta Party,89088,49625,55.7 %,11363,22.9%
Gudha,26,GEN,Virendra Pratap Singh,Janata Party (JP),97052,58162,59.9 %,286,0.5%
Nawalgarh,27,GEN,Bhanwar Singh,Indian National Congress (I),107799,61264,56.8 %,168,0.3%
Jhunjhunu,28,GEN,Shish Ram Ola,Indian National Congress (I),101451,60399,59.5 %,7430,12.3%
Mandawa,29,GEN,Lachhu Ram,Janata Party (SECULAR) - CH. CHARAN SINGH,99811,57409,57.5 %,1593,2.8%
Fatehpur,30,GEN,Trilok Singh,Communist Party Of India (MARXIST),95913,58710,61.2 %,8996,15.3%
Lachhmangarh,31,SC,Paras Ram,Indian National Congress (I),103121,55486,53.8 %,2477,4.5%
Sikar,32,GEN,Ghan Shyam Tiwadi,Bharatiya Janta Party,101717,54473,53.6 %,3820,7.0%
Dhod,33,GEN,Ram Deo Singh,Indian National Congress (I),94892,59436,62.6 %,13189,22.2%
Danta - Ramgarh,34,GEN,Narayan Singh,Indian National Congress (I),97719,60432,61.8 %,1461,2.4%
Srimadhopur,35,GEN,Deependra Singh,Indian National Congress (I),95824,55299,57.7 %,8091,14.6%
Khandela,36,GEN,Mahadeo Singh,Indian National Congress (I),92477,55212,59.7 %,3921,7.1%
Neem-Ka-Thana,37,GEN,Mohan Lal,Independent,99131,55260,55.7 %,1944,3.5%
Chomu,38,GEN,Tejpal,Indian National Congress (I),92093,46700,50.7 %,732,1.6%
Amber,39,GEN,Pushpa,Bharatiya Janta Party,98845,44904,45.4 %,4717,10.5%
Jaipur Rural,40,GEN,Ujala Arora,Bharatiya Janta Party,86093,47001,54.6 %,5785,12.3%
Hawamahal,41,GEN,Bhanwar Lal,Bharatiya Janta Party,90739,45705,50.4 %,16431,36.0%
Johribazar,42,GEN,Taki Uddin,Indian National Congress (I),125778,58014,46.1 %,1635,2.8%
Kishanpole,43,GEN,Shri Ram Gotewala,Indian National Congress (I),129903,65194,50.2 %,428,0.7%
Bani Park,44,GEN,Shiv Ram Sharma,Indian National Congress (I),113539,56737,50.0 %,1530,2.7%
Phulera,45,GEN,Hari Singh,Indian National Congress (I),97073,49739,51.2 %,5218,10.5%
Dudu,46,SC,C.L. Kanwaria,Indian National Congress (I),88962,36629,41.2 %,4369,11.9%
Sanganer,47,GEN,Vidya Pathak,Bharatiya Janta Party,83438,43011,51.5 %,2177,5.1%
Phagi,48,SC,Ram Kanwar Bairwa,Janata Party (JP),84330,40421,47.9 %,5242,13.0%
Lalsot,49,ST,Ram Sahai Sonad,Indian National Congress (I),82275,46804,56.9 %,4027,8.6%
Sikrai,50,ST,Ram Kishore Meena,Bharatiya Janta Party,83714,40238,48.1 %,3577,8.9%
Bandikui,51,GEN,Nathu Singh,Bharatiya Janta Party,90406,49730,55.0 %,3730,7.5%
Dausa,52,SC,Sohan Lal Bansiwal,Bharatiya Janta Party,82909,44689,53.9 %,3501,7.8%
Bassi,53,GEN,Jagdish Prasad Tiwari,Indian National Congress (I),87110,47610,54.7 %,7349,15.4%
Jamwa Ramgarh,54,GEN,Vaid Bhairu Lal Bhardwaj,Indian National Congress (I),82033,39312,47.9 %,1833,4.7%
Bairath,55,GEN,Kamla Beniwal,Indian National Congress (I),92160,53000,57.5 %,4632,8.7%
Kotputli,56,GEN,Shriram,Indian National Congress (I),103644,56549,54.6 %,161,0.3%
Bansur,57,GEN,Badri Prasad,Indian National Congress (I),90474,54261,60.0 %,1532,2.8%
Behror,58,GEN,Sujan Singh,Indian National Congress (I),91346,47873,52.4 %,6580,13.7%
Mandawar,59,GEN,Ghasi Ram,Indian National Congress (I),74632,50383,67.5 %,6329,12.6%
Tizara,60,GEN,Deen Mohammad,Indian National Congress (I),87190,41919,48.1 %,189,0.5%
Khairthal,61,SC,Sampat Ram,Indian National Congress (U),80476,41093,51.1 %,4399,10.7%
Ramgarh,62,GEN,Jai Krishan,Indian National Congress (I),77389,48262,62.4 %,663,1.4%
Alwar,63,GEN,Jeet Mal Jain,Bharatiya Janta Party,85919,45906,53.4 %,8616,18.8%
Thanagazi,64,GEN,Sobha Ram,Indian National Congress (I),75344,41868,55.6 %,2333,5.6%
Rajgarh,65,ST,Samrath Lal,Bharatiya Janta Party,88011,49388,56.1 %,150,0.3%
Kathumar,67,SC,Babulal Bairwa,Independent,86468,41613,48.1 %,69,0.2%
Kaman,68,GEN,Chau Khan,Janata Party (SECULAR) - CH. CHARAN SINGH,74096,44318,59.8 %,6655,15.0%
Nagar,69,GEN,Murad Khan,Indian National Congress (I),75394,43666,57.9 %,1114,2.6%
Deeg,70,GEN,Raja Man Singh,Independent,73088,43674,59.8 %,7101,16.3%
Kumher,71,GEN,Hari Singh,Indian National Congress (I),77519,36364,46.9 %,113,0.3%
Bharatpur,72,GEN,Raj Bahadur,Indian National Congress (U),94233,49843,52.9 %,8131,16.3%
Rupbas,73,SC,Ram Prasad,Indian National Congress (I),73592,31227,42.4 %,1425,4.6%
Nadbai,74,GEN,Yadunath Singh,Janata Party (SECULAR) - CH. CHARAN SINGH,75474,48859,64.7 %,4461,9.1%
Weir,75,SC,Shanti,Indian National Congress (I),77117,38048,49.3 %,2731,7.2%
Bayana,76,GEN,Jagan Singh,Indian National Congress (I),89201,45861,51.4 %,858,1.9%
Rajakhera,77,GEN,Pradhuman Singh,Indian National Congress (I),91032,56765,62.4 %,1158,2.0%
Dholpur,78,GEN,Banwari Lal,Indian National Congress (I),93694,63802,68.1 %,2775,4.3%
Bari,79,GEN,Shiv Singh Chauhan,Independent,92048,54337,59.0 %,1360,2.5%
Karauli,80,GEN,Janardan Singh,Indian National Congress (I),80616,49451,61.3 %,9289,18.8%
Sapotra,81,ST,Rangji Meena,Bharatiya Janta Party,84101,41481,49.3 %,1894,4.6%
Khandar,82,SC,Chunni Lal,Bharatiya Janta Party,93872,35738,38.1 %,3370,9.4%
Sawai Madhopur,83,GEN,Hansraj,Bharatiya Janta Party,92006,59046,64.2 %,975,1.7%
Bamanwas,84,ST,Kunji Lal,Janata Party (JP),90061,51503,57.2 %,1103,2.1%
Gangapur,85,GEN,Bharat Lal,Independent,83051,54359,65.5 %,6998,12.9%
Hindaun,86,SC,Bhorasi,Janata Party (SECULAR) - CH. CHARAN SINGH,96072,48043,50.0 %,1106,2.3%
Mahuwa,87,GEN,Hari Singh,Indian National Congress (I),84471,52665,62.3 %,16,0.0%
Toda Bhim,88,ST,Chetram,Indian National Congress (I),100162,49708,49.6 %,5109,10.3%
Niwai,89,SC,Dwarka Prasad Bairwa,Indian National Congress (I),78094,38365,49.1 %,440,1.1%
Tonk,90,GEN,Mahaveer Prasad,Bharatiya Janta Party,82969,52633,63.4 %,345,0.7%
Uniara,91,GEN,Ram Lal,Indian National Congress (I),88899,41526,46.7 %,840,2.0%
Todaraisingh,92,GEN,Chaturbhuj,Indian National Congress (I),77807,42548,54.7 %,4851,11.4%
Malpura,93,GEN,Surendra Vyas,Indian National Congress (I),83824,54806,65.4 %,3270,6.0%
Kishangarh,94,GEN,Kesri Chand Chowdhary,Indian National Congress (I),95797,54643,57.0 %,11958,21.9%
Ajmer East,95,SC,Kailash Chandra Meghwal,Bharatiya Janta Party,94614,47760,50.5 %,3506,7.3%
Ajmer West,96,GEN,Bhagwandass Shastri,Bharatiya Janta Party,80288,40151,50.0 %,5575,13.9%
Pushkar,97,GEN,Suraj Devi,Indian National Congress (I),84815,43509,51.3 %,4760,10.9%
Nasirabad,98,GEN,Govind Singh,Indian National Congress (I),74914,40323,53.8 %,12688,31.5%
Beawar,99,GEN,Vishnu Prakash Bajari,Indian National Congress (I),84362,50306,59.6 %,1492,3.0%
Masuda,100,GEN,Syed. Mohd. Ayas Maharaj,Indian National Congress (I),81542,41556,51.0 %,2825,6.8%
