AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Bhadra,1,GEN,Gyan Singh,Independent,148023,104476,70.6 %,15598,14.9%
Nohar,2,GEN,Ajay,Janata Dal,165385,115270,69.7 %,6438,5.6%
Tibi,3,SC,Shashi Dutt,Independent,192822,116340,60.3 %,743,0.6%
Hanumangarh,4,GEN,Ram Pratap,Bharatiya Janta Party,166623,114879,68.9 %,13825,12.0%
Sangaria,5,GEN,Gurjant Singh,Independent,165170,117857,71.4 %,8053,6.8%
Ganganagar,6,GEN,Radheshyam Hardayal,Indian National Congress,149000,96329,64.7 %,2907,3.0%
Kesrisinghpur,7,SC,Hira Lal Indora,Indian National Congress,115374,71678,62.1 %,3988,5.6%
Karanpur,8,GEN,Jagtar Singh,Indian National Congress,106720,78806,73.8 %,2564,3.3%
Raisinghnagar,9,SC,Mulk Raj,Indian National Congress,148807,85242,57.3 %,1758,2.1%
Pilibanga,10,GEN,Ram Pratap Kasniya,Bharatiya Janta Party,170595,115519,67.7 %,5307,4.6%
Suratgarh,11,GEN,Amar Chand Middha,Bharatiya Janta Party,325939,188481,57.8 %,17811,9.4%
Lunkaransar,12,GEN,Bhim Sen Choudhary,Indian National Congress,272544,135968,49.9 %,5674,4.2%
Bikaner,13,GEN,Nandlal Vyas,Bharatiya Janta Party,154240,94399,61.2 %,15072,16.0%
Kolayat,14,GEN,Devi Singh Bhati,Bharatiya Janta Party,252148,139860,55.5 %,20727,14.8%
Nokha,15,SC,Rewat Ram,Bharatiya Janta Party,184634,88019,47.7 %,6573,7.5%
Dungargarh,16,GEN,Kishana Ram Nai,Bharatiya Janta Party,162717,98130,60.3 %,13079,13.3%
Sujangarh,17,SC,Rameshwar Lal Bhati,Bharatiya Janta Party,158285,93298,58.9 %,1732,1.9%
Ratangarh,18,GEN,Hari Shankar Bhabhara,Bharatiya Janta Party,130598,81949,62.7 %,4430,5.4%
Sardarshahar,19,GEN,Narendra Budania,Indian National Congress,160719,108804,67.7 %,4313,4.0%
Churu,20,GEN,Rajendra Rathore,Bharatiya Janta Party,136951,92660,67.7 %,18728,20.2%
Taranagar,21,GEN,Chandanmal Ved,Indian National Congress,135761,89912,66.2 %,9375,10.4%
Sadulpur,22,GEN,Indersingh Poonia,Indian National Congress,131610,89951,68.3 %,4773,5.3%
Pilani,23,GEN,Sharwan Kumar,Independent,152497,95079,62.3 %,2982,3.1%
Surajgarh,24,SC,Sunder Lal,Independent,151379,97821,64.6 %,3867,4.0%
Khetri,25,GEN,Jitendra Singh,Indian National Congress,140452,88743,63.2 %,6092,6.9%
Gudha,26,GEN,Shivnath Singh,Independent,147987,97135,65.6 %,14294,14.7%
Nawalgarh,27,GEN,Bhanwar Singh,Indian National Congress,160004,96643,60.4 %,3768,3.9%
Jhunjhunu,28,GEN,Shishram Ola,Indian National Congress,159782,104074,65.1 %,22898,22.0%
Mandawa,29,GEN,Ram Narain Choudhary,Indian National Congress,148131,87098,58.8 %,20302,23.3%
