AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sadulshahar,1,GEN,Ganganagar,Gurjant Singh,Bharatiya Janta Party,189874,162842,85.8 %,4808,3.0%
Ganganagar,2,GEN,Ganganagar,Kamini Jindal,National Unionist Zamindara Party,182859,149303,81.6 %,37068,24.8%
Karanpur,3,GEN,Ganganagar,Surender Pal Singh,Bharatiya Janta Party,192523,166471,86.5 %,3853,2.3%
Suratgarh,4,GEN,Ganganagar,Rajendar Singh Bhadu,Bharatiya Janta Party,198745,167444,84.3 %,26779,16.0%
Raisingh Nagar,5,SC,Ganganagar,Sonadevi,National Unionist Zamindara Party,211598,175977,83.2 %,21238,12.1%
Anupgarh,6,SC,Ganganagar,Shimla Bawri,Bharatiya Janta Party,191275,152804,79.9 %,11146,7.3%
Sangaria,7,GEN,Hanumangarh,Krishan Kadva,Bharatiya Janta Party,197740,171412,86.7 %,11601,6.8%
Hanumangarh,8,GEN,Hanumangarh,Rampratap,Bharatiya Janta Party,227744,192118,84.4 %,30487,15.9%
Pilibanga,9,SC,Hanumangarh,Dropati,Bharatiya Janta Party,225753,189993,84.2 %,10198,5.4%
Nohar,10,GEN,Hanumangarh,Abhishek Matoria,Bharatiya Janta Party,217256,184386,84.9 %,26951,14.6%
Bhadra,11,GEN,Hanumangarh,Sanjeev Kumar,Bharatiya Janta Party,220959,182889,82.8 %,26488,14.5%
Khajuwala,12,SC,Bikaner,Vishwanath,Bharatiya Janta Party,170910,129513,75.8 %,8357,6.5%
Bikaner West,13,GEN,Bikaner,Gopal Krishan,Bharatiya Janta Party,174914,128520,73.5 %,6424,5.0%
Bikaner East,14,GEN,Bikaner,Siddhi Kumari,Bharatiya Janta Party,191552,130271,68.0 %,31677,24.3%
Kolayat,15,GEN,Bikaner,Bhanwar Singh,Indian National Congress,188830,140049,74.2 %,1134,0.8%
Lunkaransar,16,GEN,Bikaner,Manik Chand Surana,Independent,192074,144434,75.2 %,4817,3.3%
Dungargarh,17,GEN,Bikaner,Kishana Ram,Bharatiya Janta Party,196529,152917,77.8 %,16202,10.6%
Nokha,18,GEN,Bikaner,Rameshwar Lal Dudi,Indian National Congress,202957,158519,78.1 %,30794,19.4%
