AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Yoksam,1,GEN,Sanchaman Subba,Sikkim Sangram Parishad,7202,4648,64.5 %,1069,23.0%
Tashiding,2,GEN,Ugen Pritso Bhutia,Sikkim Sangram Parishad,5435,3790,69.7 %,2902,76.6%
Geyzing,3,GEN,Man Bahadur Dahal,Sikkim Sangram Parishad,6472,4567,70.6 %,2243,49.1%
Dentam,4,GEN,Padam Lall Gurung,Sikkim Sangram Parishad,6097,4324,70.9 %,2536,58.6%
Barmiok,5,GEN,Bir Bal Subba,Sikkim Sangram Parishad,5492,3960,72.1 %,1623,41.0%
Rinchenpong,6,GEN,Chong Lamu Bhutia,Sikkim Sangram Parishad,6495,4295,66.1 %,1903,44.3%
Chakung,7,GEN,Tara Man Rai,Sikkim Sangram Parishad,6755,4750,70.3 %,3254,68.5%
Soreong,8,GEN,Nar Bahadur Bhandari,Sikkim Sangram Parishad,7355,5260,71.5 %,4312,82.0%
Daramdin,9,GEN,Padam Bahadur Gurung,Sikkim Sangram Parishad,7033,4965,70.6 %,2788,56.2%
Jorthang-Nayabazar,10,GEN,Bhim Raj Rai,Sikkim Sangram Parishad,7356,5446,74.0 %,2961,54.4%
Ralang,11,GEN,Sonam Gyatso Kaleon,Sikkim Sangram Parishad,4848,3325,68.6 %,2612,78.6%
Wak,12,GEN,Bedu Singh Pant,Sikkim Sangram Parishad,5253,3418,65.1 %,2699,79.0%
Damthang,13,GEN,Pawan Kumar Chamling,Sikkim Sangram Parishad,6387,4564,71.5 %,3970,87.0%
Melli,14,GEN,Dilliram Basnet,Sikkim Sangram Parishad,6402,4646,72.6 %,2773,59.7%
Rateypani - West Pendam,15,SC,Chandra Kumar Mohora,Sikkim Sangram Parishad,6879,4842,70.4 %,2798,57.8%
Temi-Tarku,16,GEN,I. B. Rai,Sikkim Sangram Parishad,6264,4318,68.9 %,2384,55.2%
Central Pendam-East Pendam,17,GEN,Sukumar Pradhan,Sikkim Sangram Parishad,7426,5772,77.7 %,1351,23.4%
Rhenock,18,GEN,Kharananda Uprety,Sikkim Sangram Parishad,5072,3984,78.5 %,1024,25.7%
Regu,19,GEN,Rajendra Prasad Uprety,Sikkim Sangram Parishad,5532,4439,80.2 %,921,20.7%
Pathing,20,GEN,Ram Lepcha,Sikkim Sangram Parishad,6379,4893,76.7 %,1865,38.1%
Loosing Pachekhani,21,GEN,Rupraj Rai,Sikkim Sangram Parishad,4821,3714,77.0 %,293,7.9%
Khamdong,22,SC,Birkhaman Ramudamu,Sikkim Sangram Parishad,7043,5005,71.1 %,2357,47.1%
Djongu,23,GEN,Sonam Chhyoda Lepcha,Sikkim Sangram Parishad,4102,3265,79.6 %,1512,46.3%
Lachen Mangshila Bl,24,GEN,Tasa Tengey Lepcha,Sikkim Sangram Parishad,5072,3801,74.9 %,1420,37.4%
Kabi Tingda,25,GEN,Hangu Tshering Bhutia,Sikkim Sangram Parishad,4240,3245,76.5 %,538,16.6%
Rakdong Tentek,26,GEN,Phuchung Bhutia,Sikkim Sangram Parishad,5540,4226,76.3 %,1420,33.6%
Martam,27,GEN,Chamla Tshering,Sikkim Sangram Parishad,5405,4245,78.5 %,850,20.0%
Rumtek,28,GEN,O. T. Bhutia,Sikkim Sangram Parishad,6623,4951,74.8 %,1749,35.3%
Assam-Lingjey,29,GEN,Sonam Dupden Lepcha,Sikkim Sangram Parishad,4891,3938,80.5 %,1175,29.8%
Ranka,30,GEN,Dorjee Tshering,Sikkim Sangram Parishad,6423,4869,75.8 %,1265,26.0%
Gangtok,31,GEN,Manita Pradhan,Sikkim Sangram Parishad,9109,6222,68.3 %,921,14.8%
Sangha,32,GEN,Nanjha Gyaltsen,Sikkim Sangram Parishad,3216,1540,47.9 %,384,24.9%
