AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Royapuram,1,GEN,"Jayakumar,d.",All India Anna Dravida Munnetra Kazhagam,137772,95090,69.0 %,13503,14.2%
Harbour,2,GEN,"Anbazhagan, K.",Dravida Munetra Kazhagam,105115,60007,57.1 %,410,0.7%
Dr. Radhakrishnan Nagar,3,GEN,"Sekar Babu, P.K.",All India Anna Dravida Munnetra Kazhagam,239326,167730,70.1 %,18063,10.8%
Park Town,4,GEN,"Srinivasan, K.",All India Anna Dravida Munnetra Kazhagam,117016,72915,62.3 %,6357,8.7%
Perambur,5,SC,"Mahendran, K.",Communist Party Of India (Marxist),268704,182631,68.0 %,2788,1.5%
Purasawalkam,6,GEN,"Babu, V.S.",Dravida Munetra Kazhagam,294352,191680,65.1 %,7385,3.9%
Egmore,7,SC,Parithi Ellamvazhuthi,Dravida Munetra Kazhagam,122297,79326,64.9 %,6480,8.2%
Anna Nagar,8,GEN,Arcot Veerasamy,Dravida Munetra Kazhagam,352829,217235,61.6 %,12390,5.7%
Theagaraya Nagar,9,GEN,"Kalairajan, V.P.",All India Anna Dravida Munnetra Kazhagam,242771,152680,62.9 %,16477,10.8%
Thousand Lights,10,GEN,"Stalin, M.K.",Dravida Munetra Kazhagam,169506,108295,63.9 %,2468,2.3%
Chepauk,11,GEN,"Karunanidhi, M.",Dravida Munetra Kazhagam,105252,67082,63.7 %,8526,12.7%
Triplicane,12,GEN,Bader Sayeed,All India Anna Dravida Munnetra Kazhagam,132523,85505,64.5 %,2776,3.2%
Mylapore,13,GEN,"Shekher, S.Ve.",All India Anna Dravida Munnetra Kazhagam,235246,147345,62.6 %,1667,1.1%
Saidapet,14,GEN,"Senthamizhan, G.",All India Anna Dravida Munnetra Kazhagam,248483,164396,66.2 %,5905,3.6%
Gummidipundi,15,GEN,Vijayakumar.K.S,All India Anna Dravida Munnetra Kazhagam,195425,156263,80.0 %,229,0.1%
Ponneri,16,SC,Balaramanan.P,All India Anna Dravida Munnetra Kazhagam,248155,175234,70.6 %,11089,6.3%
Thiruvottiyur,17,GEN,Samy. K.P.P,Dravida Munetra Kazhagam,496267,341404,68.8 %,3447,1.0%
