AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sirpur,1,GEN,Adilabad,Dr.Palvai Harish Babu,Bharatiya Janta Party,454310,184684,40.7 %,3088,1.7%
Chennur,2,SC,Adilabad,Gaddam Vivekanand,Indian National Congress,376824,150438,39.9 %,37515,24.9%
Bellampalli,3,SC,Adilabad,Gaddam Vinod,Indian National Congress,346978,139684,40.3 %,36878,26.4%
Mancherial,4,GEN,Adilabad,Kokkirala Premsagar Rao,Indian National Congress,550253,191568,34.8 %,66116,34.5%
Asifabad,5,ST,Adilabad,Kova Laxmi,Bharat Rashtra Samithi,453524,183126,40.4 %,22798,12.4%
Khanapur,6,ST,Adilabad,Vedma Bhojju,Indian National Congress,441863,172125,39.0 %,4702,2.7%
Adilabad,7,GEN,Adilabad,Payal Shanker,Bharatiya Janta Party,481118,188060,39.1 %,6692,3.6%
Boath,8,ST,Adilabad,Anil Jadhav,Bharat Rashtra Samithi,417192,171453,41.1 %,22800,13.3%
Nirmal,9,GEN,Adilabad,Alleti Maheshwar Reddy,Bharatiya Janta Party,507072,195405,38.5 %,50703,25.9%
Mudhole,10,GEN,Adilabad,Ram Rao Pawar,Bharatiya Janta Party,499618,200296,40.1 %,23999,12.0%
Armur,11,GEN,Nizamabad,Paidi Rakesh Reddy,Bharatiya Janta Party,420677,160327,38.1 %,29669,18.5%
Bodhan,12,GEN,Nizamabad,P. Sudarshan Reddy,Indian National Congress,440478,171057,38.8 %,3062,1.8%
Jukkal,13,SC,Nizamabad,Laxmi Kantha Rao Thota,Indian National Congress,400185,164070,41.0 %,1152,0.7%
Banswada,14,GEN,Nizamabad,Srinivas Reddy Parige (POCHARAM),Bharat Rashtra Samithi,390756,159067,40.7 %,23464,14.8%
Yellareddy,15,GEN,Nizamabad,Madan Mohan Rao. K,Indian National Congress,441580,183500,41.6 %,24001,13.1%
Kamareddy,16,GEN,Nizamabad,Katipally Venkata Ramana Reddy,Bharatiya Janta Party,505192,192415,38.1 %,6741,3.5%
Nizamabad (Urban),17,Urban,Nizamabad,Dhanpal Suryanarayana,Bharatiya Janta Party,589744,183794,31.2 %,15387,8.4%
Nizamabad (Rural),18,Rural,Nizamabad,Bhoopathi Reddy Rekulapally,Indian National Congress,506842,192750,38.0 %,21963,11.4%
Balkonda,19,GEN,Nizamabad,Prashanth Reddy Vemula,Bharat Rashtra Samithi,443043,173677,39.2 %,4533,2.6%
Koratla,20,GEN,Karimnagar,Kalvakuntla Sanjay,Bharat Rashtra Samithi,481794,182199,37.8 %,10305,5.7%
Jagtial,21,GEN,Karimnagar,Dr. Sanjay,Bharat Rashtra Samithi,463037,174888,37.8 %,15822,9.0%
Dharmapuri,22,SC,Karimnagar,Adluri Laxman Kumar,Indian National Congress,454014,179298,39.5 %,22039,12.3%
Ramagundam,23,GEN,Karimnagar,Makkan Singh Raj Thakur,Indian National Congress,442471,151416,34.2 %,56794,37.5%
Manthani,24,GEN,Karimnagar,Duddilla Sridhar Babu,Indian National Congress,473164,195767,41.4 %,31380,16.0%
Peddapalle,25,GEN,Karimnagar,Chinthakunta Vijaya Ramana Rao,Indian National Congress,509065,207079,40.7 %,55108,26.6%
Karimnagar,26,GEN,Karimnagar,Gangula Kamalakar,Bharat Rashtra Samithi,710305,228505,32.2 %,3163,1.4%
Choppadandi,27,SC,Karimnagar,Medipally Sathyam,Indian National Congress,466374,180928,38.8 %,37439,20.7%
Vemulawada,28,GEN,Karimnagar,Aadi Srinivas,Indian National Congress,444560,172865,38.9 %,14581,8.4%
Sircilla,29,GEN,Karimnagar,Kalvakuntla Taraka Rama Rao (K.T.R),Bharat Rashtra Samithi,489064,187898,38.4 %,29687,15.8%
Manakondur,30,SC,Karimnagar,Dr. Kavvampally Satyanarayana,Indian National Congress,443483,183831,41.5 %,32365,17.6%
Huzurabad,31,GEN,Karimnagar,Kaushik Reddy Padi,Bharat Rashtra Samithi,499480,208103,41.7 %,16873,8.1%
Husnabad,32,GEN,Karimnagar,Ponnam Prabhakar,Indian National Congress,484795,205476,42.4 %,19344,9.4%
Siddipet,33,GEN,Medak,Thanneeru Harish Rao,Bharat Rashtra Samithi,467545,180103,38.5 %,82308,45.7%
Medak,34,GEN,Medak,Mynampally Rohith,Indian National Congress,433668,185003,42.7 %,10157,5.5%
Narayankhed,35,GEN,Medak,Patlolla Sanjeeva Reddy,Indian National Congress,462494,193175,41.8 %,6547,3.4%
Andole,36,SC,Medak,C. Damodar Rajanarsimha,Indian National Congress,498595,212202,42.6 %,28193,13.3%
Narsapur,37,GEN,Medak,Vakiti Sunitha Laxma Reddy,Bharat Rashtra Samithi,447251,196676,44.0 %,8855,4.5%
Zahirabad,38,SC,Medak,Koninty Manik Rao,Bharat Rashtra Samithi,541777,208476,38.5 %,12790,6.1%
Sangareddy,39,GEN,Medak,Chinta Prabhakar,Bharat Rashtra Samithi,490598,186695,38.1 %,8217,4.4%
Patancheru,40,GEN,Medak,Gudem Mahipal Reddy,Bharat Rashtra Samithi,794529,274218,34.5 %,7091,2.6%
Dubbak,41,GEN,Medak,Kotta Prabhakar Reddy,Bharat Rashtra Samithi,396321,172496,43.5 %,53513,31.0%
Gajwel,42,GEN,Medak,Kalvakuntla Chandrashekar Rao,Bharat Rashtra Samithi,549440,231585,42.1 %,45031,19.4%
Medchal,43,GEN,Rangareddi,Chamakura Malla Reddy,Bharat Rashtra Samithi,1275922,396779,31.1 %,33419,8.4%
Malkajgiri,44,GEN,Rangareddi,Marri Rajashekar Reddy,Bharat Rashtra Samithi,978790,262803,26.8 %,49530,18.8%
Quthbullapur,45,GEN,Rangareddi,K.P. Vivekanand,Bharat Rashtra Samithi,1398246,397588,28.4 %,85576,21.5%
Kukatpalle,46,GEN,Rangareddi,Madhavaram Krishna Rao,Bharat Rashtra Samithi,927695,248336,26.8 %,70387,28.3%
