AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Simna,1,ST,Abhiram Deb Barma,Communist Party Of India (MARXIST),20060,17259,86.0 %,3713,21.5%
Mohanpur,2,GEN,Dhirendra Chandra Debnath,Indian National Congress,20839,17571,84.3 %,1341,7.6%
Bamutia,3,SC,Prakash Chandra Das,Indian National Congress,20820,18061,86.7 %,473,2.6%
Barjala,4,GEN,Dipak Kumar Roy,Indian National Congress,26241,22527,85.8 %,1869,8.3%
Khayerpur,5,GEN,Ratan Lal Ghosh,Indian National Congress,25176,21714,86.2 %,491,2.3%
Agartala,6,GEN,Maharani Bidhu Kumari Debi,Indian National Congress,31780,26060,82.0 %,81,0.3%
Ramnagar,7,GEN,Surajit Datta,Indian National Congress,24841,20818,83.8 %,861,4.1%
Town Bordowali,8,GEN,Sudhir Ranjan Majumdar,Indian National Congress,22508,18310,81.3 %,2677,14.6%
Banamalipur,9,GEN,Ratan Chakraborty,Indian National Congress,18888,15569,82.4 %,2030,13.0%
Majlishpur,10,GEN,Dipak Nag,Indian National Congress,22204,19170,86.3 %,306,1.6%
Mandaibazar,11,ST,Rashiram Debbarma,Communist Party Of India (MARXIST),26670,21242,79.6 %,870,4.1%
Takarjala,12,ST,Tarani Debbarma,Communist Party Of India (MARXIST),21970,18705,85.1 %,1236,6.6%
Pratapgarh,13,SC,Anil Sarkar,Communist Party Of India (MARXIST),35106,29965,85.4 %,2286,7.6%
Badharghat,14,GEN,Dilip Sarkar,Indian National Congress,33534,28181,84.0 %,326,1.2%
Kamalasagar,15,GEN,Matlal Sarkar,Communist Party Of India (MARXIST),21411,18694,87.3 %,785,4.2%
Bishalgarh,16,GEN,Samir Ranjan Barman,Indian National Congress,21058,18525,88.0 %,1882,10.2%
Golaghati,17,ST,Budha Debbarma,Tripura Upajiti Juba Samiti,22825,19092,83.6 %,9,0.0%
Charilam,18,GEN,Matilal Saha,Indian National Congress,22752,19113,84.0 %,908,4.8%
Boxanagar,19,GEN,Billal Mia,Indian National Congress,18578,16966,91.3 %,532,3.1%
Nalchar,20,SC,Sukumar Barman,Communist Party Of India (MARXIST),20119,18090,89.9 %,1166,6.4%
Sonamura,21,GEN,Rasiklal Roy,Indian National Congress,19665,17558,89.3 %,497,2.8%
Dhanpur,22,GEN,Samar Choudhoury,Communist Party Of India (MARXIST),22124,20152,91.1 %,1966,9.8%
Ramchandraghat,23,ST,Dasaratha Deb,Communist Party Of India (MARXIST),16536,14617,88.4 %,8258,56.5%
Khowai,24,GEN,Arun Kumar Kar,Indian National Congress,17352,15564,89.7 %,113,0.7%
Asharambari,25,ST,Bidhya Chandra Debbarma,Communist Party Of India (MARXIST),19385,16518,85.2 %,9386,56.8%
Pramodenagar,26,GEN,Nirpen Chakraborty,Communist Party Of India (MARXIST),23284,20933,89.9 %,5619,26.8%
Kalyanpur,27,GEN,Makhan Lal Chakraborty,Communist Party Of India (MARXIST),19231,16854,87.6 %,747,4.4%
Krishnapur,28,ST,Khagendra Jamatia,Communist Party Of India (MARXIST),21135,17281,81.8 %,2939,17.0%
Teliamura,29,GEN,Jitendra Sarkar,Communist Party Of India (MARXIST),23271,19650,84.4 %,391,2.0%
Bagma,30,ST,Rati Mohan Jamatia,Tripura Upajiti Juba Samiti,21621,18781,86.9 %,2263,12.0%
Salgarh,31,SC,Gopal Chandra Das,Revolutionary Socialist Party,21331,18887,88.5 %,514,2.7%
Radhakishorepur,32,GEN,Chitta Ranjan Saha,Revolutionary Socialist Party,19795,17050,86.1 %,633,3.7%
Matarbari,33,GEN,Kashiram Reang,Indian National Congress,22162,19345,87.3 %,8,0.0%
Kakraban,34,GEN,Keshab Majumder,Communist Party Of India (MARXIST),20893,18429,88.2 %,2702,14.7%
