AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Uttarkashi,1,SC,Barfiya Lal Juwantha,Samajwadi Party,185418,100353,54.1 %,3321,3.3%
Tehri,2,GEN,Shoor Beer Singh Sajwan,Indian National Congress,200183,89888,44.9 %,4885,5.4%
Deoprayag,3,GEN,Matbar Singh Kandari,Bharatiya Janta Party,182646,78759,43.1 %,4744,6.0%
Lansdowne,4,GEN,Surendra Singh Negi,Independent,168831,93289,55.3 %,6826,7.3%
Pauri,5,GEN,Harak Singh Rawat,Bharatiya Janta Party,152358,73504,48.2 %,5326,7.2%
Karanprayag,6,GEN,"Ramesh Pokhriyal ""nishank""",Bharatiya Janta Party,152425,81125,53.2 %,230,0.3%
Badrikedar,7,GEN,Kedar Singh Phoniya,Bharatiya Janta Party,198860,102748,51.7 %,10634,10.3%
Didihat,8,GEN,Kashi Singh Airi,Uttar Khand Kranti Dal,153194,64259,41.9 %,246,0.4%
Pithoragarh,9,GEN,Mahendra Singh Mahra ( Manoo Bhai ),Indian National Congress,178491,73584,41.2 %,5441,7.4%
Almora,10,GEN,Govind Singh Kunjwal,Indian National Congress,186918,80724,43.2 %,6490,8.0%
Bageshwar,11,SC,Ram Prasad,Indian National Congress,157177,61227,39.0 %,3158,5.2%
Ranikhet,12,GEN,Bachi Singh Rawat,Bharatiya Janta Party,182769,73149,40.0 %,13094,17.9%
Nainital,13,GEN,Banshi Dhar,Bharatiya Janta Party,192838,107747,55.9 %,7496,7.0%
Khatima,14,SC,Yash Pal Arya,Indian National Congress,216911,117786,54.3 %,8787,7.5%
Haldwani,15,GEN,Tilakraj Behar,Bharatiya Janta Party,267490,155413,58.1 %,22823,14.7%
Kashipur,16,GEN,Rajiv Kumar,Bharatiya Janta Party,224793,141749,63.1 %,2834,2.0%
Seohara,17,GEN,Mahaveer Singh,Bharatiya Janta Party,215259,148074,68.8 %,4207,2.8%
Dhampur,18,GEN,Rajender Singh,Bharatiya Janta Party,213785,144119,67.4 %,2250,1.6%
Afzalgarh,19,GEN,Inder Dev Singh,Bharatiya Janta Party,224921,157371,70.0 %,6619,4.2%
Nagina,20,SC,Satish Kumar,Janata Dal,198981,123168,61.9 %,2692,2.2%
Nazibabad,21,SC,Ramswroop Singh,Communist Party Of India (MARXIST),206574,122695,59.4 %,5912,4.8%
Bijnor,22,GEN,Mahendra Pal Singh,Bharatiya Janta Party,217223,147549,67.9 %,11608,7.9%
Chandpur,23,GEN,Tej Pal Singh,Independent,228163,149429,65.5 %,392,0.3%
Kanth,24,GEN,Mahboob Ali,Jharkhand Party,199973,125001,62.5 %,1476,1.2%
Amroha,25,GEN,Hazi Muhammad Hayat,Janata Dal,223600,135510,60.6 %,2596,1.9%
Hasanpur,26,GEN,Tula Ram Saini,Bharatiya Janta Party,221702,134797,60.8 %,11493,8.5%
Gangeshwari,27,SC,Preetam Singh,Bharatiya Janta Party,199149,111722,56.1 %,7113,6.4%
Sambhal,28,GEN,Satya Prakash,Bharatiya Janta Party,209075,146462,70.1 %,4802,3.3%
Bahjoi,29,GEN,Satyender Singh,Bharatiya Janta Party,190510,113716,59.7 %,11387,10.0%
Chandausi,30,SC,Karan Singh,Samajwadi Party,197972,100079,50.6 %,1108,1.1%
Kundarki,31,GEN,Chandra Vijay Singh Urf Baby Raja,Bharatiya Janta Party,205360,145619,70.9 %,23288,16.0%
