AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Mekliganj,1,SC,Sada Kanta Roy,All India Forward Bloc,103981,80807,77.7 %,12430,15.4%
Sitalkuchi,2,SC,Sudhir Pramanik,Communist Party Of India (MARXIST),95891,82332,85.9 %,11194,13.6%
Mathabhanga,3,SC,Dinesh Chandra Dakua,Communist Party Of India (MARXIST),95837,81564,85.1 %,10680,13.1%
Cooch Behar North,4,GEN,Aparajita Goppi,All India Forward Bloc,101335,83261,82.2 %,12937,15.5%
Cooch Behar West,5,GEN,Bimal Kanti Basu,All India Forward Bloc,108981,93524,85.8 %,16105,17.2%
Sitai,6,GEN,Dipak Sen Gupta,All India Forward Bloc,107646,94396,87.7 %,11086,11.7%
Dinhata,7,GEN,Kamal Guha,All India Forward Bloc,108911,94166,86.5 %,14833,15.8%
Natabari,8,GEN,Sibendra Narayan Chowdhury,Communist Party Of India (MARXIST),91085,81698,89.7 %,10020,12.3%
Tufanganj,9,SC,Manindra Nath Barma,Communist Party Of India (MARXIST),91138,80813,88.7 %,7695,9.5%
Kumargram,10,ST,Subodh Uraon,Revolutionary Socialist Party,93251,75170,80.6 %,9038,12.0%
Kalchini,11,ST,Manohar Tirkey,Revolutionary Socialist Party,83979,63051,75.1 %,6384,10.1%
Alipurduars,12,GEN,Nani Bhattacharya,Revolutionary Socialist Party,106255,83661,78.7 %,18799,22.5%
Falakata,13,SC,Jogendra Nath Singh Roy,Communist Party Of India (MARXIST),93229,73690,79.0 %,7230,9.8%
Madarihat,14,ST,Sushil Kujur,Revolutionary Socialist Party,89658,65132,72.6 %,16464,25.3%
Dhupguri,15,SC,Banamali Roy,Communist Party Of India (MARXIST),87013,70333,80.8 %,7589,10.8%
Nagrakata,16,ST,Punai Uraon,Communist Party Of India (MARXIST),108089,81617,75.5 %,16955,20.8%
Mainaguri,17,SC,Tarak Bandhu Roy,Revolutionary Socialist Party,93048,71613,77.0 %,9251,12.9%
Mal,18,ST,Mohanlal Oraon,Communist Party Of India (MARXIST),94778,71449,75.4 %,19338,27.1%
Kranti,19,GEN,Parimal Mitra,Communist Party Of India (MARXIST),86512,70671,81.7 %,8840,12.5%
Jalpaiguri,20,GEN,Nirmal Bose,All India Forward Bloc,93661,73389,78.4 %,1136,1.5%
Raiganj,21,SC,Dhirendra Nath Ray,Communist Party Of India (MARXIST),113677,84574,74.4 %,20455,24.2%
Kalimpong,22,GEN,Renu Leena Subba,Independent,88272,29762,33.7 %,9194,30.9%
Darjeeling,23,GEN,Dawa Lama,Communist Party Of India (MARXIST),101029,60012,59.4 %,309,0.5%
Kurseong,24,GEN,H. B. Rai,Communist Party Of India (MARXIST),98239,61400,62.5 %,281,0.5%
Siliguri,25,GEN,Biren Bose,Communist Party Of India (MARXIST),149706,84321,56.3 %,10067,11.9%
Phansidewa,26,ST,Patras Minz,Communist Party Of India (MARXIST),127854,94203,73.7 %,5286,5.6%
Chopra,27,GEN,Mahammad Bacha Munshi,Communist Party Of India (MARXIST),91952,73069,79.5 %,3407,4.7%
Islampur,28,GEN,Choudhary Md. Abdulkarim,Indian National Congress,103319,70592,68.3 %,7742,11.0%
Goalpokhar,29,GEN,Mohammad Ramjan Ali,All India Forward Bloc,113914,69561,61.1 %,6268,9.0%
Karandighi,30,GEN,Suresh Singha,All India Forward Bloc,112474,83259,74.0 %,9857,11.8%
Kaliaganj,32,SC,Naba Kumar Roy,Indian National Congress,99658,81325,81.6 %,8107,10.0%
Kushmandi,33,SC,Dhirendra Nath Sarkar,Indian National Congress,99261,81174,81.8 %,895,1.1%
Itahar,34,GEN,Abedin Zainal,Indian Congress (SOCIALIST),99468,81863,82.3 %,7157,8.7%
Gangarampur,35,GEN,Moslehuddin Ahmed,Indian Congress (SOCIALIST),110623,90061,81.4 %,3875,4.3%
Tapan,36,ST,Khara Soren,Revolutionary Socialist Party,99731,84439,84.7 %,8447,10.0%
Kumarganj,37,GEN,Dwijendra Nath Ray,Communist Party Of India (MARXIST),112625,92924,82.5 %,8775,9.4%
Balurghat,38,GEN,Biswanath Choudhury,Revolutionary Socialist Party,92352,76605,82.9 %,8873,11.6%
Habibpur,39,ST,Sarkar Murmu,Communist Party Of India (MARXIST),95799,70420,73.5 %,484,0.7%
Gajol,40,ST,Sufal Murmu,Communist Party Of India (MARXIST),96103,75839,78.9 %,3480,4.6%
Kharba,41,GEN,Mahbubul Hoque,Indian National Congress,96293,82764,86.0 %,2710,3.3%
Harishchandrapur,42,GEN,Abdul Wahed,Indian National Congress,96600,76584,79.3 %,9280,12.1%
Ratua,43,GEN,Samar Mukherjee,Indian National Congress,86258,72316,83.8 %,445,0.6%
Araidanga,44,GEN,Habib Mustafa,Communist Party Of India (MARXIST),83443,72132,86.4 %,1048,1.5%
Malda,45,SC,Phani Bhusan Roy,Indian National Congress,97513,79056,81.1 %,1365,1.7%
Englishbazar,46,GEN,Sailen Sarkar,Communist Party Of India (MARXIST),98072,78396,79.9 %,1697,2.2%
Manikchak,47,GEN,Jokhilal Mandal,Indian National Congress,88129,71304,80.9 %,470,0.7%
Suzapur,48,GEN,Humayoun Chowdhury,Indian National Congress,88208,68583,77.8 %,18391,26.8%
Kaliachak,49,GEN,Promode Ranjan Bose,Communist Party Of India (MARXIST),107048,89930,84.0 %,9232,10.3%
Farakka,50,GEN,Abul Hasnat Khan,Communist Party Of India (MARXIST),87819,68580,78.1 %,13268,19.3%
Aurangabad,51,GEN,Lutfal Haque,Indian National Congress,96485,75851,78.6 %,2313,3.0%
Suti,52,GEN,Shish Mohammad,Revolutionary Socialist Party,98840,77614,78.5 %,8035,10.4%
Sagardighi,53,SC,Biswas Hazari,Communist Party Of India (MARXIST),90782,70299,77.4 %,449,0.6%
Jangipur,54,GEN,Habibur Rahaman,Indian National Congress,106280,77547,73.0 %,9585,12.4%
Lalgola,55,GEN,Abdus Sattar,Indian National Congress,96176,83900,87.2 %,11120,13.3%
Bhagabangola,56,GEN,Kazi Hafizur Rahman,Indian National Congress,94417,79083,83.8 %,996,1.3%
Nabagram,57,GEN,Birendra Narayan Ray,Communist Party Of India (MARXIST),102886,81265,79.0 %,6574,8.1%
Murshidabad,58,GEN,Chhaya Ghosh,All India Forward Bloc,114467,94145,82.2 %,12094,12.8%
Jalangi,59,GEN,Atahar Rahaman,Communist Party Of India (MARXIST),113422,99955,88.1 %,7209,7.2%
Domkal,60,GEN,Md. Abdul Bari,Communist Party Of India (MARXIST),109280,96669,88.5 %,10072,10.4%
Naoda,61,GEN,Jayanta Kumar Biswas,Revolutionary Socialist Party,106560,90825,85.2 %,8372,9.2%
Hariharpara,62,GEN,Sk. Imajuddin,Indian National Congress,104682,87999,84.1 %,5072,5.8%
Berhampore,63,GEN,Debabrata Bandapadhyay,Revolutionary Socialist Party,121701,92050,75.6 %,4160,4.5%
Beldanga,64,GEN,Nurual Islam Choudhury,Indian National Congress,114549,98136,85.7 %,16935,17.3%
Kandi,65,GEN,Atish Chandra Sinha,Indian National Congress,111110,84955,76.5 %,12353,14.5%
Khargram,66,SC,Dinabandhu Majhi,Communist Party Of India (MARXIST),109886,88198,80.3 %,3795,4.3%
Barwan,67,GEN,Amalendra Roy,Revolutionary Socialist Party,108371,81638,75.3 %,2825,3.5%
Bharatpur,68,GEN,Satyapada Bhattacharya,Revolutionary Socialist Party,102460,75326,73.5 %,3594,4.8%
Karimpur,69,GEN,Chittaranjan Biswas,Communist Party Of India (MARXIST),97082,85585,88.2 %,8174,9.6%
Palashipara,70,GEN,Madhabendu Mahanta,Communist Party Of India (MARXIST),101086,89010,88.1 %,4856,5.5%
Nakashipara,71,GEN,Mir Fakir Mohammad,Communist Party Of India (MARXIST),85713,70952,82.8 %,8039,11.3%
Kaliganj,72,GEN,Debsaran Ghosh,Revolutionary Socialist Party,96217,77233,80.3 %,1995,2.6%
Chapra,73,GEN,Sahabuddin Mondal,Communist Party Of India (MARXIST),95104,81872,86.1 %,10335,12.6%
Krishnaganj,74,SC,Jnanendra Nath Biswas,Communist Party Of India (MARXIST),87491,75404,86.2 %,1115,1.5%
Krishnagar East,75,GEN,Sadhan Chattopadhy Y,Communist Party Of India (MARXIST),100835,64961,64.4 %,9119,14.0%
Krishnagar West,76,GEN,Amritendu Mukhopadhyay,Communist Party Of India (MARXIST),85139,69183,81.3 %,5728,8.3%
Nabadwip,77,GEN,Debi Prasad Basu,Communist Party Of India (MARXIST),99042,75593,76.3 %,14208,18.8%
