AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Mekliganj,1,SC,Koch Bihar,Arghya Roy Pradhan (BILU),All India Trinamool Congress,201071,178627,88.8 %,6637,3.7%
Mathabhanga,2,SC,Koch Bihar,Binay Krishna Barman,All India Trinamool Congress,229392,198405,86.5 %,31918,16.1%
Cooch Behar Uttar,3,SC,Koch Bihar,Nagendra Nath Roy,All India Forward Bloc,257835,221122,85.8 %,12293,5.6%
Cooch Behar Dakshin,4,GEN,Koch Bihar,Mihir Goswami,All India Trinamool Congress,212291,176684,83.2 %,18195,10.3%
Sitalkuchi,5,SC,Koch Bihar,Hiten Barman,All India Trinamool Congress,259442,227971,87.9 %,15483,6.8%
Sitai,6,SC,Koch Bihar,Jagadish Chandra Barma Basunia,All India Trinamool Congress,260239,215750,82.9 %,25251,11.7%
Dinhata,7,GEN,Koch Bihar,Udayan Guha,All India Trinamool Congress,266890,221018,82.8 %,21793,9.9%
Natabari,8,GEN,Koch Bihar,Rabindra Nath Ghosh,All India Trinamool Congress,223261,198024,88.7 %,16157,8.2%
Tufanganj,9,GEN,Koch Bihar,Fazal Karim Miah,All India Trinamool Congress,213260,189904,89.0 %,15270,8.0%
Kumargram,10,ST,Jalpaiguri,James Kujur,All India Trinamool Congress,241451,202532,83.9 %,6153,3.0%
Kalchini,11,ST,Jalpaiguri,Wilson Champramary,All India Trinamool Congress,216385,172832,79.9 %,1511,0.9%
Alipurduars,12,GEN,Jalpaiguri,Sourav Chakraborty(GHUTISH),All India Trinamool Congress,234439,200466,85.5 %,11958,6.0%
Falakata,13,SC,Jalpaiguri,Anil Adhikari,All India Trinamool Congress,225396,194128,86.1 %,16839,8.7%
Madarihat,14,ST,Jalpaiguri,Manoj Tigga,Bharatiya Janta Party,191088,147233,77.0 %,22038,15.0%
Dhupguri,15,SC,Jalpaiguri,Mitali Roy,All India Trinamool Congress,236718,205472,86.8 %,19264,9.4%
Maynaguri,16,SC,Jalpaiguri,Ananta Deb Adhikari,All India Trinamool Congress,235543,206360,87.6 %,34907,16.9%
Jalpaiguri,17,SC,Jalpaiguri,Sukhbilas Barma,Indian National Congress,240851,204833,85.0 %,5157,2.5%
Rajganj,18,SC,Jalpaiguri,Khageswar Roy,All India Trinamool Congress,215981,191006,88.4 %,14677,7.7%
Dabgram-Fulbari,19,GEN,Jalpaiguri,Goutam Deb,All India Trinamool Congress,259604,219442,84.5 %,23811,10.9%
Mal,20,ST,Jalpaiguri,Bulu Chik Baraik,All India Trinamool Congress,226272,187393,82.8 %,18462,9.9%
Nagrakata,21,ST,Jalpaiguri,Sukra Munda,All India Trinamool Congress,213068,170346,79.9 %,3228,1.9%
Kalimpong,22,GEN,Darjiling,Sarita Rai,Gorkha Janmukti Morcha,190325,134621,70.7 %,11431,8.5%
Darjeeling,23,GEN,Darjiling,Amar Singh Rai,Gorkha Janmukti Morcha,228010,153557,67.3 %,49913,32.5%
Kurseong,24,GEN,Darjiling,Rohit Sharma,Gorkha Janmukti Morcha,219165,156547,71.4 %,33726,21.5%
Matigara-Naxalbari,25,SC,Darjiling,Sankar Malakar,Indian National Congress,243265,206070,84.7 %,18627,9.0%
Siliguri,26,GEN,Darjiling,Asok Bhattacharya,Communist Party Of India (Marxist),206185,165473,80.3 %,14072,8.5%
Phansidewa,27,ST,Darjiling,Sunil Chandra Tirkey,Indian National Congress,205478,178651,86.9 %,7074,4.0%
Chopra,28,GEN,Uttar Dinajpur,Hamidul Rahaman,All India Trinamool Congress,209155,175235,83.8 %,16860,9.6%
Islampur,29,GEN,Uttar Dinajpur,Kanaia Lal Agarwal,Indian National Congress,187357,147461,78.7 %,7718,5.2%
Goalpokhar,30,GEN,Uttar Dinajpur,Md Gulam Rabbani,All India Trinamool Congress,198207,146166,73.7 %,7748,5.3%
